row,col,data
5274,138,1.0
1514,831,1.0
2096,17,1.0
259,10,1.0
12096,7134,1.0
2799,58,1.0
1002,22,1.0
9912,89,1.0
2869,15,1.0
2122,55,1.0
2248,483,1.0
9680,133,1.0
12392,408,1.0
11974,168,1.0
1160,102,1.0
6404,47,1.0
11517,15,1.0
6765,30,1.0
12134,48,1.0
4522,146,1.0
1271,179,1.0
8465,470,1.0
7969,350,1.0
4645,112,1.0
1880,1713,1.0
1471,5,1.0
9245,214,1.0
7986,2121,1.0
11299,661,1.0
1099,183,1.0
3826,87,1.0
9388,8,1.0
4986,860,1.0
3254,198,1.0
900,154,1.0
9912,1234,1.0
10078,369,1.0
51,106,1.0
10370,3844,1.0
3759,199,1.0
10962,112,1.0
888,85,1.0
1880,3155,1.0
7027,1035,1.0
5175,288,1.0
12175,748,1.0
2316,407,1.0
10382,131,1.0
12626,695,1.0
1566,34,1.0
10433,172,1.0
7642,344,1.0
5332,99,1.0
2501,291,1.0
10660,948,1.0
9164,215,1.0
8400,86,1.0
12216,135,1.0
3178,94,1.0
3496,55,1.0
4246,296,1.0
5402,211,1.0
3168,27,1.0
2704,1269,1.0
6089,6452,1.0
11262,2480,1.0
2396,83,1.0
4138,701,1.0
4049,803,1.0
11802,712,1.0
11724,272,1.0
8418,139,1.0
7028,59,1.0
2333,6,1.0
10600,3316,1.0
7424,285,1.0
10091,644,1.0
10804,34,1.0
6650,117,1.0
790,52,1.0
3819,11,1.0
1190,373,1.0
7058,310,1.0
1464,867,1.0
6347,802,1.0
6924,802,1.0
5659,12668,1.0
8690,2386,1.0
9215,385,1.0
11040,2362,1.0
5387,298,1.0
12638,813,1.0
10060,1163,1.0
3753,3484,1.0
9608,1074,1.0
6859,2577,1.0
1079,187,1.0
3464,1776,1.0
5121,228,1.0
5705,135,1.0
7202,304,1.0
10060,3526,1.0
12117,45,1.0
505,162,1.0
12359,87,1.0
6396,339,1.0
12160,1358,1.0
3118,72,1.0
4306,775,1.0
11305,307,1.0
5696,3,1.0
10337,141,1.0
455,244,1.0
2967,572,1.0
11995,323,1.0
4059,126,1.0
5737,147,1.0
8815,603,1.0
6635,3722,1.0
3164,467,1.0
4213,16,1.0
9287,720,1.0
6240,952,1.0
8252,578,1.0
4448,110,1.0
7821,742,1.0
9665,244,1.0
4673,137,1.0
10202,5,1.0
7006,298,1.0
10778,359,1.0
2544,43,1.0
12117,329,1.0
6252,2490,1.0
3885,476,1.0
7562,300,1.0
7824,826,1.0
1995,1598,1.0
10584,589,1.0
1363,713,1.0
5750,566,1.0
3942,636,1.0
509,216,1.0
12226,717,1.0
12248,242,1.0
3566,1305,1.0
8467,4315,1.0
4216,6257,1.0
1537,283,1.0
6603,130,1.0
6638,401,1.0
7997,1306,1.0
4121,433,1.0
1639,373,1.0
8935,699,1.0
2758,5,1.0
5721,570,1.0
6356,213,1.0
5684,420,1.0
8283,174,1.0
4432,670,1.0
6329,691,1.0
4363,539,1.0
2129,1450,1.0
2505,205,1.0
7234,49,1.0
6017,697,1.0
9827,165,1.0
2011,1210,1.0
1808,1750,1.0
3981,349,1.0
3196,1373,1.0
2133,326,1.0
6698,519,1.0
2294,340,1.0
2008,1091,1.0
4638,225,1.0
5379,7,1.0
8905,245,1.0
6411,952,1.0
3424,874,1.0
3022,728,1.0
10518,321,1.0
9622,573,1.0
5496,1269,1.0
8228,185,1.0
10840,185,1.0
12616,137,1.0
4684,85,1.0
1873,406,1.0
11245,465,1.0
8805,607,1.0
1939,1701,1.0
8167,7,1.0
3851,521,1.0
1411,442,1.0
1788,606,1.0
1317,19,1.0
11030,2107,1.0
9599,1390,1.0
8855,325,1.0
735,6885,1.0
6588,124,1.0
9603,1759,1.0
11276,1977,1.0
8174,3240,1.0
9763,214,1.0
2119,140,1.0
1332,763,1.0
229,404,1.0
2437,1890,1.0
3084,2446,1.0
5022,21,1.0
3373,376,1.0
1718,834,1.0
12102,476,1.0
2568,999,1.0
191,4465,1.0
4326,11516,1.0
5692,59,1.0
581,462,1.0
10159,381,1.0
157,1541,1.0
1901,164,1.0
11529,6197,1.0
4434,78,1.0
10423,2127,1.0
6329,491,1.0
896,591,1.0
9502,103,1.0
9905,301,1.0
7918,164,1.0
2157,581,1.0
1016,59,1.0
5572,1348,1.0
3412,686,1.0
1475,491,1.0
1994,444,1.0
3355,821,1.0
4069,21311,1.0
9389,712,1.0
5590,9972,1.0
10889,730,1.0
9006,829,1.0
511,1222,1.0
8938,363,1.0
4781,1035,1.0
3839,6827,1.0
8059,78,1.0
12302,833,1.0
8902,1772,1.0
6377,1747,1.0
8357,952,1.0
11103,121,1.0
9565,81,1.0
1629,921,1.0
11816,1452,1.0
10989,2870,1.0
5291,813,1.0
5221,8,1.0
3720,201,1.0
7512,249,1.0
9785,271,1.0
5012,28,1.0
575,393,1.0
10210,199,1.0
2960,451,1.0
6876,759,1.0
1083,1974,1.0
10778,75,1.0
2123,472,1.0
9912,6747,1.0
10913,10139,1.0
11567,337,1.0
70,2483,1.0
12097,601,1.0
57,97,1.0
6917,647,1.0
1585,8079,1.0
1934,2204,1.0
9573,897,1.0
2835,108,1.0
6159,936,1.0
1332,14864,1.0
12565,4781,1.0
5560,219,1.0
8705,420,1.0
1519,604,1.0
8949,6053,1.0
9569,408,1.0
3925,773,1.0
3885,625,1.0
8411,758,1.0
5520,2082,1.0
11172,4727,1.0
870,1719,1.0
7184,5023,1.0
6639,2472,1.0
6900,106,1.0
1332,14990,1.0
1160,3180,1.0
11329,10101,1.0
1748,1552,1.0
3793,1253,1.0
2869,2411,1.0
453,83,1.0
6411,21140,1.0
4803,280,1.0
2760,2516,1.0
283,538,1.0
5875,181,1.0
6517,820,1.0
11075,2799,1.0
1059,4466,1.0
1514,4958,1.0
9732,1992,1.0
84,328,1.0
11252,2276,1.0
10530,242,1.0
4527,2423,1.0
7954,626,1.0
8480,156,1.0
11045,230,1.0
1096,846,1.0
2776,390,1.0
9313,13,1.0
1349,59,1.0
7495,101,1.0
9857,889,1.0
7103,985,1.0
12130,1088,1.0
4350,368,1.0
5384,350,1.0
5166,2192,1.0
10047,17,1.0
3956,317,1.0
3637,456,1.0
2214,546,1.0
3700,1352,1.0
8774,11540,1.0
6486,1938,1.0
6928,43,1.0
8496,1198,1.0
868,396,1.0
1873,1139,1.0
1801,1830,1.0
5883,1518,1.0
7821,189,1.0
5702,1134,1.0
11771,1376,1.0
9148,46,1.0
12518,929,1.0
12441,1442,1.0
5478,2749,1.0
3240,3468,1.0
8147,1044,1.0
8379,8,1.0
12626,9572,1.0
3629,844,1.0
5454,873,1.0
8269,226,1.0
699,1634,1.0
10744,320,1.0
4867,536,1.0
10743,9209,1.0
11889,11927,1.0
6683,129,1.0
10586,20,1.0
1332,18491,1.0
5303,943,1.0
3708,5029,1.0
12075,952,1.0
5893,13632,1.0
11099,2213,1.0
6924,831,1.0
9869,575,1.0
4311,7362,1.0
4508,1984,1.0
10280,619,1.0
4373,1193,1.0
6070,1225,1.0
2518,300,1.0
12419,2039,1.0
9660,146,1.0
9561,7769,1.0
1705,567,1.0
2975,1989,1.0
3087,4225,1.0
6562,12569,1.0
3753,7087,1.0
5212,3049,1.0
6987,3645,1.0
3408,3582,1.0
5575,69,1.0
6554,1790,1.0
10201,21233,1.0
6640,452,1.0
3813,773,1.0
11349,226,1.0
2958,119,1.0
3308,2366,1.0
11358,562,1.0
5116,3985,1.0
