user_id,item_list
1,101 36 403 506 123 515 1546 694 52 254
2,1095 47 12 50 28 1522 11 359 949 196
3,59 648 536 259 956 4252 857 239 584 414
4,249 28 50 314 7 139 254 146 171 128
5,1570 77 131 170 471 270 5138 766 8 1220
6,886 9 35 88 395 14 104 168 141 874
8,210 443 722 451 600 480 95 80 3916 760
9,9018 2821 10108 6415 17799 4802 316 115 2282 3646
10,1446 1816 561 1668 2617 2423 2565 3905 1767 3721
11,40 31 58 67 955 93 185 34 99 188
12,2582 4704 329 408 261 2242 1090 2781 1328 325
13,1316 2403 11016 10234 11174 1875 11747 11048 9817 9813
14,1050 297 90 1244 164 2671 263 571 2909 345
15,236 308 1107 707 6957 388 983 653 220 89
16,7 617 29 946 9752 1463 1692 1346 54 3198
17,19 43 80 44 11 98 50 57 16 47
18,332 255 2 179 766 192 617 596 1099 115
19,3571 252 154 764 9442 636 9482 8473 8044 2376
20,313 467 279 376 134 573 129 242 10 192
21,152 405 1111 873 2 458 786 615 484 1
23,1279 2295 3351 754 1290 82 236 1370 6111 983
24,4937 18934 8516 15801 2247 8778 1705 3852 4 1808
25,107 18 1309 51 108 7 183 485 15 290
26,269 139 254 41 1005 1256 34 252 1089 15
28,47 11 325 133 19 146 41 39 843 136
29,1555 516 627 28 4688 681 43 77 1764 670
30,17058 23 57 17056 160 259 71 65 1 9
32,379 2316 1393 2734 1986 18 418 2418 15 10
33,1510 4904 435 11199 1807 264 8 61 496 1631
34,434 888 1159 812 8930 567 10001 3602 121 365
35,314 254 139 146 1079 996 165 1081 474 1824
36,181 4 16 202 183 283 103 379 48 2205
38,101 161 11 710 2 354 28 403 7 1906
39,1057 8 36 101 304 165 1 281 378 269
40,31 58 17 19 174 76 47 3 2546 9
41,31 58 55 592 618 77 66 148 605 60
42,1310 5744 249 1369 329 252 308 293 829 299
43,238 149 15 36 372 1369 21 683 8 104
44,215 499 133 267 7 439 197 457 289 81
45,202 15 413 10 21 1206 101 3417 4030 3177
46,4116 2253 1505 4126 322 228 74 394 1218 934
47,96 38 214 211 344 442 1635 154 262 85
48,332 28 17 296 47 27 7 37 6 1337
49,116 148 182 32 344 138 96 5 45 590
50,481 67 177 199 748 634 1043 235 278 1174
51,238 428 625 42 678 919 4 11 28 566
52,94 438 498 1395 178 146 15 81 3049 262
53,3970 3687 859 6472 4819 7075 9043 6471 6273 720
54,19 2 238 174 278 8 6 769 157 135
55,5255 6617 12798 13878 6095 6941 786 20 6093 164
56,99 384 1198 1342 831 106 2531 933 167 116
57,160 648 956 536 159 186 117 104 144 582
58,2404 101 3945 36 693 433 582 1546 161 308
59,4462 612 93 353 261 1190 415 5051 5821 1551
60,2 4 1 7 6 3 8 20 9 15
62,85 278 106 291 583 238 411 3575 950 221
63,1316 1668 624 3011 978 4042 1051 4833 2 34
64,41 36 5 379 524 3438 98 303 3124 1483
65,2 4 1 7 6 3 8 20 9 15
67,181 739 6203 23 445 205 111 871 122 3039
68,281 96 138 324 1151 1994 546 344 178 743
69,25 14 371 95 16 4 46 33 1471 22
70,67 614 413 135 2 709 177 1103 74 1470
72,7169 9653 7454 8620 10901 10910 41 39 58 76
73,125 516 21 10057 2660 998 4252 332 1728 12080
74,11 27 47 42 815 197 388 1004 145 37
75,19 56 184 9 702 1028 124 80 319 258
76,31 77 66 40 1124 2401 55 556 304 11626
77,285 7 1903 771 600 722 216 682 443 778
78,546 155 63 7212 751 939 14083 281 395 27
79,138 208 344 85 66 146 1070 254 746 21
81,7600 2599 22 135 614 9404 8 66 2578 77
82,55 76 49 181 3 33 4 23 542 65
83,1083 1214 1288 117 5 486 2237 805 837 510
84,583 411 905 41 31 1537 1497 39 141 76
85,60 116 41 31 39 405 458 304 17 909
86,154 28 786 17 11 398 47 27 1326 457
88,346 99 1222 1089 133 11531 139 2725 318 56
89,138 154 433 324 12673 186 344 59 10 648
90,21 64 98 104 144 56 192 13 184 35
91,90 1406 82 104 915 884 168 258 187 184
92,2988 147 14 471 140 32 829 9622 21223 1225
93,95 220 1024 768 17 532 1044 28 537 901
94,28 11 42 498 51 1020 6 21 365 107
95,482 44 2456 4 16 112 339 75 2178 284
96,72 766 1264 617 1346 601 483 49 4 135
97,654 125 423 923 4 2364 6 132 687 1673
98,7839 8688 11765 21 29 112 13600 10 15 7590
99,138 96 64 57 204 356 995 527 877 511
100,313 99 764 636 1050 63 11 50 851 17
101,2314 82 837 754 1177 282 624 1290 526 1207
102,7055 5724 2904 67 2284 1795 2958 2843 2283 2147
103,694 1481 901 155 98 43 751 13 97 53
104,119 299 252 23 2 4 71 89 112 3
105,8752 6820 19078 21 3 190 18668 10 885 141
107,39 55 51 313 3 467 376 764 16 430
108,32 182 689 147 94 585 208 34 298 108
109,131 2 745 1 205 1975 124 114 7 4
110,58 82 428 76 1155 625 755 2416 770 983
111,59 95 536 648 584 35 371 220 414 956
112,2603 3692 498 365 105 264 15 1629 3300 403
113,168 104 9 184 56 372 1391 224 913 1805
114,5 17 575 50 5427 293 27 186 37 102
115,1511 121 1220 2700 44 286 1040 2436 4 6374
116,15 101 161 354 506 785 403 699 7 337
117,88 72 339 798 217 87 4 108 1 806
118,7 112 295 85 298 4031 791 30 677 548
119,102 1433 179 300 596 7 416 267 813 1336
121,2729 1971 2886 3659 2575 3134 4976 6432 6784 6468
122,28 3134 3659 111 27 17 40 1123 51 347
123,33 8 65 73 103 330 4 663 16 266
124,346 859 1342 2590 3520 94 9878 1198 715 8112
126,766 131 617 8755 6026 7521 428 177 172 625
127,618 40 41 39 55 42 828 624 47 11
128,11 42 50 28 814 9266 2493 213 36 1399
129,147 585 40 31 533 1542 58 2013 199 1825
130,148 593 736 116 831 766 175 378 207 1346
131,55 6967 939 198 159 117 510 1930 4 1805
132,335 843 133 474 316 554 563 1754 1821 1101
134,186 4 80 56 122 174 2 95 144 65
135,15 2 132 446 763 891 48 566 22 103
136,8740 9766 143 1687 8683 185 35 11033 390 4
137,313 157 143 1542 376 1 93 1825 627 2
138,117 11 120 28 1670 50 47 500 42 8
139,31 56 58 144 76 170 65 22 103 258
140,25 16 4 215 44 28 95 50 11 37
141,624 5 253 1440 43 385 39 31 126 657
142,94 264 40 58 39 202 41 154 62 55
143,1573 28 2724 480 1749 830 33 691 1536 47
144,9 35 168 133 144 2981 318 254 3299 184
145,56 144 16 42 8 149 47 1 240 50
146,85 93 38 51 230 520 514 120 532 603
147,2 95 80 44 1 157 33 71 174 48
148,265 20 279 1750 1817 4 4344 7 1442 669
149,45 17 50 37 47 27 2 122 220 145
151,1207 936 281 1067 621 1405 89 754 236 716
152,45 85 80 389 159 886 157 320 66 326
153,17 27 42 37 145 136 679 363 122 14
154,55 58 546 1083 76 135 80 634 1214 1288
156,42 451 760 37 691 569 136 722 769 6
157,6197 7027 6725 17896 17895 17907 7395 6428 313 5192
158,19 1 33 35 250 65 95 157 103 144
160,2955 134 327 141 22 73 815 156 867 762
163,5 1098 44 71 343 89 16 3259 4 352
164,4 44 2599 61 268 72 79 243 339 1
165,3537 3476 6309 555 3870 2841 385 6759 392 5814
167,33 48 103 4 1 20 141 319 56 251
168,2 4 1 7 6 3 8 20 9 15
171,11 13 28 145 433 399 1 136 98 43
172,40 76 3 102 280 425 5 133 212 416
173,320 2013 585 262 203 188 38 1 93 211
174,154 298 4031 11515 287 21 1934 1405 863 1
175,8 61 82 390 305 6 14 10 4 827
177,27 8 145 80 136 220 16 277 157 1
178,128 112 248 1232 765 1 23 56 68 71
181,512 1321 1304 2151 2255 1932 1019 1899 3602 209
182,27 11 28 42 145 363 277 37 679 730
183,16596 9741 1389 177 2751 229 3972 480 14 3779
184,47 27 50 220 462 2131 42 1 49 326
185,901 2326 1737 3872 22 48 960 1706 292 316
187,17 399 28 11 165 201 45 244 253 5
188,2791 3537 3407 85 808 2702 7145 2072 94 120
189,4057 94 2582 5332 1198 159 5806 147 1315 442
191,2963 2577 262 738 1172 4953 2827 8139 7413 39
192,154 1057 446 105 1352 2 3372 73 4 491
193,2053 33 494 22 123 423 448 723 782 2023
194,21 131 1159 812 109 247 10 51 962 25
196,3750 509 712 1846 910 186 1966 401 1054 44
197,242 430 152 615 467 573 938 873 471 484
198,36 511 375 161 857 506 750 354 403 523
199,94 34 897 738 1704 392 99 2163 4868 734
200,10 9 50 18 422 51 29 155 3 16
201,174 251 1 272 424 73 141 48 194 427
202,96 2424 101 2423 59 40 39 1124 3620 414
203,4066 4662 8765 21332 7 875 9250 225 6 387
205,4 2201 22 12243 8437 33 4488 103 5 9405
206,981 851 1568 117 500 120 510 459 192 159
207,6 72 238 135 590 278 94 199 264 1897
208,22 41 39 837 58 2 978 45 76 662
210,433 399 582 474 316 261 350 325 476 292
211,323 214 603 1296 230 211 154 3189 278 177
212,712 1790 365 51 298 284 107 81 285 11
215,15 1938 1519 1210 463 2355 505 551 4288 88
216,510 985 957 62 500 178 160 10 105 1375
217,258 144 35 168 240 184 310 56 803 1082
218,43 57 109 348 88 123 16 598 879 901
219,107 81 88 43 21 284 26 210 29 109
220,7 137 4252 68 112 295 13878 12798 307 786
221,883 5 294 23 2231 1476 71 11336 7718 4987
223,903 732 441 84 347 531 1848 3372 856 292
225,250 385 541 404 67 781 1053 238 1521 278
226,68 54 112 1555 19 84 237 48 98 383
227,116 175 20 22 103 142 309 378 304 4
228,189 61 75 74 519 79 190 7 3 4
229,1230 170 566 36 132 1044 763 2 1399 1785
230,108 1203 759 831 3236 551 167 1104 7 1352
231,85 42 28 202 50 15 107 9 1272 51
232,40 76 2510 102 33 1578 4 203 41 19
233,96 476 2208 182 117 159 510 208 1267 1
234,42 136 47 11 145 27 28 37 774 1549
235,55 664 98 51 43 198 64 5 243 52
236,116 175 7 2162 593 1755 12877 736 437 8768
237,1112 8 786 1028 998 1283 739 1728 766 517
238,80 157 174 2 1 4 456 8 33 45
239,390 89 1488 4941 3162 3620 2007 5 438 3616
240,119 2689 433 399 2913 496 420 1165 3460 3533
241,687 425 4567 482 10 1027 1672 423 6 23
242,17628 10897 13333 4900 5216 12370 17641 105 14537 3204
243,8 25 1191 3198 1422 1481 3620 2453 20 265
245,1 2657 1093 93 172 61 211 6 157 1410
246,1512 2 5039 6 14 210 8 704 1 5
247,56 168 310 382 184 149 319 570 288 325
248,2 6 30 26 110 1 63 20 168 4
249,39 55 3 1922 486 7875 6043 8407 1545 5220
251,33 60 4 116 929 14 134 147 552 65
253,80 44 1636 2103 4840 701 157 2 494 2665
254,1005 612 329 1620 139 994 261 415 48 1132
255,2386 828 1051 92 4267 250 1382 132 145 2689
256,95 220 8 60 66 537 1428 191 175 9
257,681 955 170 80 702 301 174 631 20 157
258,585 1367 1722 4539 389 159 1307 15 10 907
259,5 45 181 621 29 328 191 537 1067 410
260,216 80 1 157 8 52 20 33 22 155
261,2 4 1 7 6 3 8 20 9 15
262,50 56 5 104 6 184 136 1603 2108 1357
263,950 825 135 139 133 14 5045 67 235 1633
264,767 36 7 1476 1714 447 101 5180 3253 167
265,739 1 2 571 173 482 132 4 1496 425
266,162 2721 178 1863 1114 937 1811 1431 256 33
267,158 291 15 257 63 112 774 10 2513 7
268,6551 4100 7900 3372 733 325 9843 2962 630 16672
269,122 168 104 35 17 28 244 532 50 579
270,39 58 3 401 596 813 255 486 78 88
271,59 160 451 259 584 685 648 827 15 536
273,555 600 443 385 1210 2841 769 2202 1768 722
274,1196 1100 609 156 2186 1503 102 397 2532 3959
275,496 476 2208 8332 2057 2689 3214 1169 2505 2257
276,40 39 41 58 55 161 3 76 506 231
277,561 376 430 573 10 117 985 1724 109 500
278,138 324 120 344 51 510 10 712 125 1227
279,112 107 548 88 26 21 422 333 15 273
280,149 104 17286 35 8834 224 807 412 12162 683
281,40 41 618 39 17 31 1825 27 47 1108
282,116 66 8 80 278 67 781 773 41 2612
283,35 104 9 31 144 135 40 238 373 292
285,572 789 44 571 203 40 8 39 41 2599
286,19820 680 440 17608 1462 10913 17561 321 566 15
287,1232 303 40 76 41 39 31 350 843 592
288,1095 52 690 1354 25 44 8 281 5440 109
289,15 390 884 915 82 101 1438 1812 69 305
290,34 449 4057 3597 365 51 4704 262 516 147
292,146 316 509 171 1006 48 314 17 2401 563
293,4 19 103 115 80 265 279 48 8 1
294,36 15 291 840 1523 53 1234 354 1223 790
295,521 1630 1221 5848 149 2449 168 34 372 9879
297,4 1008 44 1103 512 17 11 1197 47 14
299,45 191 389 537 80 465 1067 792 754 415
300,296 1004 267 360 1337 407 3092 2 197 923
301,31 39 58 3 298 81 237 22 1166 2
302,401 33 77 596 70 2 60 116 103 148
303,16 44 25 8 229 3 489 597 34 510
304,19567 16934 469 17428 21850 7456 18990 16266 7518 16226
305,29 117 159 751 510 7 1490 68 180 800
306,3325 179 734 596 29 601 1431 249 712 252
307,842 3453 207 5242 60 5996 4 77 2906 4579
308,51 716 1 81 4 2 6 8 5 7
309,43 29 101 165 15 98 133 13 36 356
310,16 401 262 51 2060 596 8 394 25 553
311,716 5772 5977 3862 352 1448 3454 9745 6279 11003
312,4094 6064 8328 1304 512 12929 5044 470 12082 1321
314,9 35 382 173 482 570 224 240 4 10
315,401 1431 9770 81 51 596 601 96 29 979
316,2 4 1 7 6 3 8 20 9 15
317,121 1040 3497 3916 3190 286 3602 15826 4507 448
318,2967 2208 168 4223 35 1267 3043 56 2294 5633
319,279 22 4 2736 5831 1436 2130 48 2 3524
320,10 44 3176 1354 315 4 125 1199 2665 723
321,107 51 131 256 21 2641 29 1393 2 81
322,682 769 600 722 778 771 578 760 1683 1155
323,45 7444 792 1024 102 4 906 156 880 537
324,224 558 319 288 1417 807 1772 240 310 184
327,102 205 725 267 858 1501 398 698 609 2894
328,105 4516 490 2261 18676 11955 1307 21496 3422 14742
329,5 19 111 3000 23 172 305 123 26 45
330,171 254 314 269 966 1670 165 563 1132 1089
331,109 455 2 1115 312 43 1 10 130 7
332,60 4 148 1092 48 40 39 175 41 76
334,12 615 458 1111 150 405 31 564 2619 1602
337,56 874 104 240 168 149 26 135 2686 1416
338,42 11 50 28 9 35 328 168 742 104
339,397 82 983 1100 1143 1107 35 42 1308 1847
340,4775 1506 3976 2056 5841 4371 816 327 6948 5073
341,949 380 422 359 744 7 276 307 283 1180
342,4 9 51 26 131 56 107 894 600 3288
343,76 182 208 3 121 1451 324 344 498 23
344,94 34 627 262 681 1315 99 2129 4787 106
345,12 16 266 1303 4 405 10 52 152 25
346,16 17 80 1 47 28 44 157 50 54
347,411 45 28 11 841 904 291 905 170 17
349,146 22 165 1258 48 254 867 938 314 318
350,35 56 168 9 104 11 264 1286 17 310
351,438 2007 1467 3095 21 1363 2986 281 3899 63
352,4855 733 29 10305 457 267 2121 1774 1776 1090
353,10 848 2468 3233 2 3176 690 1863 588 7
354,2 4 1 7 6 3 8 20 9 15
355,41 31 55 3 283 54 490 137 112 7
356,134 33 1 48 8 65 410 28 2 1452
357,778 771 722 174 122 111 2692 2801 2800 456
358,7 54 283 68 380 295 359 820 1002 276
361,10307 41 40 449 8168 133 5242 76 3 98
363,117 308 5317 500 1493 51 1308 321 282 166
364,1321 1464 1197 4749 2807 3661 1304 3302 3030 3416
365,3439 334 15 183 660 709 85 2697 9899 1582
366,950 647 6 106 1684 933 1633 48 24 14
367,15 101 325 12967 161 146 7667 10669 13057 350
368,509 399 433 59 1054 12 160 582 405 414
369,60 2501 2367 148 4292 3945 156 102 736 7535
370,242 345 313 14 4 1691 376 15 467 101
371,298 929 2148 1046 32 107 179 695 29 284
373,1833 4223 234 3043 4211 6110 3220 3100 1970 1194
374,90 1244 44 16 112 4 2428 229 18 283
375,103 33 383 424 22 73 65 77 1 8
376,259 536 1001 1233 956 584 1837 2512 2718 4137
377,71 969 1596 1483 293 2236 23 17 11 47
