user_id,item_list
1,36 15 8 52 2 101 3 112 4 1
2,15 2 3 4 8 27 5 6 11 1
3,4 125 224 832 7 78 307 1281 6 4252
4,28 42 50 1 5 3 2 145 9 136
5,77 4 116 72 20 8 51 6 1 2
6,6 35 4 7 1 3 886 18 196 2
8,2 4 19 7 6 14 10 3 38 451
9,463 115 350 58 41 2345 2618 554 859 1005
10,67 41 76 4 7 40 8 3 1446 60
11,31 40 58 4 55 2 6 34 44 52
12,99 4 262 2 77 139 171 261 6 627
13,1316 53 376 1411 1674 313 2403 32 242 618
14,7 17 4 6 51 30 47 25 28 3
15,35 2 3 56 17 220 7 5 27 20
16,7 29 10 54 81 2 6 51 109 202
17,47 50 17 43 57 11 37 27 98 2
18,2 14 7 83 179 212 332 88 24 192
19,313 430 252 764 636 154 639 32 53 7
20,376 313 467 129 573 242 764 636 7 4
21,97 152 1 5 405 9 13 2 3 873
23,82 282 1279 1682 837 14 2295 479 706 308
24,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
25,7 108 485 143 1873 140 14 130 237 159
26,139 15 34 254 165 4 269 292 441 9
28,2 11 27 19 4 47 1 50 3 40
29,77 627 116 28 43 681 1 11 60 8
30,3 1 23 9 4 12 160 71 7 57
32,379 1393 287 28 113 418 71 15 550 655
33,4 8 33 22 2 205 61 35 212 48
34,202 365 87 7 15 434 567 51 85 99
35,171 254 314 139 269 146 165 474 996 316
36,4 1 6 3 25 8 22 51 20 14
38,1 28 4 14 11 2 7 132 8 27
39,77 148 36 3 4 1 8 165 29 12
40,4 39 1 31 58 3 9 19 47 17
41,40 31 58 55 2 77 4 66 20 1
42,4 1 2 14 3 132 44 18 8 110
43,15 36 21 25 85 2 109 10 8 149
44,133 146 325 350 197 269 318 329 165 10
45,15 14 1 4 25 19 413 22 9 202
46,6 4 22 228 2 20 19 8 24 33
47,8 34 7 4 2 94 38 182 96 3
48,11 17 28 2 47 27 6 106 90 14
49,116 148 4 32 182 2 20 96 8 344
50,177 67 238 395 278 44 235 14 481 164
51,4 2 24 238 20 25 11 16 17 278
52,94 34 133 146 9 269 318 139 254 53
53,7075 15 859 7883 3970 720 6277 6472 6471 4819
54,238 6 4 8 1 278 135 19 80 177
55,5255 6617 20 6095 307 6093 6941 1088 46 278
56,6 1 4 8 34 7 99 38 90 241
