user_id,item_list
1,36 101 123 506 403 515 694 52 1546 254
2,1095 47 12 50 1522 28 656 102 196 359
3,59 857 4252 259 2172 239 536 648 956 1281
4,249 28 50 7 139 314 146 171 254 612
5,1570 77 170 131 95 5138 1511 471 116 1220
6,886 874 88 35 395 9 168 184 104 141
8,210 443 451 722 600 480 3916 95 1130 366
9,9018 2821 2282 10108 17799 316 4535 554 4802 6415
10,1816 1446 561 1668 2617 2565 2423 3905 67 1767
11,40 31 58 67 955 99 185 34 514 32
12,4704 2582 261 329 2242 325 408 212 2781 1328
13,1316 2403 11016 10234 1875 9817 11747 9813 11048 11174
14,1050 297 1244 164 90 2909 571 345 871 28
15,236 308 1107 6957 707 388 220 653 35 983
16,7 617 29 9752 946 1346 1569 1463 3198 1692
17,43 19 80 98 44 11 50 16 57 47
18,332 255 2 766 3226 192 973 179 617 3967
19,3571 154 252 764 9442 8473 8044 636 9482 2376
20,279 467 573 134 313 376 242 129 192 482
21,152 405 1111 786 2 873 458 189 10 528
23,1279 2295 82 3351 6111 1290 754 8444 983 282
24,4937 18934 13156 3852 2247 8516 13803 22124 7562 6326
25,1309 107 485 551 6105 555 574 1873 1088 4358
26,269 139 254 41 1005 15 252 314 34 1089
28,47 11 19 133 325 41 39 146 843 136
29,1555 28 627 516 4688 77 43 681 60 17
30,17058 23 17056 57 160 259 15355 71 98 1259
32,379 1393 2316 2734 1986 18 418 2418 1946 1289
33,1510 4904 435 11199 264 496 1807 6937 1631 871
34,888 434 812 1159 8930 10001 567 3602 3190 17462
35,314 139 254 146 165 996 1079 3847 1939 4593
36,181 4 16 202 2205 183 1578 379 283 103
38,101 161 11 4360 710 28 262 287 5843 439
39,1057 36 8 101 165 304 281 1 269 139
40,31 17 58 174 47 19 76 9 42 2546
41,31 55 58 77 618 592 148 66 175 60
42,1310 5744 249 1369 329 252 829 293 4013 308
43,238 149 15 1369 36 372 21 683 135 2996
44,499 215 7 267 133 289 439 843 81 457
45,202 15 21 783 62 101 4030 3177 413 1206
46,2253 4116 1505 4126 322 74 228 1218 394 22
47,96 38 214 211 344 442 1635 262 154 929
48,28 332 17 47 296 6 7 27 37 1337
49,116 148 182 344 32 138 5 96 45 214
50,67 177 199 481 748 634 278 143 238 235
51,238 428 625 42 919 678 4 28 566 1014
52,94 438 498 178 146 133 262 1395 15 81
53,3970 859 6472 7075 3687 6471 720 4819 6273 6277
54,19 238 2 174 278 769 8 112 157 6
55,5255 6617 12798 13878 6095 6941 786 1474 10578 2859
56,384 99 1198 1342 831 738 2531 116 933 106
57,160 648 536 956 159 186 117 2043 582 144
58,2404 101 3945 36 433 693 582 308 1546 161
59,612 4462 93 353 415 1190 261 5051 38 5821
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,238 85 291 411 106 278 950 3575 583 3059
63,1316 1668 624 978 1051 3011 4042 4833 80 34
64,41 36 379 5 524 3438 303 7128 1483 5360
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,181 739 6203 111 23 13 871 122 205 3039
68,281 96 138 324 1994 1151 546 344 178 3373
69,25 95 14 46 1372 371 1471 1244 16 1227
70,67 2 614 413 709 1 2741 541 135 5433
72,7169 9653 7454 8620 10901 10910 41 39 58 76
73,125 21 998 516 10057 1728 4252 2105 120 580
74,11 27 47 42 388 815 1004 197 145 1897
75,19 184 56 124 1028 702 9 191 80 537
76,66 31 1124 2401 77 40 304 55 556 805
77,1903 771 285 7 600 216 722 443 778 682
78,546 751 155 7212 281 14083 63 939 2803 913
79,138 208 85 66 344 77 146 171 21 1070
81,7600 2599 664 705 22 135 9404 1999 77 790
82,55 76 49 181 33 23 65 542 1341 71
83,1083 117 1214 1288 5 2237 486 805 572 510
84,411 583 1537 905 41 31 1497 2243 39 76
85,116 60 41 31 39 458 405 909 17 304
86,154 28 786 17 398 27 11 47 298 1326
88,346 99 1222 11531 133 1089 139 2725 262 56
89,138 154 433 324 186 344 59 12673 12672 15015
90,21 98 64 144 104 109 56 2006 1220 192
91,90 82 1406 884 915 104 168 258 187 1438
92,147 471 2988 140 1225 9622 4458 829 2299 21223
93,95 220 768 1024 532 28 17 537 496 174
94,28 42 11 498 51 1020 6 2259 74 365
95,482 44 2456 16 4 2178 112 339 1842 567
96,72 766 1264 617 1346 483 601 16230 10834 118
97,654 1777 923 7604 2364 125 2114 1673 910 5431
98,7839 8688 11765 21 29 13600 13494 7590 17162 10
99,138 96 64 57 511 204 500 117 995 877
100,313 99 764 636 1050 851 63 262 11 50
101,2314 82 837 754 1177 282 1207 137 707 624
102,67 7055 2904 2284 5724 2283 2843 2585 1795 2958
103,694 1481 901 751 155 98 97 13 43 53
104,119 299 252 23 71 112 89 2 639 129
105,8752 19078 6820 21 18668 190 885 141 196 1478
107,39 55 51 313 764 467 376 16 73 430
108,32 182 94 585 689 108 34 147 208 1
109,131 745 205 1975 1 395 1147 564 1868 124
110,82 58 428 76 1155 755 600 625 2416 496
111,59 95 536 584 35 371 648 414 220 956
112,2603 3692 365 498 105 690 264 403 871 13908
113,168 9 104 184 56 1391 372 224 1805 913
114,5 17 575 50 293 37 5427 186 27 102
115,1511 121 1220 44 2700 4 263 6374 2436 286
116,15 101 161 354 403 506 49 110 699 544
117,88 72 339 217 87 798 1927 1010 4894 806
118,7 298 85 4031 21 791 5052 112 29 603
119,102 179 1433 596 300 7 267 813 1336 3154
121,2729 1971 2886 151 3659 3134 2575 4976 6432 3586
122,28 3134 3659 111 17 27 40 1611 51 347
123,8 33 65 103 73 16 330 424 266 663
124,346 859 1342 94 2590 3520 8112 9878 715 1198
126,766 131 617 8755 7521 6026 5585 625 79 7522
127,618 40 42 828 41 624 47 55 39 11
128,42 11 50 28 814 9266 2493 36 213 999
129,585 147 533 40 31 1542 199 58 14172 2013
130,148 593 116 736 175 766 831 378 207 471
131,55 6967 939 198 159 117 510 1930 50 3476
132,133 843 335 474 1754 316 4616 554 1821 3041
134,186 4 122 56 80 174 95 77 201 293
135,15 132 446 891 763 22 566 103 2 101
136,8740 9766 390 1687 8683 703 1425 11033 14089 265
137,313 143 157 1542 1825 376 275 627 93 467
138,117 120 11 28 1670 4922 50 3898 500 413
139,31 56 144 58 170 76 769 203 258 224
140,25 4 16 95 215 44 28 597 1415 37
141,624 5 253 43 1440 385 657 742 57 126
142,94 264 154 58 40 39 202 41 871 62
143,1573 28 480 2724 1749 33 830 17 47 451
144,35 9 133 168 144 2981 318 3299 254 184
145,56 16 144 42 8 47 240 122 28 149
146,85 51 93 520 496 532 514 120 38 230
147,95 1 44 80 71 2 157 174 16 48
148,265 20 279 1817 1750 4344 669 1442 7058 16721
149,45 17 50 47 37 220 2 16450 122 19258
151,1207 936 1067 281 621 1405 716 997 2610 2
152,85 45 80 389 159 886 157 326 66 320
153,17 27 37 42 145 136 338 111 363 277
154,55 58 546 1083 76 80 135 634 1214 1288
156,42 451 37 760 569 97 174 769 136 691
157,17896 17907 17895 7027 6197 6725 313 17889 3071 7030
158,19 1 35 33 95 65 250 157 220 410
160,2955 134 327 156 815 762 181 141 22 73
163,44 71 3259 1098 5 343 16 89 4 352
164,4 2599 44 268 61 72 155 181 4483 243
165,3537 3476 555 3870 2841 385 3789 6309 392 2638
167,33 48 103 319 1 807 558 56 149 4
168,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
171,11 13 145 28 43 98 433 399 136 1
172,40 76 102 280 212 300 425 979 5 416
173,320 2013 262 203 585 188 38 1 603 93
174,154 298 287 4031 11515 21 1 1405 603 2513
175,390 82 8 990 61 305 638 827 2149 163
177,27 8 145 220 80 567 136 266 389 157
178,128 112 1232 23 1 248 56 71 765 68
181,1321 512 1899 2151 1932 1304 1019 2255 3602 209
182,27 28 11 42 145 363 5 37 277 730
183,16596 9741 480 2751 4252 3464 19084 229 297 1389
184,47 27 50 220 462 42 2131 1 49 37
185,901 2326 1737 22 292 3872 316 48 960 769
187,17 399 28 165 201 11 45 244 253 314
188,3537 2791 85 3407 808 94 2702 7145 2072 120
189,4057 94 1198 5332 2582 159 442 5806 147 211
191,2963 262 2577 1172 738 4953 39 2827 6588 31
192,154 1057 3372 446 1352 105 7900 5 251 73
193,2053 33 2023 123 22 196 423 494 4467 706
194,812 1159 21 131 21332 4066 109 4102 52 962
196,712 509 3750 1846 186 1966 910 401 44 1054
197,242 152 430 615 467 471 938 270 573 873
198,36 511 375 857 750 161 506 832 1073 19
199,897 94 1704 34 738 2163 392 955 99 681
200,9 50 422 4247 9325 2989 10 1681 765 171
201,174 1 251 424 272 2644 73 660 22 1633
202,101 96 59 2424 2423 40 39 414 1124 3620
203,4066 21332 8765 4662 225 9528 510 1822 8993 9250
205,4 2201 22 8437 12243 8417 9944 33 5 9405
206,981 851 1568 117 500 510 120 229 192 159
207,6 94 590 1897 238 1931 72 135 199 278
208,22 837 41 39 978 45 58 17 662 2
210,433 399 261 316 474 476 292 582 350 563
211,323 214 603 1296 211 230 154 278 177 3189
212,712 1790 365 298 51 284 11 93 4110 285
215,15 1519 1938 1210 88 2355 463 133 3645 101
216,510 985 62 160 957 10 500 105 178 113
217,35 144 258 168 184 240 56 310 803 87
218,43 57 109 348 123 262 88 598 16 879
219,107 81 88 43 21 210 284 682 109 13
220,137 7 4252 68 12798 13878 422 295 112 786
221,883 5 294 23 71 2231 1476 352 143 11336
223,903 732 441 84 347 3372 261 4727 1848 531
225,385 250 67 781 404 1521 541 238 1053 278
226,1555 19 43 112 98 68 48 54 237 627
227,116 175 22 20 103 309 142 580 1112 378
228,189 61 74 16639 75 7 190 53 20 79
229,1230 36 170 2 566 132 243 1321 1899 1044
230,108 1203 759 831 551 167 3612 10537 3236 1352
231,85 42 28 50 15 202 9 107 826 1272
232,76 40 1578 33 102 2510 203 1825 19 41
233,96 476 2208 182 117 510 208 159 1267 9957
234,136 27 42 28 145 47 37 774 11 36
235,55 664 98 43 51 198 5 64 243 52
236,116 175 7 12877 2162 9809 593 21357 13973 8768
237,8 1112 786 1283 1028 739 998 1219 1441 4020
238,80 157 174 2 4 1 33 8 48 45
239,390 89 1488 4941 3620 3162 438 5 2007 13
240,119 433 2689 399 496 2913 420 3460 1165 631
241,687 4567 425 1027 482 2247 423 1672 6124 4443
242,4900 17628 10897 5216 13333 105 17641 14537 5821 19859
243,8 1191 25 3198 1422 1481 2453 3620 20 265
245,1 2657 1093 93 6249 1410 172 61 157 190
246,1512 2 5039 210 9172 13521 19004 21141 21097 9823
247,56 168 310 382 184 149 325 288 843 2384
248,2 168 1245 6 6613 30 1 9 72 407
249,39 55 6043 1922 8407 1545 483 81 4746 5220
251,33 60 929 116 4 1020 14 35 148 65
253,80 44 1636 2103 701 157 4840 740 2665 4627
254,612 329 1005 261 994 1620 139 33 415 1259
255,2386 828 1051 92 4267 1382 250 2257 132 13
256,95 220 8 537 60 66 191 175 1428 510
257,681 170 955 80 702 174 301 2649 4126 157
258,585 1367 1722 389 4539 15 10 159 1307 521
259,5 45 328 181 29 621 191 537 8 410
260,216 80 1 52 8 157 33 155 532 63
261,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
262,50 56 5 104 6 184 199 136 382 43
263,950 825 133 5045 139 135 1019 258 1464 933
264,767 36 7 1714 5180 1476 3253 101 1104 8933
265,1 173 5414 425 482 739 571 4567 423 1672
