user_id,item_list
1,101 36 15 123 515 403 314 694 592 1422
2,1095 47 50 12 11 196 28 1522 656 949
3,59 511 239 1281 857 4252 970 2172 648 1185
4,11 28 50 249 252 146 254 1313 136 612
5,77 170 72 471 1220 131 1570 3063 2641 8260
6,886 9 35 88 168 874 104 141 450 56
8,210 451 480 3916 1094 80 4 771 322 591
9,10108 3646 180 350 5724 2350 993 20079 13038 3071
10,1816 561 1411 1674 3905 1668 1446 3721 2386 67
11,40 31 58 627 67 188 514 1635 520 93
12,4704 2582 329 1090 4719 261 1845 353 325 587
13,1316 1446 809 2403 11174 2198 1875 39 41 58
14,1050 571 202 1817 28 297 2909 17 271 345
15,236 308 1107 707 220 6957 89 7926 983 837
16,7 9752 617 1569 946 3198 1346 8693 1710 14375
17,19 80 43 98 44 57 157 16 4 198
18,332 255 179 766 284 1112 1397 192 3967 617
19,467 376 252 764 5903 8044 3571 236 9442 8473
20,467 573 313 242 129 376 279 134 267 1004
21,12 786 528 152 189 164 150 24 92 405
23,1279 2295 754 282 82 1290 236 1370 308 983
24,3021 596 179 1076 1942 8432 5899 284 675 1016
25,51 758 18088 183 574 368 290 1258 4235 766
26,318 254 252 353 1788 1089 1256 269 966 612
28,27 47 11 50 39 325 41 55 58 139
29,28 627 494 77 43 60 17 681 175 1555
30,23 57 17056 160 15355 259 9749 7991 12192 5418
32,379 1393 418 1161 1609 12332 655 121 30 12
33,435 1510 264 496 8 1415 11199 1631 4904 571
34,888 10215 6219 2221 2359 8934 87 22346 513 6436
35,133 1939 4593 139 3847 254 1079 146 318 996
36,16 379 569 202 1578 1147 254 183 1393 3870
38,108 11 4360 101 28 7 287 1022 2 99
39,77 15 8 101 108 304 1057 378 281 254
40,31 17 58 76 19 47 174 201 2546 80
41,31 55 58 618 592 605 1083 1108 1288 112
42,1310 5744 1369 249 829 252 293 11671 3325 299
43,149 21 168 238 372 366 144 2996 683 184
44,499 457 267 197 171 350 843 325 2954 16540
45,202 101 15 36 3177 4030 95 5112 922 429
46,1505 360 2253 4126 4116 1218 394 228 1799 301
47,96 188 344 514 214 38 203 93 1635 645
48,28 17 332 47 27 7 3282 296 3278 5102
49,66 116 148 214 5 45 10 304 746 499
50,177 67 481 634 748 404 143 53 235 2282
51,428 238 8 625 678 11 27 919 1930 50
52,94 438 178 2177 99 1676 133 146 498 7926
53,6472 859 3970 720 18028 6471 7516 4819 9043 6273
54,19 238 174 2 278 8 157 112 48 22
55,13878 18909 3103 15274 733 1255 956 3917 1474 1571
56,99 384 1198 66 116 831 106 60 715 214
57,160 648 159 536 956 186 582 104 399 2315
58,101 2367 2404 7867 3945 433 36 582 693 699
59,4462 353 4352 1190 93 5051 1 612 214 4900
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,291 85 238 411 278 583 67 3059 106 154
63,1316 1668 809 34 4559 4833 94 80 4042 837
64,41 7128 76 534 36 71 5360 379 6260 524
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,739 1145 6203 23 181 13 2 243 201 871
68,716 138 96 281 324 344 598 1994 743 546
69,25 16 22 1372 14 1244 95 90 1095 1227
70,213 67 72 631 5433 301 4361 654 413 407
72,9653 7454 7169 39 7170 8620 10901 41 10865 58
73,21 516 2660 9114 114 1300 13684 10057 18163 146
74,11 50 27 47 388 391 815 42 1897 261
75,56 184 9 45 301 450 803 1028 19 20871
76,31 40 77 55 66 343 526 76 2637 805
77,771 600 216 4110 155 578 177 1105 778 682
78,199 9404 546 281 939 88 535 155 1152 1625
79,138 32 66 2085 2025 77 85 208 318 21
81,2599 705 664 3541 164 175 66 77 60 8
82,55 76 49 3 33 181 23 1341 4 876
83,342 1108 5 117 1083 1214 805 1288 2237 486
84,583 411 905 1497 540 2243 897 66 643 116
85,1674 116 39 31 66 41 1668 1618 60 76
86,28 17 11 27 786 47 290 3132 7551 2861
88,346 1222 318 99 34 139 133 1089 11531 1338
89,138 324 10 344 15015 15014 12673 160 18468 18467
90,144 56 104 64 13 98 184 35 21 1220
91,90 1 104 82 915 884 1406 1438 35 184
92,32 1346 21223 14083 471 1225 396 9622 9404 7611
93,95 220 326 768 1024 17 28 1044 226 496
94,28 11 42 51 6 498 74 2259 1020 601
95,482 44 567 1842 669 173 18638 4480 12504 10884
96,766 617 1346 15330 9056 11462 12786 14331 14746 8368
97,654 7604 171 24 132 5086 6616 2364 2593 16804
98,8688 7839 11765 21 13494 13600 17162 15980 29 8346
99,57 138 32 96 64 344 511 21 750 877
100,313 764 636 94 1050 851 99 11 50 43
101,1440 754 837 2314 82 624 1177 1051 1290 137
102,34 2843 2284 2766 2283 1195 6198 2492 2958 2904
103,901 43 13 155 98 694 1422 97 17 1481
104,119 299 252 23 1146 639 89 1273 4 2
105,6804 141 9257 12791 2890 4622 474 388 1478 1169
107,39 55 58 467 313 376 51 430 764 573
108,32 585 182 689 208 94 2013 147 344 298
109,1975 2447 395 124 49 131 745 806 2358 2164
110,55 58 428 76 625 2416 82 755 983 496
111,59 95 648 584 536 414 802 35 193 371
112,2603 365 498 3692 264 105 690 403 544 101
113,104 9 168 56 224 184 149 1391 120 372
114,5 17 50 575 1564 27 3 102 186 6593
115,1511 44 1829 316 7 4 81 12377 263 14418
116,15 101 354 22253 9422 19958 21001 18048 16289 4171
117,88 72 1927 339 87 217 798 806 1010 4894
118,7 85 298 21 4031 791 508 2373 13914 2875
119,102 1433 179 596 7 813 416 125 300 267
121,3335 3134 4049 2886 1971 3867 2729 3659 11601 5952
122,3134 28 17 3659 27 5298 154 226 1123 1611
123,8 103 16 256 2588 424 178 952 4964 194
124,346 8112 859 9878 2163 1704 5985 257 10818 11524
126,8755 6026 766 5585 7522 6027 617 428 625 79
127,618 40 39 41 828 55 76 624 11 2233
128,42 11 28 50 814 9266 999 239 2512 36
129,1041 585 40 147 31 199 1542 58 533 76
130,736 831 593 116 77 148 207 2446 175 766
131,13 31 41 55 6967 117 8912 159 913 510
132,133 474 335 325 843 1754 589 554 3271 316
134,399 186 22 95 56 2 80 4 122 174
135,446 15 132 891 22 763 103 2 566 16154
136,9766 8740 8683 410 11705 10912 4760 18930 2088 265
137,19 1 129 467 275 313 188 157 430 93
138,28 11 117 1670 50 120 413 130 500 930
139,31 56 58 76 228 144 22 1 722 103
140,25 16 28 44 37 215 11 351 50 979
141,978 624 1440 5 2149 111 657 39 31 385
142,34 264 94 202 154 883 1161 10036 1714 96
143,1573 2724 11 33 70 28 5371 2534 871 3961
144,35 133 9 144 254 318 269 165 168 3299
145,56 16 35 144 1 122 8 184 244 63
146,85 51 514 93 358 38 603 496 680 1450
147,2 44 80 71 157 91 174 16 48 13
148,1817 256 1442 669 632 930 4806 1666 4344 1898
149,122 113 16450 111 2 16527 11565 727 244 85
151,281 326 191 716 621 997 1067 1405 2610 352
152,45 159 220 389 886 85 320 154 326 906
153,17 27 42 37 145 136 363 338 730 10530
154,58 55 76 546 1083 1288 1214 80 1058 634
156,28 11 42 569 451 578 19 12 97 749
157,7027 6178 17896 6197 17904 17897 17895 859 17889 6427
158,19 250 1 35 33 95 203 6640 103 157
160,1470 22 73 2503 327 815 156 762 181 1330
163,44 5 1098 71 343 89 3259 352 2802 16
164,2599 552 44 4 61 4483 16 268 3281 79
165,3537 385 555 6309 392 3870 3476 5542 1210 99
167,33 22 48 319 103 558 35 56 149 807
168,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
171,136 13 433 133 145 47 11 583 399 139
172,40 39 41 58 102 76 35 425 416 979
173,320 1041 94 585 689 34 2013 203 308 21
174,154 298 21 4031 1934 508 4166 2594 656 9935
175,8 638 390 61 82 7 827 305 330 884
177,28 27 50 220 136 80 431 567 389 4508
178,7 128 101 680 23 112 248 44 19834 81
181,1304 1321 512 1019 1932 56 1464 1899 2255 3602
182,11 27 28 42 136 145 37 277 730 12133
183,16596 480 3464 208 3972 2751 16595 3779 2015 10463
184,47 27 50 220 42 326 1 49 181 389
185,901 1737 2326 22 1706 3872 11404 2256 474 960
187,17 399 28 11 201 45 133 244 253 165
188,4485 2791 3537 94 4901 808 3407 34 2702 1050
189,94 3082 738 1198 4057 5332 5337 4839 540 2963
191,2963 627 34 262 4889 4336 3 738 1172 4953
192,154 1057 1352 3372 446 7900 22 105 73 831
193,33 2053 10 4371 22 4467 123 3976 1763 49
194,21 14138 226 4102 2096 481 2374 15142 3190 1967
196,712 509 1752 401 3750 1846 910 186 596 1113
197,242 467 152 430 573 615 471 938 270 873
198,15 36 161 403 506 785 1546 2462 20976 20076
199,181 94 99 897 34 1704 392 33 1172 2590
200,1681 389 3 277 1111 564 6430 2319 4674 51
201,174 1 141 22 251 272 424 1469 73 2644
202,96 59 101 585 584 540 40 39 3620 320
203,4066 4662 225 1822 21332 8765 470 431 2713 3086
205,1461 4 22 175 116 33 3444 9944 2201 17237
206,981 872 117 851 1568 159 120 875 500 510
207,94 1897 590 1931 135 34 238 199 278 2149
208,39 41 837 978 58 22 76 2 45 662
210,474 325 316 261 476 1297 3214 8933 8826 2689
211,38 214 1296 603 230 211 323 645 1 154
212,712 87 298 1790 365 51 1611 1237 11 4110
215,15 1938 1519 551 133 2712 1210 7716 13460 4288
216,985 510 178 160 500 957 105 22 498 414
217,144 224 258 35 168 240 56 803 9 184
218,13 43 16 262 901 1120 1625 178 1131 198
219,107 81 88 43 210 13 682 164 443 98
220,4252 78 125 1034 1699 173 1974 1054 1083 2373
221,5 883 71 1476 23 2231 294 167 545 4987
223,732 903 441 3372 1848 531 548 2907 347 371
225,404 385 541 250 177 781 2533 1053 199 1521
226,43 13 19 3021 51 112 424 54 174 2510
227,60 116 66 175 134 22 580 20 1112 309
228,189 75 61 8049 16639 12097 9074 11273 22300 21939
229,132 36 891 763 532 566 170 1044 1321 3380
230,108 167 551 1352 831 1022 34 759 10537 1460
231,28 50 42 15 85 154 107 202 1272 9
232,40 1 76 203 41 31 39 4 1578 19
233,476 96 182 2208 208 324 9957 1267 1 3391
234,11 145 730 37 36 42 1549 307 1867 774
235,31 55 664 51 98 13 43 5 198 64
236,66 116 77 593 736 2162 378 7096 304 2446
237,8 1028 1112 4020 739 786 1283 333 1728 1219
238,80 2 4 157 174 33 48 456 21007 19093
239,89 390 1488 2813 915 3620 438 4941 2007 5
240,119 399 433 496 2689 1165 1650 631 533 509
241,4567 199 2247 1672 482 687 218 658 3622 1229
242,13333 4900 3980 5216 3204 10897 105 13335 441 12370
243,8 52 3162 2453 1191 1422 1481 3620 13694 3590
245,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
246,21637 2964 510 9172 11762 4056 3967 2224 1602 9583
247,56 35 168 382 310 9 231 184 2384 5934
248,2 144 2301 26 1303 6613 6 95 63 124
249,39 40 55 3 1545 5220 1922 483 11934 10498
251,60 116 33 175 585 22 579 1020 450 494
