user_id,item_list
1,36 101 123 515 403 254 1546 506 52 592
2,1095 47 28 196 656 1522 50 380 3176 949
3,59 259 4252 584 239 536 956 857 648 1281
4,28 249 50 639 139 171 254 314 612 269
5,1570 77 5138 116 4 148 1511 7033 131 766
6,886 874 88 196 35 168 104 229 9 16
8,451 443 210 480 722 3916 600 1130 95 1749
9,9018 2821 17799 10108 2282 5724 6415 4535 4802 20079
10,1816 1446 561 1668 2617 2423 2565 3905 1767 3721
11,40 31 58 955 67 514 44 52 185 4
12,4704 2582 261 262 329 325 2242 408 16291 2389
13,1316 2403 376 467 430 3205 11174 573 41 39
14,1050 297 164 571 1244 28 90 16891 17 1496
15,236 6957 308 220 13250 389 1107 35 653 388
16,7 617 29 1346 9752 946 3198 1463 10226 1692
17,16 98 44 19 11 50 80 4 43 47
18,332 255 766 179 192 3226 13555 973 617 596
19,3571 764 252 9442 8473 154 636 9482 8044 10660
20,467 376 313 573 242 129 279 134 192 764
21,405 152 786 2 442 14140 7987 1111 189 873
23,1279 2295 754 1290 983 3351 82 5474 9318 1370
24,18934 4937 13156 3852 2247 7562 22124 10595 19360 13803
25,17605 14899 14901 14898 14896 14900 14902 14895 14903 14897
26,15 41 139 252 269 55 34 58 254 1788
28,47 11 41 39 325 98 55 58 19 76
29,28 1555 17 4688 50 627 27 681 77 60
30,17058 17056 15355 23 160 259 71 57 98 1259
32,379 1393 2316 2734 1986 2418 13548 18607 14900 14903
33,4904 1510 11199 435 264 95 496 8 10437 1631
34,888 434 10001 8930 1159 812 3602 567 17462 6436
35,254 314 139 146 165 3847 1079 4593 1939 391
36,16 4 181 165 2205 379 183 139 318 146
38,101 4360 11 4 94 28 5843 2 99 262
39,1057 165 36 269 139 318 314 8 304 378
40,31 17 58 47 76 174 201 19 3223 145
41,31 58 55 592 618 77 66 148 112 60
42,5744 1310 249 252 4013 299 1369 329 1 829
43,238 149 15 36 21 2996 1369 366 229 823
44,215 499 267 197 14175 457 16540 439 289 14550
45,202 21 15 4030 3177 101 1736 10 95 3417
46,4126 4116 2253 1218 5625 2602 22 228 1505 48
47,96 344 211 214 38 262 1635 442 4 15
48,28 17 47 332 27 7 4636 37 18 3278
49,116 148 182 138 96 32 344 10 45 5
50,67 177 278 199 748 481 3412 4621 2973 5048
51,238 4 625 428 42 28 50 566 5840 6912
52,94 438 262 133 146 498 1395 178 3049 3747
53,3970 859 7075 6472 6471 3687 4819 14901 14905 14903
54,19 238 112 278 2 174 8 769 135 600
55,5255 12798 6617 13878 6095 6941 10578 6286 6093 1474
56,99 384 831 2531 3076 1198 1342 933 66 116
57,160 648 536 956 159 2043 104 186 144 168
58,2404 101 3945 433 308 582 36 693 1546 703
59,4462 93 5051 5821 4900 38 353 101 415 1551
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,3575 238 11479 278 291 67 106 11493 85 3059
63,1316 1668 624 978 3011 34 4042 4833 1051 2325
64,41 36 524 5 3438 303 5154 6204 3124 109
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,739 181 6203 111 23 122 2084 2748 244 3039
68,281 96 138 324 344 1994 546 743 3373 481
69,25 1372 95 1227 4 14 34 16 1095 1471
70,2 67 614 1 5433 631 16935 33 22 541
72,7454 7169 41 39 9653 58 8620 76 10901 10910
73,21 998 516 112 1728 4252 580 125 109 2660
74,11 47 27 815 42 1004 197 145 795 1897
75,19 1028 184 14117 56 389 1899 9 702 80
76,66 31 40 1124 55 1532 77 1535 76 2401
77,1903 722 771 600 682 2217 216 155 4110 7
78,546 4 14083 281 751 939 36 18908 21995 7212
79,138 208 344 1070 21 77 2025 146 2085 318
81,7600 9404 2599 22 135 2578 2535 664 705 73
82,55 76 49 181 33 23 71 1341 65 542
83,1083 1214 1288 117 5 510 754 486 2237 572
84,41 31 39 583 76 905 411 141 1537 1497
85,41 31 116 60 39 909 4373 5441 14283 405
86,154 28 398 786 17 11 47 27 298 267
88,346 11531 99 1222 101 77 56 262 2725 60
89,138 324 344 154 59 12673 433 186 1522 536
90,21 2006 64 144 3213 104 13 1220 1433 98
91,915 884 90 82 1406 104 5765 1438 168 184
92,2988 19606 9622 9984 1225 16396 14340 21223 14083 6883
93,1024 95 220 28 17 2653 1044 768 476 3388
94,28 11 42 498 51 1020 2259 442 6 74
95,482 44 4 112 16 2178 339 1842 18638 2456
96,72 766 1264 617 1346 9367 12191 9733 11462 9638
97,654 4 7604 1777 2114 2364 7949 910 5431 923
98,7839 8688 11765 21 29 13600 13494 17162 15980 7922
99,96 138 64 57 511 750 204 857 877 1734
100,313 764 99 636 262 1050 851 3947 11 63
101,2314 837 754 82 624 526 1290 1207 703 1177
102,67 7055 5724 2904 7030 1795 2843 2284 2283 3208
103,694 1481 901 98 155 97 43 13 751 1737
104,119 299 252 23 71 112 89 639 1146 14645
105,8752 19078 6820 18668 14899 14898 14901 14903 14902 14900
107,39 55 313 467 376 430 51 573 16 764
108,32 182 208 1 94 298 324 207 34 344
109,1 2 131 205 1975 745 395 564 13777 1557
110,58 76 82 428 2416 133 983 2913 1155 3533
111,59 95 536 584 220 648 35 56 414 371
112,2603 3692 498 365 690 105 13908 264 403 823
113,104 168 9 1391 913 1805 184 5255 56 510
114,17 50 27 575 7236 5427 6593 293 4000 37
115,1511 44 121 1220 2700 4 16 6374 1040 3916
116,15 101 8286 3426 2699 6548 6400 8910 10748 10684
117,88 72 5489 5708 8067 15530 8666 6592 3647 5733
118,7 85 298 4031 21 5052 29 791 6707 603
119,1433 102 179 596 7 3154 813 3 416 9783
121,2729 1971 2886 4976 6432 3134 2575 3659 5952 3755
122,28 17 1123 27 40 1611 111 182 55 3659
123,33 8 16 266 65 463 103 1748 424 663
124,346 9878 8112 859 9855 1619 101 7914 10818 3520
126,766 131 617 5585 6026 8755 67 177 428 625
127,618 40 41 39 42 47 828 624 55 50
128,42 28 50 11 9266 814 213 36 2493 101
129,40 31 147 585 1542 533 58 98 14172 300
130,766 116 593 148 831 207 736 175 14981 471
131,55 6967 939 198 1930 4922 159 3476 117 17
132,133 843 474 335 3041 1754 12029 269 3271 18263
134,186 80 4 122 56 174 95 77 116 148
135,15 132 891 763 101 1 2 22 9188 103
136,8740 9766 2303 11705 14089 10912 8683 1687 2189 11033
137,313 376 157 467 430 573 275 1542 627 13065
138,117 120 28 11 50 1670 3898 4922 3789 500
139,56 31 58 144 76 224 722 769 203 6029
140,4 16 25 44 95 215 6937 28 21940 1415
141,624 253 5 1440 43 385 57 657 261 742
142,94 264 40 41 39 58 55 154 262 10036
143,1573 28 17 50 2724 480 27 1749 1147 1536
144,35 9 168 2981 3299 133 254 318 144 139
145,56 16 28 47 144 50 240 42 1 63
146,85 120 51 3102 203 532 739 4 520 514
147,44 95 1 80 71 2 16 174 157 220
148,265 1817 20 1750 279 4344 7058 15637 17764 11904
149,17 47 50 37 220 27 19258 16450 45 11565
151,1207 936 281 716 1405 754 621 1290 1067 11719
152,45 85 80 389 159 886 157 66 116 148
153,17 27 37 42 145 136 8575 7479 11952 12952
154,55 58 76 1083 1214 546 1288 80 135 1058
156,42 451 37 760 174 569 157 600 97 1355
157,313 9803 5192 9259 467 99 6197 9802 573 7395
158,35 33 19 95 1 250 410 6640 220 168
160,2955 156 815 327 22 762 141 181 73 1511
163,44 1098 4 3259 89 343 16 2077 308 71
164,44 2599 4 16 181 268 155 243 4483 21457
165,3476 3537 3870 3789 5814 6309 2841 555 540 9270
167,33 48 103 1 319 807 558 7276 5057 5048
168,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
171,145 433 399 28 582 136 198 13 357 5762
172,40 76 102 416 425 280 979 19296 29 212
173,320 262 2013 203 38 188 93 2347 21 1
174,298 154 4031 287 21 11515 1934 603 3396 1393
175,82 390 8 990 2149 638 827 61 2570 305
177,27 145 220 8 389 80 16 174 266 567
178,112 1 23 56 71 128 765 1232 3970 44
181,1321 512 1899 2255 3602 2151 10001 3338 8930 1304
182,27 28 11 42 145 8367 8575 17255 4920 18901
183,9741 16596 14100 3464 2751 229 4252 3972 16 3779
184,47 27 50 220 1 42 37 326 389 1209
185,901 2326 1737 3872 960 22 48 769 388 292
187,17 399 28 165 201 244 45 253 269 11
188,2791 3537 3407 808 7145 2702 2072 1032 1253 85
189,4057 2582 5332 94 159 5806 1198 4 211 442
191,2963 262 4953 2577 8139 1172 766 2827 738 39
192,1057 154 3372 7900 1352 4 2 105 4224 298
193,33 22 2053 2023 196 1736 706 9185 1648 62
194,21 21332 1159 812 131 109 4066 4102 20934 1685
196,3750 509 712 1846 1966 44 401 133 596 4
197,242 467 430 152 573 615 471 938 270 873
198,36 511 375 857 750 161 506 1073 832 5347
199,34 94 99 897 1172 681 13822 627 955 33
200,4247 4970 11462 10103 18282 14588 22176 13360 11208 16949
201,174 1 251 424 2644 1008 326 272 622 22
202,96 101 2424 59 2423 3620 40 39 584 414
203,4066 9528 4662 8993 2713 3086 1822 21332 9250 15801
205,4 2201 22 8437 12243 2732 103 9943 116 97
206,981 851 1568 117 500 229 159 16 120 510
207,1897 1931 135 278 72 94 590 238 264 34
208,41 39 58 837 22 978 76 17 320 28
210,433 399 582 476 261 316 474 2689 3391 3214
211,323 214 603 211 278 1296 154 230 177 298
212,1790 712 51 284 4 298 4110 93 2653 4477
215,15 2355 1938 88 101 133 4288 8994 89 13460
216,160 510 985 62 178 957 105 1020 10 498
217,35 144 258 168 184 240 56 87 19290 1244
218,57 262 43 109 348 88 16 901 716 123
219,81 107 88 43 210 26 229 16 98 164
220,7 4252 137 12798 13878 68 422 7608 6286 1474
221,883 5 23 71 294 2231 1476 11336 4987 3068
223,903 732 3372 7900 441 347 4100 8315 1848 261
225,250 67 385 781 541 278 388 292 329 404
226,1555 112 43 10902 627 15291 424 383 681 2510
227,116 175 22 580 1112 788 20 1728 378 142
228,20586 11967 16783 7686 20470 20101 20349 22136 21928 18929
229,36 2 1230 170 1044 1321 763 243 2933 566
230,759 1203 10537 108 831 3612 9049 1352 13007 1460
231,28 85 50 42 15 202 1272 9 21 826
232,102 76 2510 33 1578 90 5396 1825 40 41
233,96 182 208 117 476 324 510 344 9957 1267
234,28 145 36 136 1549 22 774 27 101 42
235,55 664 98 51 243 198 52 5 410 21
236,116 175 21357 7 8768 2125 12877 2162 593 7889
237,1112 1283 1028 8 998 4020 739 1728 8721 786
238,80 174 157 2918 16526 2694 5820 4570 10535 15339
239,390 89 1488 3620 4941 3162 2007 438 5072 1678
240,119 433 399 2689 3533 420 2913 1165 1846 171
241,1027 425 4567 2247 8439 10114 10876 9922 11612 14903
242,17628 4900 10897 13333 105 7739 17641 12370 19859 19829
243,8 25 1191 1481 1422 19063 3198 2453 3620 16997
245,1 2657 93 1093 4878 9507 5708 12774 11035 6741
246,1512 5039 2 13521 9172 19004 21141 21097 21637 16743
247,56 168 184 382 3 325 310 17065 2384 843
248,2 6613 4166 3514 5819 8839 11185 6370 5685 11757
249,39 55 1545 5220 6043 2419 8217 1922 18742 7875
251,33 60 116 4 148 1020 175 929 35 14
253,80 44 390 157 4840 1636 22272 2103 9380 256
254,329 994 1005 612 139 261 33 1620 415 1259
255,2386 4267 828 1051 1382 92 5172 2689 250 891
256,220 95 8 66 510 60 9 1428 168 537
257,681 955 80 174 170 2649 4126 702 301 157
258,585 1367 389 15 4539 159 1722 4085 1807 479
259,45 5 181 389 410 1611 328 1237 4 537
260,80 216 157 52 8 1 532 155 44 144
261,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
262,50 56 5 184 104 2108 382 199 240 2051
263,1019 5045 133 950 139 135 314 318 56 67
264,767 36 3253 101 8933 1714 5180 447 6689 1476
265,1 2 571 739 173 5414 425 4567 1496 7276
266,162 10642 4127 2721 18356 19199 7723 22101 22262 14899
267,7 2513 291 2 10 7294 1066 158 257 1607
268,6551 4100 7900 3372 9843 325 16672 733 15146 2962
269,28 17 122 532 50 104 27 168 244 184
270,39 58 401 596 813 255 78 6077 4906 6610
271,59 259 685 15 584 956 827 1350 648 101
273,600 769 2841 722 5547 443 332 555 1210 1768
274,1100 1196 2186 609 102 397 156 1503 2532 20323
275,496 476 8332 2208 762 633 2641 6263 5225 2057
276,40 41 39 55 58 76 161 1326 231 457
277,561 376 430 573 10 117 985 1724 109 2758
278,138 324 344 120 51 510 10 94 1227 712
279,112 8517 895 2641 107 3269 6550 548 333 15568
280,17286 8834 149 19384 35 12162 3724 224 14594 15213
281,40 41 618 47 31 39 17 1108 27 1825
282,66 116 8 80 1174 157 1818 3644 773 31
283,135 104 31 238 40 35 9 347 292 220
285,571 789 572 203 739 40 41 19929 39 1364
286,19820 17608 680 17561 10913 440 15 321 566 2072
287,1232 350 40 41 303 31 39 76 843 4499
288,1095 52 8 5440 44 281 2684 25 716 109
289,390 15 884 915 101 82 1438 305 1812 8286
290,34 449 4057 51 3597 262 4704 5337 36 1092
292,171 146 314 509 17 165 35 28 1883 27
293,19 1 4 265 8 103 80 174 279 776
294,15 36 291 354 790 53 1523 656 583 1234
295,521 1630 1221 34 720 99 149 1966 11227 104
297,4 44 1871 2540 17 2404 1008 16 47 512
299,389 45 191 754 1290 80 537 792 768 1067
300,1004 3092 267 2 360 3942 296 11936 407 8741
301,39 31 58 298 1166 36 101 43 237 3
302,401 596 148 116 174 70 33 103 157 44
303,16 44 25 2166 489 14448 9781 12621 17660 8060
304,19567 18990 16226 17428 16934 16266 9385 9264 21850 18805
305,29 117 510 751 159 7 1490 869 64 177
306,3325 8451 249 11671 179 252 596 734 29 712
307,5242 842 207 4579 3453 2906 77 60 4716 5996
308,51 716 19213 15279 8224 7849 1508 14586 2052 4205
309,15 133 101 43 29 165 36 98 13 269
310,262 16 2060 51 401 596 2 8 442 44
311,5772 716 3862 9745 352 3454 11003 6279 5977 1448
312,4094 8328 6064 1321 21554 12082 5044 7647 1304 112
314,9 35 382 173 224 4437 240 5414 4 570
315,9770 4 12812 96 18605 4141 138 51 401 29
316,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
