user_id,item_list
1,36 101 161 15 403 694 123 52 592 429
2,28 47 50 1227 1095 102 11 1 1522 196
3,59 956 536 857 750 239 2172 259 970 582
4,249 17 28 42 50 171 639 128 136 145
5,77 170 1570 95 1511 116 471 8 18371 148
6,886 104 88 9 168 35 481 570 663 546
8,210 451 480 443 600 722 760 1155 80 778
9,115 3504 996 835 8616 8133 3071 8114 7151 12690
10,1816 561 1316 1446 2565 1668 2617 3721 1767 3905
11,31 40 58 67 681 99 32 34 76 93
12,3082 4839 4704 5330 994 261 3597 408 347 2582
13,1316 4573 11015 11174 2325 2403 1875 10307 9813 11016
14,17420 90 202 871 28 345 3846 571 1365 1244
15,236 308 388 1107 82 28 1290 35 1440 89
16,617 29 3 1463 1346 1692 56 338 1208 78
17,80 43 11 50 98 17 27 44 157 16
18,332 255 766 596 192 2 617 179 1099 10430
19,313 573 252 3571 154 764 236 636 1207 1446
20,467 573 313 376 242 134 279 129 66 192
21,97 786 873 580 1111 2002 973 2470 659 172
23,1828 1207 1279 2295 343 754 6111 8444 236 3351
24,735 167 1193 179 2631 8516 2713 2303 3882 1577
25,51 485 137 158 574 6105 460 1164 669 4089
26,41 34 252 1374 99 1089 316 329 1551 133
28,27 47 11 41 39 325 136 58 19 55
29,627 28 516 77 202 681 60 2150 88 125
30,17058 23 71 17056 4 9 1259 762 53 15355
32,379 2316 1393 478 418 287 50 2734 255 3172
33,264 205 161 4904 95 1629 33 1365 860 871
34,14445 20234 567 812 118 6436 849 434 202 90
35,314 254 139 146 1081 1079 996 1824 1212 4059
36,4 181 318 103 202 16 1578 283 314 1825
38,101 11 28 287 7 354 1022 237 4360 403
39,304 8 318 879 29 223 6 314 139 13
40,41 31 50 20 55 19 17 1510 260 47
41,3 31 39 40 55 58 77 592 618 66
42,249 252 1310 5744 132 1369 275 829 763 293
43,149 144 683 1369 372 366 278 35 238 21
44,267 133 563 215 457 350 447 554 325 1006
45,202 15 783 1230 101 1206 140 95 36 226
46,4116 661 2332 456 189 290 33 72 1799 118
47,93 96 32 344 214 520 211 38 154 645
48,332 28 17 11 47 27 6 7 164 54
49,148 116 304 138 182 5 344 324 203 23
50,250 67 177 199 481 404 241 1753 634 235
51,238 42 6 1398 28 428 678 4 11 625
52,94 34 17791 178 498 438 254 790 1395 2740
53,3970 7516 720 7075 6472 6471 5338 7163 859 8168
54,278 238 769 80 135 722 8 682 112 600
55,5255 6941 20 6617 144 2066 1039 2737 518 1474
56,99 384 2177 715 950 831 106 203 1198 2531
57,9 117 259 159 104 168 160 1401 927 144
58,101 2404 3945 433 36 582 308 161 893 699
59,1190 353 3880 5821 93 612 1551 5051 38 415
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,411 291 18358 85 4556 221 2473 2291 1106 613
63,1618 1316 624 978 33 34 1446 1051 1668 80
64,41 379 534 550 36 97 5159 109 71 5022
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,181 143 23 739 571 122 111 13 410 244
68,96 138 716 324 344 281 546 1151 481 743
69,25 14 1471 371 4 1372 22 597 1095 33
70,228 67 532 541 297 413 279 177 6 757
72,41 7169 7454 39 7453 8620 58 10865 9653 76
73,125 5510 21 16527 423 20971 109 435 687 196
74,27 11 50 42 47 1897 1434 1004 37 815
75,35 319 184 56 45 1028 174 974 19 382
76,706 31 77 1125 547 1796 3193 40 390 308
77,682 722 155 21945 8 216 67 1903 250 68
