user_id,item_list
1,112 15 101 54 137 146 5 314 102 1
2,4 5 54 11 3 24 47 6 14 21
3,59 584 259 414 648 956 536 1001 1350 307
4,249 47 28 4 1 5 50 11 2 3
5,4 77 116 88 148 265 177 135 8 38
6,26 14 8 88 16 24 7 6 131 229
8,80 4 2 38 6 174 24 8 210 14
9,2821 8133 10813 8195 3432 21322 6819 6329 21298 7151
10,11 10 561 7 1816 76 89 1411 1446 5
11,44 6 4 52 31 40 58 34 185 79
12,99 2 67 7 24 183 44 6 20 627
13,376 430 467 573 119 1411 1316 764 1674 299
14,345 51 107 571 217 475 162 29 34 106
15,28 56 236 35 308 388 82 184 7 144
16,7 617 29 54 394 107 70 10 85 1346
17,16 44 19 229 4 1 37 14 52 145
18,766 255 1099 88 617 179 596 394 381 192
19,242 119 764 252 636 154 639 1146 15 1273
20,313 376 573 467 192 242 129 764 134 636
21,405 152 458 615 873 1111 246 13 5 35
23,1682 936 1279 2558 82 2295 1290 526 703 282
24,8516 2643 9953 5922 2101 8432 3048 21310 7324 5667
25,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
26,139 254 269 474 314 165 1089 249 350 3
28,47 11 37 2 19 136 24 12 3 277
29,98 43 175 627 11 77 681 60 148 955
30,23 3 71 9 12 43 1 160 57 4
32,379 1393 418 2035 287 113 550 1864 130 1405
33,95 326 61 2 860 45 24 70 170 20
34,202 365 567 962 15 107 179 87 525 798
35,254 314 146 139 996 1079 474 165 316 1081
36,7 2 4 6 18 3 26 79 14 44
38,101 38 14 7 4 11 24 132 8 18
39,175 304 269 309 378 139 165 254 316 314
40,17 9 47 7 2 50 1 71 23 58
41,112 39 76 40 4 185 1 6 31 58
42,16 7 2 14 18 5 3 79 8 132
43,238 36 21 16 229 15 135 52 64 44
44,30 63 676 51 108 759 487 1613 155 2
45,21 202 532 109 101 217 7 72 447 2
46,19 22 456 73 1747 172 239 370 48 1044
47,96 214 38 44 4 25 211 99 344 15
48,28 37 47 17 27 145 90 14 2 18
49,77 4 116 8 148 45 182 138 134 12
50,143 185 4 135 2 9 6 7 13 147
51,67 2 24 4 238 17 65 38 266 19
52,94 262 133 254 1172 139 269 146 738 715
53,3970 6277 6471 9043 910 7516 3687 7883 7075 6472
54,6 4 112 1 8 238 2 135 24 11
55,5255 6095 6617 13878 1474 10358 6941 10578 12798 4098
56,99 4 8 262 6 143 241 237 24 66
57,160 144 104 168 240 319 149 382 648 536
58,101 36 433 2404 161 582 403 515 308 699
59,230 1071 188 93 645 603 1190 214 211 232
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,291 411 905 583 841 337 904 2473 1497 440
63,22 20 103 978 1411 65 1668 194 1618 82
64,40 41 126 379 5 486 15 98 109 592
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,23 6 7 2 12 28 35 18 143 181
68,324 96 138 344 81 131 217 798 178 401
69,6 38 24 25 22 4 14 93 203 469
70,67 44 2 72 1 7 26 177 25 135
72,58 41 31 39 76 486 7454 126 379 7170
73,21 112 10 3 109 125 53 11 51 69
74,11 47 37 17 27 145 136 38 42 4
75,240 56 570 184 258 558 9 2 450 33
76,31 308 40 390 547 95 55 76 5 77
77,7 6 1 8 19 26 3 18 22 48
78,36 25 7 155 10 4 88 130 2 63
79,138 146 208 1 3 66 171 254 10 324
81,8 44 190 22 519 77 135 181 4 66
82,41 55 76 486 71 23 342 100 22 33
83,618 1083 1214 1288 117 510 76 500 5 800
84,4 8 46 24 7 25 33 141 345 22
85,31 41 39 116 77 304 60 3 809 83
86,28 267 47 786 17 156 457 27 205 145
88,99 3 101 262 56 133 53 269 112 257
89,138 324 344 10 59 112 154 3 121 2
90,21 64 109 9 98 13 144 217 576 204
91,7 2 4 8 5 14 38 90 79 132
92,1225 4939 2307 14336 4010 4458 3403 10600 21604 8432
93,95 28 174 50 17 389 37 220 363 136
94,47 28 51 42 11 136 247 21 37 105
95,44 112 26 4 16 6 75 3 1 54
96,766 72 1264 617 1346 394 483 845 336 590
97,494 423 173 425 1433 687 10 741 1340 929
98,36 112 7 21 466 284 29 143 131 392
99,96 138 57 109 64 198 21 348 204 995
100,313 11 6 129 14 137 21 37 63 112
101,754 1290 526 837 624 82 2237 1477 343 2314
102,67 15 135 8 3 112 69 16 108 1
103,10 8 5 26 11 7 30 89 13 14
104,1 23 3 2 4 12 71 8 119 9
105,2093 8752 8285 6820 19078 21120 7536 3039 3143 3355
107,16 40 55 39 4 51 3 79 2 81
108,85 540 298 72 84 14 32 108 138 585
109,131 87 202 51 10 215 798 475 105 745
110,55 58 76 82 254 486 83 174 282 390
111,95 220 465 326 389 860 768 906 621 880
112,498 365 81 217 1020 105 849 553 674 273
113,168 104 224 56 184 240 372 9 310 149
114,17 50 37 10 42 27 1 136 6 145
115,44 16 6 14 75 7 70 297 266 4
116,15 101 354 506 337 161 785 429 403 544
117,88 217 108 798 87 131 130 617 215 81
118,137 30 54 248 112 380 791 2 295 276
119,102 300 179 416 596 267 813 70 858 197
121,3586 3659 4536 2575 3335 2476 2886 3134 4976 6468
122,28 1 37 17 6 26 111 10 27 89
123,73 103 65 194 330 151 663 409 48 33
124,3 36 4 34 20 112 257 6 8 18
126,766 131 395 105 72 88 617 75 177 394
127,618 1 40 54 41 2 11 5 143 112
128,50 42 11 136 28 36 37 277 101 145
129,99 29 540 262 147 135 109 4 21 585
130,66 148 116 593 736 175 309 831 8 766
131,40 10 55 7 2 13 198 156 5 21
132,133 474 316 843 335 1101 269 563 171 143
134,4 22 174 65 83 9 73 2 8 24
135,15 7 14 3 132 1 101 21 90 29
136,143 185 4 2 9 6 7 79 1 5
137,143 19 242 48 313 376 119 22 33 157
138,54 120 11 117 18 28 63 50 15 137
139,56 144 22 65 184 3 73 33 224 8
140,44 25 6 4 16 38 24 14 2 7
141,5 7 8 9 27 20 17 28 19 14
142,3 7 88 62 58 99 8 114 16 84
143,28 17 47 50 480 145 42 14 92 685
144,35 9 224 2 104 149 184 319 240 168
145,1 3 56 27 8 12 42 144 28 10
146,51 162 85 87 255 167 132 25 38 118
147,95 2 3 23 1 22 71 19 8 13
148,265 279 116 20 306 175 193 77 142 464
149,45 145 50 11 220 47 37 244 389 122
151,936 1207 1405 26 18 379 46 559 287 754
152,4 45 80 2 85 8 157 6 117 16
153,11 17 145 37 27 136 42 363 679 730
154,58 55 76 618 486 2 8 3 6 7
156,17 136 37 363 42 19 277 124 760 749
157,129 1 19 313 2585 34 7027 4 108 2492
158,19 33 20 35 4 1 95 103 157 65
160,134 163 141 6 427 265 115 156 409 1103
163,44 16 266 4 6 75 25 1 67 19
164,44 4 72 79 61 25 266 177 189 67
165,38 24 4 214 211 34 6 8 203 230
167,33 4 48 20 73 1 103 9 14 83
168,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
171,399 1 18 28 47 7 6 13 433 87
172,40 55 9 76 5 342 149 104 486 102
173,94 99 320 262 21 38 1 14 4 689
174,298 4031 4166 603 11515 1730 566 1337 1357 947
175,305 8 10 82 7 25 20 61 74 4
