user_id,item_list
1,36 101 403 3 506 977 6 922 112 54
2,2 4 42 3 6 5 47 11 8 28
3,259 59 536 414 1097 9 7 584 2 1
4,17 11 3 1 28 27 4 5 6 7
5,4 6 8 2 26 135 88 75 51 20
6,88 2 8 7 131 1 81 29 3 26
8,2 4 80 95 8 22 210 3 7 14
9,9858 17106 2159 6819 8802 836 36 12741 3817 108
10,50 17 3 40 1446 8 2 7 1668 321
11,31 4 40 2 58 7 6 55 44 52
12,139 171 2 261 53 6 7 392 329 36
13,1316 1411 3 242 66 119 249 4 376 53
14,51 6 29 15 34 217 25 18 106 1
15,2 3 28 17 4 7 220 82 19 5
16,4 1346 617 256 1463 394 70 1692 26 2
17,16 1 4 7 2 5 44 11 17 47
18,7 2 192 1 51 6 626 255 4 106
19,573 252 249 636 3 764 7 2 15 10
20,192 626 10 7 21 8 442 81 88 53
21,152 5 405 1 13 2 17 873 4 1111
23,282 1186 82 236 1279 5 1290 547 308 754
24,25 15801 6853 601 2613 671 470 15251 131 8778
25,51 4 2264 1309 10 423 270 30 183 1582
26,139 254 474 165 314 269 350 408 292 1005
28,4 11 19 42 47 3 9 5 33 8
29,979 88 1555 670 627 28 955 51 10 166
30,23 9 3 12 2 71 57 98 27 43
32,379 2 7 15 107 51 130 14 1393 287
33,2 8 6 81 7 12 25 95 48 61
34,51 87 202 107 88 20 237 365 567 106
35,318 139 146 314 254 165 996 316 474 350
36,4 6 3 14 15 19 16 22 44 20
38,36 2 7 8 101 85 14 3 38 51
39,66 60 148 4 8 139 1 3 165 6
40,4 17 31 3 47 76 19 58 1 42
41,31 55 58 3 4 6 1 8 20 5
42,7 3 2 36 21 15 18 132 130 129
43,238 21 2 8 15 36 1 4 135 43
44,7 2 18 146 84 316 15 271 325 207
45,2 15 7 101 21 30 413 161 10 59
46,8 72 327 19 844 4 67 18 14 369
47,4 38 15 32 3 93 2 96 211 85
48,17 28 2 47 27 37 14 6 7 1
49,116 148 4 20 32 8 3 2 96 6
50,1 4 7 67 6 2 8 177 143 16
51,4 2 238 22 19 60 24 3 44 33
52,94 262 133 81 53 146 88 51 269 318
53,627 681 135 955 1786 9568 10821 9569 10133 16913
54,2 6 8 19 4 1 3 112 25 135
55,6286 39 40 2053 1463 110 4581 2172 144 5404
56,6 4 1 8 7 106 127 99 34 88
57,104 2 144 1 168 149 5 59 240 382
58,101 36 433 1 3 161 582 76 18 2
59,1 353 261 347 415 171 612 2 408 254
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,36 15 291 1 19 227 2291 583 101 411
63,4 2 20 8 6 80 65 1 3 115
64,7 41 40 3 126 2 85 11 1 36
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,2 6 7 4 17 181 1 8 14 9
68,138 96 4 2 3 7 324 344 15 81
69,4 8 14 25 95 19 44 11 24 16
70,2 1 67 19 20 44 177 7 135 26
72,41 39 55 58 86 5 7454 76 7169 486
73,21 125 15 69 34 87 109 112 425 32
74,28 47 11 42 2 6 27 4 24 19
75,2 1 6 9 14 19 56 168 7 103
76,82 3 77 547 2 308 39 31 5 40
77,8 7 1 6 19 3 14 26 11 46
78,81 6 88 2 10 7 36 155 131 3
79,138 208 66 146 3 8 324 139 77 7
81,6 8 4 77 48 19 66 72 2 60
82,55 76 3 2 4 7 1 9 20 33
83,5 1108 10 3 117 39 1214 1083 40 7
84,1 4 2 3 31 41 7 20 39 8
85,116 60 148 31 41 39 1 2 58 20
