user_id,item_list
1,430 467 573 636 1950 129 376 242 52 313
2,92 3417 4780 1484 12066 4123 1437 121 1410 1115
3,1791 913 458 730 2803 774 4585 4592 91 286
4,15 982 1676 52 29 1850 3263 16 98 5612
5,341 3286 2299 5710 1972 7774 3952 9188 8201 2980
6,2 181 9 620 1952 5754 173 6820 26 16952
8,827 685 745 760 1868 855 1437 691 1749 619
9,16613 6486 4323 5697 3500 6472 3843 11773 11734 19928
10,1227 2455 3883 1632 10480 1066 66 3159 1303 10651
11,1115 4 4589 38 203 2328 8304 58 908 185
12,2582 5378 13110 12243 11925 4466 3938 6523 9628 8885
13,2424 3700 4267 1411 1674 4757 2565 2386 1078 2423
14,4392 341 1321 1460 512 3333 6701 1385 285 485
15,328 665 1084 568 1175 86 3033 1700 71 915
16,1810 2813 1009 6383 289 6188 10907 7286 2341 6592
17,16 5 52 17 294 246 150 27 23 12
18,2099 3932 62 2821 6986 1815 5379 1834 4886 4456
19,926 313 2565 1674 1273 430 764 1078 639 252
20,11543 636 3700 1950 4034 2293 129 10755 8294 1273
21,16 52 246 64 2358 492 3976 102 1885 1644
23,1370 9348 1700 2189 3495 983 2498 1560 754 3326
24,300 53 234 156 327 78 102 671 280 223
25,3120 1881 1038 3558 1009 215 1804 2224 3078 3409
26,2767 6999 4810 9860 1006 4321 1776 2618 292 3431
28,325 139 653 11247 254 802 353 146 1833 165
29,1257 6680 954 561 2488 10466 312 1764 6777 10057
30,23 1326 3 33 584 5842 3804 186 7541 18928
32,999 6122 3120 4795 7661 473 1569 4541 1077 740
33,2 4 5841 1295 7234 9 465 906 326 181
34,2831 8179 894 7909 6659 4556 13325 5941 4404 3558
35,171 314 563 878 269 254 3445 2629 2391 2294
36,4074 22 465 2997 3819 10451 283 11116 4545 629
38,3638 2306 2513 8654 431 2627 155 6711 3665 1359
39,252 249 119 3130 2586 2519 324 5295 9761 134
40,6820 1943 6284 1496 4744 10340 6357 946 1629 1930
41,31 40 55 58 3150 811 1475 8187 11992 486
42,15 1474 6662 4256 2661 1086 616 1781 1219 2384
43,47 3869 1949 2031 122 14114 9543 468 3425 7549
44,3640 4069 12297 10858 3188 4762 10823 12123 9548 3616
45,63 5872 5689 1123 1787 2513 3822 1638 12316 3706
46,2298 7451 2914 11329 17239 7581 2742 7247 2784 5255
47,790 3263 5413 19502 1725 7326 298 652 3411 954
48,1 3864 2688 2187 2031 9514 819 2936 3278 4892
49,6974 1036 1372 4047 756 11312 8251 1095 3159 3000
50,1 1016 278 219 1043 743 1022 268 12411 199
51,3618 238 2607 1977 8320 3223 5813 1452 507 2987
52,1950 7669 2935 19361 982 1358 840 15291 1079 19969
53,5127 4738 8117 1966 17302 6929 4500 859 6023 3583
54,188 203 1400 1296 1855 214 27 2256 5580 19
55,5856 2202 1331 6095 5356 9778 8725 2914 1135 918
56,19446 4379 11303 6321 763 9521 4989 8258 797 11972
57,399 1984 683 974 1569 2233 2064 917 379 2574
58,3172 467 1814 6975 5736 1241 10909 2228 6122 7684
59,1871 2367 261 2082 16883 1326 557 2540 10117 1462
60,300 156 234 78 128 53 68 327 102 591
62,7141 3267 14657 2335 6661 1978 1934 7387 9973 3381
63,134 16034 252 476 5135 318 133 6595 139 146
64,3055 1361 10253 1269 161 8362 4657 740 4015 3172
65,53 68 300 223 234 327 78 280 102 671
67,1868 1437 564 13000 920 760 1173 11994 4439 1746
68,250 135 3080 268 2213 1022 743 3479 1113 12411
69,4 67 781 404 238 834 278 1487 743 44
70,6649 2975 4319 661 1967 11287 12178 673 10538 10475
72,697 2774 7170 2683 10901 7525 2637 8621 4536 3659
73,1759 3997 616 3188 3719 9329 2384 5499 2141 5004
74,2304 4203 6306 5140 6057 19965 6053 5020 5070 7339
75,3782 10554 17239 2253 9289 2549 3300 6876 9067 5810
76,1534 624 1125 1716 805 662 2349 1440 837 828
77,6320 3025 5580 9432 14119 1559 7741 1408 9418 14261
78,821 8285 12839 5426 1206 4659 13899 1359 63 2515
79,4047 756 9039 9582 4269 3922 3479 1572 11677 3246
81,4637 2131 4908 1091 7540 7650 6271 2089 1967 5026
82,8187 1110 3 103 33 704 876 5233 73 3753
83,5 353 415 557 612 3077 45 1845 1071 1665
84,897 119 1400 613 532 213 2519 11670 249 188
85,1632 1564 1216 405 3787 5917 772 644 615 497
86,28 17 917 145 913 3261 244 2592 9850 5190
88,738 2794 2159 2504 2127 7257 12924 5915 3933 715
89,82 196 293 343 340 283 233 287 9006 941
90,8770 5043 4371 5393 3787 4912 49 31 3350 10423
91,1237 18997 629 4678 9531 2227 293 820 1611 821
92,3889 3608 5177 8531 3190 13785 3904 3624 10354 13188
93,5188 4879 2835 2664 2253 16413 4774 5621 2108 1598
94,3267 796 1692 3954 394 8954 1764 1114 5949 962
95,4162 3059 3012 4027 393 401 4544 5005 8930 4259
96,3202 1692 858 17241 2177 4502 766 1346 831 16588
97,4712 1720 3439 12852 6928 2982 6384 9635 12009 16918
98,4347 643 3797 2291 4689 9962 4872 613 3974 119
99,1405 1175 873 3242 8475 5317 1604 7372 6906 1865
100,15 101 515 840 52 785 3263 977 2462 1269
101,1534 343 3193 1880 1069 5095 837 624 2349 3335
102,1637 1981 3933 5338 2129 1172 681 869 1269 8498
103,1643 3885 5047 145 28 1506 913 6338 847 5039
104,15 98 2519 5270 1474 109 1676 19 14818 5199
105,234 53 300 78 223 327 156 291 68 671
107,32 96 182 208 6 7490 138 1427 1115 5607
108,94 2137 1454 19143 2518 1764 12148 955 1815 4886
109,1863 6966 4194 5495 10689 3492 2506 6778 823 4681
110,624 772 1125 837 1534 978 8145 378 1124 282
111,465 2161 2 906 35 56 1067 862 9668 14951
112,4289 6711 8537 1206 12278 7287 2535 13243 971 2068
113,319 399 149 2093 974 1556 373 5078 2758 168
114,1075 3039 3061 685 4230 892 2908 1173 691 619
115,2789 4153 670 12654 4627 312 1251 3513 4404 2341
116,15 101 161 1981 2499 977 3724 109 1269 1490
117,179 4375 442 3104 921 401 3292 6614 642 1284
118,4196 4857 4667 459 8285 6376 7691 18701 1937 5897
119,1170 3012 1117 1619 3119 6362 3487 14265 2789 5600
121,1339 6579 1147 15706 1055 451 2977 7598 7316 1052
122,703 2498 556 1123 1158 390 2189 321 983 343
123,386 862 702 369 163 272 228 776 406 663
124,715 8498 1342 1836 1172 681 1198 2504 2377 551
126,3084 4343 6356 601 3371 5282 726 4616 6499 2684
127,1 452 986 2636 1749 827 287 970 1868 321
128,3366 13284 3419 2707 684 11249 1547 771 3947 2752
129,1920 4787 6588 738 3531 2590 1387 12808 262 2159
130,2742 6946 5601 2746 6931 17401 7247 6649 3455 5383
131,920 1401 10365 11815 4627 11160 4127 4725 2039 3513
132,2953 1578 2915 350 540 31 3975 39 55 320
134,860 1024 906 880 768 1893 1067 1447 465 95
135,232 2352 9715 230 2101 6176 384 724 514 977
136,6320 2890 4829 2285 2559 2279 6743 18156 8090 13745
137,422 48 630 6275 261 46 976 2197 1497 613
138,1723 2836 4730 485 3140 3276 5039 1573 3078 4569
139,22 141 1388 272 1024 880 862 4 5224 792
140,650 2836 3706 1925 7 2670 4730 2620 10737 4592
141,1 22 9668 115 576 862 653 232 43 163
