user_id,item_list
1,1709 1068 3722 3563 605 7626 2149 2100 3720 5485
2,374 1983 3753 196 3417 2232 723 121 1040 3536
3,361 319 683 807 382 2064 149 144 558 648
4,2 64 16 267 28 5555 420 1004 43 5
5,4364 3288 6029 7239 992 1439 894 10921 8933 826
6,75 456 80 5683 407 157 519 69 19 2346
8,124 451 456 564 480 1437 80 745 210 722
9,4244 3843 2404 720 4323 6486 2345 9556 18455 419
10,32 96 10 182 138 196 208 1863 1205 344
11,58 40 61 79 31 298 320 876 34 154
12,262 734 3447 325 2127 910 8644 2163 2518 119
13,2661 9519 182 4217 3264 2703 1078 2992 344 208
14,221 560 2816 812 525 871 1403 831 4666 1104
15,5 707 1107 612 1499 1051 2438 5473 5178 3134
16,7 3330 434 1117 1829 3320 4031 3731 914 1983
17,5 97 52 12 16 43 98 44 9 123
18,992 1385 925 3286 822 1750 106 1080 839 1353
19,182 138 344 324 208 32 96 636 2293 2992
20,590 2213 4047 32 3322 712 601 2684 528 9801
21,52 17 64 13 5 527 2555 27 16 28
23,805 282 2237 5884 754 236 707 308 4527 1440
24,1072 2177 1656 9451 1307 6160 4746 5280 13547 2494
25,18 87 2010 676 63 222 206 107 889 131
26,335 1328 2147 984 1238 1848 964 2622 2445 910
28,139 856 292 329 261 441 133 325 653 353
29,29 34 670 1764 2039 109 262 94 954 367
30,165 733 1101 141 186 212 225 1194 9217 415
32,2700 166 3029 3493 676 2262 5476 113 916 2066
33,2 620 48 3 920 2500 1503 359 22 5766
34,1764 5464 202 2344 3569 9490 2341 6650 2831 3902
35,314 139 171 254 146 316 1212 1079 1824 1081
36,117 3 5555 92 253 3753 602 2301 131 4356
38,107 51 131 87 1141 217 623 1086 1658 215
39,2 13 304 497 9 312 437 1734 593 29
40,70 3536 62 14 267 1133 17 68 25 7
41,31 55 58 811 592 618 449 185 486 705
42,1983 508 723 81 1395 1829 7 51 806 1061
43,1020 9 498 1062 616 1386 3840 113 2648 144
44,1208 5924 12731 1226 1817 3104 14512 1555 17373 10659
45,166 121 1902 1473 1086 3174 107 848 1061 4476
46,3631 1505 4910 1976 2364 3988 3034 2649 5988 3277
47,72 1114 2333 1431 2697 262 52 2867 3562 1317
48,332 267 1774 1943 1357 718 28 37 263 296
49,32 756 2148 72 5440 147 1362 4559 1513 138
50,2 16 1503 75 423 1734 199 13 175 2247
51,238 543 417 507 2330 743 2685 1753 1218 5854
52,29 312 1068 616 523 2753 5268 21 109 1466
53,859 1132 1424 419 2200 1966 720 2566 1673 3966
54,19 174 157 1600 456 2502 901 3808 1803 2406
55,419 9173 9661 4861 1751 2200 5102 8211 11095 18320
56,1714 2458 3005 6567 12192 2827 3714 4692 8599 11200
57,382 648 956 361 536 319 2064 683 1233 144
58,893 902 3565 515 429 1599 2420 8484 9494 2194
59,686 2367 509 329 1551 2540 261 1871 408 441
60,156 1 127 280 327 1329 609 499 102 572
62,2241 3048 4859 2270 11212 4676 8051 2877 5712 14402
63,540 1668 1041 1316 2423 1722 736 585 134 1779
64,893 515 506 1407 922 902 2813 7294 3648 850
65,1 156 127 499 477 280 4 609 572 1329
67,2 7 3 30 253 359 384 117 380 949
68,75 135 712 481 250 442 3080 177 1741 1174
69,219 1306 311 445 1452 3461 20 194 4756 4
70,19 67 1485 3808 757 1600 80 174 934 5227
72,7473 3134 10999 5951 4536 3264 10901 1599 5298 2878
73,2039 1208 516 779 2341 2329 670 9541 2214 1672
74,325 335 53 27 563 350 388 139 441 16
75,2253 1598 4602 4229 1402 18824 4176 1971 80 4357
76,707 828 2030 697 778 1425 1870 624 1802 2401
77,107 368 1141 12747 153 1485 1423 3429 737 3676
78,35 727 144 2007 235 5685 2346 1034 535 373
79,1340 3644 1219 5138 66 4977 5777 4612 8115 15858
81,20 219 48 33 410 115 172 1977 673 1452
82,31 76 55 592 618 79 3 486 342 33
83,71 126 582 275 399 186 321 433 489 287
84,77 116 776 660 704 717 65 611 272 818
85,66 43 98 697 576 3674 13 1610 348 995
86,276 1456 1325 999 1283 3793 6141 1287 788 1112
88,734 1172 262 99 2129 738 2163 1387 1704 1315
89,10 196 166 1763 1040 666 1063 2232 740 382
90,9 13 44 12 123 35 8 104 199 152
91,2093 5228 629 974 1040 374 3004 2232 4314 3336
92,12737 11399 4759 12128 7953 19876 2300 5980 9937 15265
93,890 214 514 2016 1399 1757 520 1230 578 210
94,2697 1487 4564 447 517 207 3730 188 3411 796
95,442 1741 9050 52 1317 586 202 88 1114 712
96,1035 4760 2324 2510 1221 72 586 1318 1332 176
97,62 1750 2299 1540 3882 2621 12737 3463 3250 7441
98,605 3644 14363 1997 31 381 1709 1649 7190 1697
99,2468 196 1057 82 2203 884 615 866 484 2802
100,1863 3411 508 1983 425 1879 1512 300 701 1317
101,624 1715 287 1083 1177 242 343 972 1921 1689
102,859 2697 1637 4573 1555 1966 14727 8294 7083 10307
103,35 9 1805 144 2947 288 63 149 2596 56
104,23 3 11 27 71 16 79 173 25 17
105,1 127 156 477 4 499 1329 609 744 875
107,96 182 208 3176 687 1503 1372 138 2376 169
108,72 182 32 1114 2333 1431 3293 2479 1018 6294
109,7 30 117 131 283 2882 9136 380 2010 2493
110,1118 1107 568 697 1525 624 1796 1802 3308 2030
111,144 56 168 319 95 104 35 803 412 310
112,51 87 623 2620 15 2139 1076 916 1658 2809
113,319 168 683 224 372 803 807 974 149 361
114,321 287 111 582 253 379 37 50 186 293
115,16 312 315 199 125 2 3209 1736 716 748
116,101 15 926 161 523 922 840 1935 506 2616
117,202 88 442 179 642 796 393 921 401 813
118,7 62 26 25 434 70 380 112 276 30
119,5414 464 3882 1433 2721 7586 125 482 1501 70
121,3366 1429 7434 5313 18244 2073 1757 10341 3346 2775
122,814 1207 1177 2034 2185 390 936 1757 10909 1399
123,862 200 406 1418 251 212 163 631 103 115
124,94 34 1172 1294 715 7356 1198 9320 2361 2235
126,2324 2602 1221 72 1414 5180 4 7279 14057 528
127,41 55 76 39 40 1116 1486 111 819 276
128,1769 814 774 1730 154 85 1271 2228 1123 3360
129,40 41 31 76 58 738 1198 705 1294 1342
130,3406 18000 5988 18586 8844 10097 10027 7012 11557 9255
131,154 121 85 4939 298 3434 439 646 29 3421
132,350 171 133 314 139 269 316 474 563 254
134,860 370 768 95 141 1091 537 802 880 326
135,4 410 172 1 49 24 229 3268 1967 4756
136,948 2291 643 119 1070 4851 66 7787 7213 1356
137,667 1214 2117 818 58 2960 7445 967 3217 897
138,2431 30 263 2493 368 1614 54 18 788 2010
139,22 860 862 95 465 141 537 663 792 906
140,11 52 17 27 47 25 28 16 37 188
141,5 253 325 7 582 165 28 27 186 65
142,2078 3763 202 2858 1203 4153 2001 567 3846 3498
143,775 564 1536 451 3360 691 1182 600 855 3252
144,9 5 146 152 13 165 2 98 595 123
145,28 2555 17 1487 267 16 2031 748 52 1467
146,1038 285 1567 2266 2743 3025 6385 4652 7005 6699
147,8 80 157 174 1447 465 389 27 95 456
148,2324 2602 1221 1035 20 2510 2300 1513 1780 4
149,259 59 500 332 2592 117 1805 751 973 2
151,1484 89 1983 92 480 432 638 456 754 82
152,333 61 151 407 20 804 3598 519 9999 118
153,17 27 145 42 136 5 111 37 122 23
154,7578 2003 3979 62 5615 2586 1169 3539 14277 5645
156,564 1437 124 730 1557 619 745 136 3425 685
157,7369 6721 8114 6425 6197 1243 3071 6178 5303 5192
158,370 157 194 792 3808 19 507 1024 326 465
160,228 219 934 702 507 134 424 3356 2162 141
163,5 97 13 595 23 152 277 9 123 12
164,72 1035 67 189 4756 9050 442 586 278 4
165,6732 3502 2270 5542 7145 1225 13995 808 440 1823
167,141 103 170 212 48 1262 768 370 862 462
168,1 127 156 499 6 4 477 102 744 609
171,204 457 286 1557 166 121 2700 63 1816 3509
172,198 31 4145 98 64 109 879 43 40 687
173,262 2157 320 4711 2013 1702 585 907 926 2442
174,1881 3558 1769 1038 3493 2700 6395 3029 4194 1789
175,65 48 3 33 141 22 73 103 290 565
177,11 27 374 5 286 1437 145 2301 1643 136
178,51 785 650 312 616 159 2529 1123 1361 1688
181,2321 2299 1215 9841 1684 1385 1297 6064 4233 4427
182,27 11 42 28 136 145 5 23 50 277
183,2321 274 205 1993 2365 12180 11314 4309 327 2248
184,389 1543 1067 1826 45 465 803 168 220 297
185,783 1230 960 3280 610 1852 353 4933 1757 1184
187,803 382 168 149 144 412 310 856 56 570
188,1691 7064 230 1882 3424 1225 3055 2270 2702 1494
189,94 1172 2333 2157 1242 2866 3021 2518 442 2504
191,738 262 2577 1203 392 6567 1294 2963 2370 2827
192,364 203 3618 2598 188 400 3469 2919 901 661
193,196 32 1115 96 166 782 2468 920 182 690
194,1284 217 12616 8997 3126 849 215 11763 796 4946
196,1004 2 2954 1817 16 267 4311 2358 133 930
197,2468 32 138 348 182 196 10 208 96 1057
198,51 432 785 418 523 3519 729 158 1783 1405
199,320 34 77 94 175 1041 540 143 33 449
200,71 126 287 1689 122 3 489 729 321 1483
201,370 141 507 65 951 200 194 22 1977 1874
202,1599 583 96 291 5484 905 257 129 411 1547
203,4529 1675 1584 1455 3727 14471 6484 1065 8809 5631
205,507 200 862 163 1799 22 424 219 141 194
206,812 341 6517 470 2816 560 285 447 4761 1476
207,278 1332 743 757 586 238 834 6649 8 72
208,20 320 19 592 809 22 618 1083 1446 342
210,733 347 350 261 325 415 329 292 653 976
211,1487 214 603 514 211 520 447 323 1296 3370
212,51 487 215 2452 1134 1658 1284 1086 107 1038
215,5513 259 1648 2712 1519 1233 1001 973 3832 4795
216,1063 1040 379 276 1819 1180 939 286 559 666
217,14 35 1188 571 5685 727 296 235 2406 4403
218,312 109 367 439 1300 2039 2464 2481 879 202
219,312 131 1117 1983 914 1086 2529 21 508 7
220,259 59 751 385 956 584 414 1001 648 1350
221,358 230 1978 1296 1635 38 520 514 645 214
223,165 316 653 1194 350 261 141 347 1240 976
225,133 716 748 254 1053 139 1058 318 2533 269
226,70 48 620 112 410 8347 2441 6820 90 649
227,141 212 103 251 663 660 370 427 951 607
228,4 53 410 8 25 189 229 445 1 19
229,2364 3988 4357 3631 1505 4910 13129 1975 2531 2679
230,2877 470 1104 2691 1225 2410 7685 4235 8999 1255
231,675 2464 796 87 447 2101 6378 1317 1284 1034
232,1808 445 417 3158 1452 3461 12759 8899 603 6645
233,7 620 10 173 912 464 13120 425 225 243
234,12 61 13 136 35 1400 239 3299 1867 9
235,40 879 55 43 508 1503 1257 995 367 1734
236,3 116 65 175 141 212 251 48 103 437
237,1944 3190 221 812 5350 1385 2671 1353 3660 1750
238,4 174 157 80 456 1600 1428 20 226 8
239,82 308 390 556 282 1107 703 343 706 1783
240,165 146 139 316 1101 350 269 292 554 533
241,687 1227 1095 2721 3707 1372 2376 482 1555 32
242,2712 3402 5263 1323 4804 2338 3560 2066 8073 7661
243,179 393 442 312 202 423 813 796 1099 2342
245,19 4 174 1 226 157 20 456 80 1600
246,2 56 144 104 168 9 95 537 45 184
247,382 149 361 168 56 803 373 310 372 412
248,3268 93 1432 1 2598 20 3988 203 345 108
249,39 55 2412 811 494 4939 3882 125 4084 1829
251,1503 3303 423 920 75 519 2491 1036 687 782
253,32 182 10 138 96 1000 979 848 1317 208
254,502 4758 3307 3139 1976 1331 2901 5614 1374 5861
255,19 32 174 1133 62 4460 4486 5607 448 2896
256,95 220 880 2161 906 860 1538 621 1543 537
257,265 134 20 279 66 60 736 579 678 304
258,101 403 36 506 354 922 699 2499 411 1546
259,124 451 51 691 685 2016 600 407 591 19
260,80 157 2089 2406 3618 370 14 164 901 3808
261,1 156 127 4 317 2821 300 327 1329 102
262,1357 50 788 267 5559 1643 1761 2780 6613 4111
263,748 1058 1053 757 11183 2330 4879 1623 4231 1150
264,2223 4260 4844 1104 4798 3288 459 14199 7411 1160
265,25 24 8 26 297 834 44 748 45 1930
266,3029 3641 5218 4798 6711 5007 16464 166 5263 6122
267,432 89 154 1475 1030 82 1029 935 390 4421
268,388 292 347 984 509 325 408 350 964 335
269,35 1826 326 1024 1067 174 2211 679 860 95
270,39 58 143 185 705 811 738 664 605 1294
271,357 1723 159 451 749 855 775 6579 117 1614
