user_id,item_list
1,101 36 15 123 515 403 314 694 1422 1546
2,1095 47 12 50 196 28 11 1522 949 4
3,59 648 536 259 511 239 956 584 414 4252
4,11 28 249 50 252 136 146 7 128 1
5,77 471 170 72 270 131 116 215 1220 59
6,886 9 35 88 168 104 14 141 184 395
8,210 451 480 80 771 3916 4 760 591 1094
9,10108 3646 350 180 2821 5724 3071 993 1206 2350
10,1816 561 1411 1674 1668 3905 1446 3721 2386 1770
11,40 58 31 627 67 1635 93 514 52 44
12,4704 2582 329 261 1090 1328 325 4719 408 587
13,1316 1446 809 2403 1875 11174 2198 3613 8294 39
14,1050 571 202 297 1817 2909 164 180 930 271
15,236 308 1107 707 220 89 983 837 842 1290
16,7 617 9752 946 1346 1569 3198 1463 1692 29
17,43 19 80 98 57 44 16 4 157 198
18,332 255 766 179 284 617 192 1099 813 297
19,467 376 252 764 5903 236 3571 8044 8473 636
20,573 467 279 134 313 376 242 129 267 192
21,12 786 152 24 189 405 508 150 528 164
23,1279 2295 754 282 82 1290 1370 236 308 9318
24,3021 596 179 1076 1942 8432 1705 1577 1139 567
25,51 758 7 183 290 85 24 107 63 555
26,318 254 252 1089 1256 1788 353 1005 966 269
28,27 11 47 325 50 39 41 146 843 139
29,28 627 494 670 1555 17 43 77 175 681
30,23 57 160 259 43 71 17056 73 4 103
32,379 1393 418 30 121 105 54 21 2 51
33,1510 435 496 264 8 1415 95 61 14 1807
34,888 10215 6219 87 475 8920 6436 1586 178 8934
35,133 139 254 318 1939 996 4593 1079 1081 3847
36,16 379 202 569 490 183 243 283 1393 4
38,108 7 2 101 11 4 28 1022 287 439
39,77 15 304 8 101 378 108 281 29 254
40,31 17 58 19 76 47 174 2546 201 80
41,31 55 58 618 605 592 486 1083 1288 112
42,1310 1369 5744 249 829 293 252 36 3325 29
43,21 149 8 168 238 372 683 184 43 2996
44,499 267 457 197 171 2954 139 350 587 843
45,202 101 4030 15 36 3177 107 413 10 19
46,1505 360 2253 4126 4116 1799 1218 394 2332 228
47,96 344 188 514 38 214 93 203 1635 645
48,28 17 332 47 7 27 296 37 3282 2
49,66 116 148 5 214 45 10 746 309 304
50,177 67 481 748 634 404 199 2 781 1174
51,428 238 625 8 678 11 919 27 49 446
52,438 178 94 99 2177 1676 133 146 15 10
53,6472 3970 859 6471 720 18028 7516 9043 4819 6273
54,19 238 174 2 8 278 6 157 112 135
55,18909 13878 15274 1255 3103 733 956 3917 2773 1474
56,99 384 106 715 831 116 66 933 214 1198
57,160 648 159 536 956 186 104 2315 399 582
58,101 2367 2404 7867 3945 433 36 693 161 699
59,4462 1190 353 4352 93 2118 612 5051 1 415
60,2 4 1 6 7 3 8 9 14 20
62,291 238 411 85 67 583 278 106 3059 904
63,1316 1668 809 34 94 80 4833 540 4042 1702
64,41 534 76 36 71 379 7128 5360 524 303
65,2 4 1 6 7 3 8 9 14 20
67,739 181 2 1145 6203 23 871 13 243 117
68,716 138 96 281 324 598 344 1994 546 743
69,25 22 14 16 95 46 90 1244 4 1372
70,213 72 67 2 614 631 654 301 1 407
72,9653 7454 7169 7170 8620 39 10901 10865 41 58
73,516 21 125 9114 2660 112 114 121 1300 1762
74,11 50 27 47 391 815 42 4 388 1004
75,56 184 9 45 301 803 450 19 1028 240
76,31 40 77 343 526 66 55 805 76 308
77,600 2 8 771 1 216 155 7 682 578
78,199 546 9404 281 939 63 88 155 535 7212
79,138 32 66 85 77 318 2085 2025 208 146
81,2599 8 614 164 3541 77 66 664 705 60
82,55 76 49 181 33 3 4 23 1341 876
83,342 1108 5 117 1083 1214 2237 805 1288 837
84,583 411 905 1497 897 643 2243 103 540 141
85,1674 116 66 39 31 41 1668 60 1618 76
86,28 17 786 11 27 47 290 20 102 205
88,346 1222 34 99 139 318 133 1089 963 1338
89,138 324 10 344 160 15015 12673 15014 35 1522
90,64 56 144 13 104 98 35 184 21 9
91,90 1 82 915 1406 884 104 1438 35 184
92,32 1346 21223 471 1225 14083 396 9404 3541 1692
93,95 220 326 768 1024 17 28 1044 226 496
94,28 11 42 51 6 365 498 601 74 2259
95,482 44 4 567 16 112 1842 173 669 75
96,766 617 1346 1692 946 256 1463 88 393 1582
97,654 24 132 7604 62 200 4 125 5086 6
98,8688 7839 11765 21 29 3 31 7 13600 79
99,57 138 64 96 32 344 511 527 21 995
100,313 764 636 94 1050 11 63 50 99 851
101,1440 754 2314 82 837 624 1177 1290 1051 526
102,34 2843 2284 2766 2283 67 1195 2958 6198 2492
103,901 13 43 155 98 11 17 1422 694 49
104,119 299 252 23 4 2 89 71 26 1
105,141 3 2 9257 9 7 30 10 19 885
107,39 55 58 467 51 313 376 430 764 16
108,32 585 94 182 2013 689 208 298 147 34
109,131 49 124 2 1 745 1975 10 564 824
110,55 58 428 82 625 76 2416 755 983 770
111,59 95 584 648 536 414 35 220 956 802
112,2603 498 365 264 3692 105 1365 101 690 403
113,104 168 9 56 224 184 149 1391 372 120
114,5 17 575 50 1564 27 3 102 186 4000
115,1511 44 4 1829 81 7 263 6 16 289
116,15 101 354 403 7 161 699 869 515 506
117,88 72 1927 339 87 806 217 798 131 538
118,7 85 21 791 298 18 283 4031 84 112
119,102 1433 179 596 416 7 300 197 813 125
121,1971 3335 2729 3867 4049 2886 3134 4698 11601 6802
122,28 3134 17 3659 27 154 226 1123 1611 5298
123,8 103 16 424 73 663 256 266 194 409
124,346 859 1704 2163 9878 8112 257 5985 34 2577
126,8755 766 6026 5585 617 7522 79 177 428 6027
127,618 40 39 41 828 76 55 624 54 11
128,42 11 28 50 814 9266 999 239 36 783
129,1041 585 40 147 31 199 1542 533 1825 58
130,831 736 593 116 175 77 148 207 766 2446
131,13 31 41 6967 55 159 117 8912 913 198
132,133 474 335 325 316 843 1754 554 254 314
134,22 399 186 95 80 4 56 2 174 73
135,446 15 132 891 763 22 2 566 103 115
136,9766 8740 8683 410 143 265 35 2 2185 2088
137,19 1 129 275 188 157 680 38 2 93
138,11 28 117 1670 50 130 120 47 8 413
139,31 56 58 228 76 144 22 1 103 3
140,16 25 28 44 4 215 11 37 50 52
141,978 624 5 1440 657 111 2149 39 31 385
142,34 264 202 94 883 154 1161 1714 167 10036
143,1573 2724 11 33 28 3300 70 407 2218 3709
144,35 133 9 144 168 318 254 165 269 240
145,56 16 35 144 8 1 122 17 184 240
146,85 51 514 358 38 93 603 520 1 1450
147,2 44 80 157 1 91 174 71 16 3
148,1817 256 1442 669 632 930 4806 1898 4344 21
149,2 113 7 122 192 85 105 727 16527 35
151,281 716 191 997 326 2610 2 621 352 1405
152,45 159 220 389 320 886 85 154 326 906
153,17 27 42 37 145 136 363 730 14 679
154,58 55 546 1083 76 634 1288 80 1214 1058
156,28 11 42 451 578 569 19 749 6 97
157,7027 6178 17896 6197 17904 17897 17895 859 17889 2147
158,19 1 35 33 250 95 103 203 157 65
160,1470 73 2503 22 815 327 762 802 1330 156
163,5 44 71 343 1098 89 16 4 86 352
164,4 44 552 2599 16 61 79 586 72 339
165,3537 6309 385 392 555 5542 3870 1210 3476 99
167,33 22 48 103 4 1 20 35 319 56
168,2 4 1 6 7 3 8 9 14 20
171,13 433 47 136 11 145 399 29 28 1
172,40 39 41 102 58 35 76 416 425 280
173,320 94 1041 34 689 2013 585 203 708 1
174,154 298 21 4031 1934 508 603 1106 14 1
175,8 7 61 82 305 390 638 10 330 1
177,28 27 50 220 136 80 277 145 389 4
178,7 101 128 680 248 112 44 54 2 68
181,1304 1321 512 1932 1019 1464 3602 1899 2151 3965
182,28 27 11 42 136 37 145 277 730 679
183,480 16596 208 14 2751 3464 3972 65 3 2015
184,47 27 50 220 42 1 326 181 389 49
185,901 1737 2326 1706 3872 22 2256 960 890 2787
187,17 28 399 11 201 45 244 133 253 165
188,4485 3537 2791 808 94 4901 1225 1050 3407 2702
189,94 738 1198 3082 4057 540 5332 5337 4839 1315
191,2963 627 34 262 4889 3 4336 738 2163 1172
192,154 1057 1352 446 2 105 22 4 73 225
193,10 2053 33 782 723 4371 4467 1763 22 425
194,21 51 25 3 109 226 87 1 221 247
196,712 509 1752 401 3750 1846 133 910 186 1966
197,152 242 467 615 430 573 873 938 471 2203
198,15 36 161 403 506 544 1546 429 337 2462
199,181 94 99 897 34 392 2590 33 738 1704
200,3 51 10 166 1681 389 277 1111 155 418
201,174 141 1 22 251 424 73 272 1469 33
202,96 59 101 585 584 40 540 320 39 3620
203,4066 4662 225 21332 8765 1822 470 6 215 431
205,1461 4 22 33 5 19 116 3444 175 2201
206,981 872 117 851 1568 159 120 875 384 1787
207,590 135 94 238 1 1897 278 199 1931 34
208,39 837 41 22 978 58 76 2 45 662
210,474 325 261 316 476 350 563 3214 1821 1965
211,38 214 1296 603 211 230 323 645 154 1
212,712 87 298 365 51 284 81 1790 11 28
215,1938 15 1519 551 1210 2712 133 7716 104 2355
216,985 510 178 500 957 160 105 414 10 22
217,144 258 224 240 35 168 56 803 310 1082
218,16 43 13 262 198 109 901 459 1131 455
219,81 107 88 43 210 13 284 4 217 29
220,4252 125 78 173 107 5 574 1034 435 30
221,883 5 2231 71 294 4987 1476 23 167 108
223,441 732 903 347 84 531 1848 371 261 9
225,404 541 250 177 781 385 1053 2533 748 199
226,19 43 13 54 90 424 112 3021 4 51
227,60 116 134 66 175 22 103 20 142 580
228,189 75 61 74 65 79 519 190 44 7
229,132 36 2 532 763 891 566 3380 1321 170
230,108 167 831 1352 551 759 1022 1119 1613 34
231,28 50 42 15 107 202 154 85 1272 9
232,40 1 4 203 76 31 41 39 1578 19
233,96 476 2208 182 208 1 1267 324 2416 344
234,11 145 730 36 37 1867 1549 42 774 136
235,31 55 664 98 51 13 43 198 5 64
236,66 116 593 77 2162 736 175 304 378 437
237,1028 1112 8 786 1728 739 1283 4020 766 571
238,80 157 174 2 4 456 33 48 45 8
239,89 390 1488 915 2813 2007 4941 3620 5 438
240,119 433 399 2689 1165 631 1650 496 509 533
241,4567 687 482 1672 425 218 2247 199 741 658
242,13333 4900 105 5216 3204 3980 10897 13335 192 12370
243,8 52 2453 3162 1191 3590 1422 1481 3620 20
245,2 4 1 6 7 3 8 9 14 20
246,2 14 1 704 6 4 510 142 5 507
247,56 35 168 382 310 9 184 288 149 373
248,26 6 2 72 4 63 333 30 107 20
249,39 40 55 3 1545 483 486 1922 5220 342
251,60 116 33 4 175 22 585 134 148 89
253,516 80 522 2103 51 2665 4 494 1636 1062
254,388 994 329 139 261 415 612 1005 1620 73
255,2386 22 828 2565 1051 4267 1382 250 13 20
256,465 95 768 8 60 906 389 220 66 175
257,681 955 170 702 301 80 20 631 2 157
258,585 45 1940 1722 15 1367 1466 907 4539 384
259,226 45 181 49 537 154 328 621 389 5
260,80 216 1 157 8 2 532 6 301 74
261,2 4 1 6 7 3 8 9 14 20
262,56 14 104 11 6 50 27 47 5 184
263,133 825 139 950 135 9 6 258 146 373
264,767 36 1714 1476 7 101 127 107 16 710
265,2 1 173 5414 482 4 4567 218 132 1672
266,2456 2341 1811 1431 3554 1675 1863 1350 10 4240
267,291 63 379 15 158 257 81 2 36 1867
268,325 733 630 2962 554 80 146 1090 696 443
269,17 28 122 104 35 168 50 532 244 579
270,39 58 401 3 813 486 255 596 88 78
271,59 160 259 648 584 1350 536 15 1657 827
273,1210 385 7716 3345 2841 210 3761 555 551 1768
274,1100 2186 609 1196 102 599 397 3085 2847 156
275,496 476 4601 5225 734 8332 762 6263 2208 99
276,40 39 41 58 55 76 161 3 1326 457
277,561 129 10 573 430 376 117 636 21 109
278,138 32 324 120 344 117 10 125 51 423
279,7 107 68 422 172 1511 845 5906 3 2303
280,104 807 35 149 558 683 240 570 1417 803
281,618 17 47 27 41 39 1108 40 11 58
282,116 8 66 36 80 67 404 31 1818 39
283,9 35 104 292 144 345 373 238 551 146
285,789 38 1364 40 2599 39 41 990 571 58
286,440 15902 680 765 15 2072 472 7 321 1037
287,303 1232 39 40 76 31 41 592 474 554
288,1095 10 690 52 281 1354 25 8 44 352
289,15 390 884 82 915 1438 101 305 1812 69
290,681 94 34 664 449 51 2036 36 365 1222
292,146 171 509 316 17 1006 678 314 761 48
293,4 8 103 265 1 279 73 409 48 33
294,291 3681 1523 1254 840 790 1223 583 1936 841
295,521 1630 149 34 1221 104 372 168 144 99
297,44 4 17 42 47 1871 27 1008 6 1103
299,45 191 754 537 389 415 792 465 1067 768
300,1004 267 407 360 296 197 2 6 67 1
301,39 31 58 51 3 298 22 237 87 10
302,401 596 174 148 33 116 70 103 60 77
303,16 44 229 25 8 597 1487 266 32 43
304,19567 16226 7456 11280 5777 18990 12431 17428 21850 16934
305,159 29 117 510 15 7 95 1490 68 366
306,3325 262 179 596 29 1431 442 601 249 712
307,2906 842 207 3453 3613 77 60 4736 22 116
308,51 81 107 15279 2052 1 15751 879 75 7849
309,133 29 165 43 21 64 254 455 13 139
310,16 262 442 15 553 394 44 401 207 183
311,716 352 5977 5772 1448 1625 756 1994 4546 6512
312,4094 512 6064 8328 12082 7913 1932 1304 12929 3030
314,56 35 9 4 382 517 570 782 224 240
315,442 51 401 4 96 118 81 138 24 169
316,2 4 1 6 7 3 8 9 14 20
317,1040 121 3497 516 4507 12799 3190 3602 3995 1135
318,533 2208 104 2967 35 168 4223 56 9 3043
319,279 22 4 5831 2736 1436 2 867 3524 48
320,10 44 723 5137 315 121 196 1199 4 1372
321,51 107 2039 379 1284 88 1393 27 559 14
322,682 769 600 722 771 1872 578 124 2219 778
323,45 220 4 792 1024 768 102 906 880 7444
324,35 558 319 288 1772 224 1417 807 683 240
327,102 300 205 725 2894 197 1501 858 398 1
328,2261 24 155 21496 490 18676 10 10737 4312 14742
329,1524 12 3000 42 123 22 5 13 3 1362
330,171 133 254 1670 269 966 563 843 314 325
331,109 33 455 43 1115 13 64 154 356 2
332,342 1214 35 9 60 116 1092 4 104 48
334,12 31 767 1111 152 615 405 55 1864 76
337,56 104 168 874 149 240 184 224 26 135
338,42 50 47 11 28 13 64 9 43 57
339,397 1196 82 983 1143 35 1642 236 1308 707
340,3976 1506 4775 327 5421 2056 124 816 5073 3303
341,949 380 422 283 744 359 7 18 1180 295
342,9 4 26 56 174 157 114 771 118 1140
343,76 182 208 121 3 324 23 344 1451 88
344,627 99 94 1315 681 34 106 955 2518 2129
345,16 266 588 1303 4 52 75 1 189 67
346,17 80 28 47 1 50 2 134 13 279
347,11 291 28 17 841 45 411 42 27 40
349,1258 139 270 165 314 146 254 1209 3979 3386
350,35 104 56 9 168 17 125 11 264 28
351,2007 438 21 1467 2740 281 1363 3032 3899 83
352,733 4855 10305 29 267 325 1090 2196 16542 2121
353,2 4 1 6 7 3 8 9 14 20
354,2 4 1 6 7 3 8 9 14 20
355,41 31 55 3 490 137 112 54 618 283
356,33 8 1 265 134 20 48 28 61 410
357,771 722 778 174 2692 1683 23 578 2800 111
358,54 7 283 112 295 222 380 18 490 6718
361,7163 10307 10840 4573 10110 39 10234 40 6471 133
363,117 159 5317 51 500 308 282 638 97 569
364,512 1464 1321 2807 4749 3030 3661 1197 1304 3544
365,15 3439 334 709 4190 44 7 217 822 271
366,950 6 3 20 2405 24 8 19 48 170
367,15 13057 101 10669 8028 15806 3880 3980 325 8495
368,399 12 433 1111 509 332 405 582 293 150
369,2501 2367 116 66 3945 60 4292 2748 156 11181
370,242 313 2996 1691 36 376 467 345 15 14
371,85 929 298 1046 179 695 2148 32 72 107
373,3043 4223 3100 301 1833 1194 3220 702 4211 2
374,90 1244 44 16 4 108 276 46 2428 112
375,424 383 95 33 77 73 1 103 141 427
376,259 536 1001 584 1233 956 2512 1837 5269 2718
377,71 1483 1596 969 293 1962 27 2236 17 47
379,15 851 354 101 161 4 3789 6 1011 62
380,6 446 17 891 42 28 763 566 27 84
381,5 54 10 2 7 81 11 82 571 739
382,264 571 751 45 220 326 4 2092 1220 1067
383,95 45 326 465 647 906 1024 15 797 225
384,95 220 465 768 1024 16 17 28 332 47
385,1529 22 4085 3037 329 170 6868 261 6837 3386
386,751 56 144 4 104 85 9 184 35 131
387,1123 684 2513 282 418 547 155 2615 1652 1688
388,25 52 154 94 51 44 88 434 99 1720
389,33 4 80 44 73 157 2 65 174 45
391,7 420 36 44 4 17 88 28 238 89
392,102 783 156 1293 300 213 4249 3 189 19
393,896 15 1195 2288 2566 1936 1234 36 2767 6
394,320 138 1532 17 11 1049 329 47 1722 907
395,3602 3173 4507 177 3041 2029 67 250 822 1040
398,1316 1674 1767 12 97 150 405 458 615 19
399,6 1505 7 718 891 35 1464 566 446 1357
400,35 17 50 47 27 42 144 145 168 149
401,160 414 999 5697 2264 956 1001 1657 1947 1374
402,2 4 1 6 7 3 8 9 14 20
403,2 911 2540 2501 6 24 3 8 14 48
404,17 1 201 174 22 42 1282 122 293 2
405,29 35 43 1382 64 13 1816 7 576 168
406,540 958 147 907 585 172 708 1443 61 726
407,496 367 9369 3453 4 88 44 1267 475 2362
409,41 31 99 58 98 147 681 13 1911 198
410,187 254 128 133 316 248 474 171 325 146
411,56 9 886 5 22 104 141 2020 4402 173
412,401 179 7839 255 13600 5378 270 738 1387 262
413,156 2087 205 48 105 88 6 302 22 647
414,49 181 5231 410 445 1491 1 39 1228 18
415,97 150 405 615 458 1111 1 9 2175 13
416,1220 107 51 782 121 56 10 1550 105 865
417,94 826 34 192 87 105 107 215 3393 88
418,10 101 15 848 36 25 112 2514 201 804
419,2590 4465 34 392 1387 262 2490 1294 1342 14065
420,43 4870 4350 41 4869 5020 4321 57 146 2331
421,3440 512 270 7 759 106 851 108 2312 3280
422,208 182 344 85 596 51 813 8 1 255
423,119 299 252 63 2679 428 4 118 1545 6
424,52 8 716 44 790 281 25 1448 598 1854
425,1511 988 102 327 7263 256 2149 1555 245 521
426,17 27 28 47 136 50 37 11 363 2461
427,349 102 49 154 117 93 1116 471 300 243
428,16 25 181 52 11292 44 410 243 1341 882
429,1619 228 3487 3513 3737 3726 5503 2084 2942 3414
430,16 3126 4 7 2 22 35 21 168 30
431,1296 188 514 203 2230 154 1450 186 603 7
432,532 1044 783 67 12843 1460 278 1593 3726 101
