user_id,item_list
1,101 36 15 123 403 515 314 694 592 254
2,1095 47 50 12 196 28 11 1522 949 656
3,59 511 239 1281 857 259 648 4252 584 970
4,28 11 50 249 252 136 146 612 254 1313
5,77 170 131 471 116 72 1220 95 270 2641
6,886 9 88 35 168 104 56 141 874 184
8,210 480 451 3916 80 1094 771 4 760 366
9,10108 180 350 3646 5724 2350 993 20079 13038 3071
10,1816 561 1411 1674 3905 1668 1446 2386 3721 67
11,40 31 58 627 67 188 93 514 1635 520
12,4704 2582 329 1090 261 4719 1845 353 408 325
13,1316 1446 809 2403 11174 1875 2198 39 8294 41
14,1050 202 571 1817 28 297 17 2909 180 345
15,236 308 1107 707 220 89 6957 837 983 624
16,7 9752 617 1569 946 1346 3198 1463 8693 1710
17,19 43 80 98 44 57 157 16 4 198
18,332 255 179 766 284 1112 192 1397 617 3967
19,467 376 252 764 5903 8044 236 636 3571 154
20,467 573 313 242 129 376 279 134 267 1004
21,12 786 152 528 189 164 150 24 405 442
23,1279 2295 754 282 82 1290 236 308 1370 983
24,3021 596 179 1942 1076 8432 284 5899 675 1016
25,51 758 18088 183 290 574 1258 368 826 4235
26,318 254 252 353 1089 1788 269 1256 966 1005
28,27 47 11 50 39 325 41 55 139 58
29,28 627 494 17 43 77 60 175 681 47
30,23 57 160 17056 259 15355 43 71 9749 7991
32,379 1393 418 1161 655 1609 12332 30 121 54
33,435 1510 496 264 8 1415 95 11199 4904 571
34,888 10215 8934 6219 2221 513 87 2359 6436 22346
35,133 139 254 1939 4593 318 3847 146 1079 996
36,16 379 569 202 490 1578 139 243 254 183
38,108 11 101 7 28 4360 287 2 1022 99
39,77 15 8 101 304 108 378 281 1057 254
40,31 17 58 19 76 47 174 201 2546 80
41,31 55 58 618 592 605 1083 1108 1288 112
42,1310 5744 1369 249 293 252 829 11671 3325 299
43,149 21 168 238 372 144 184 8 683 2996
44,499 457 197 267 843 171 350 325 2954 139
45,202 101 36 15 4030 3177 95 107 1230 5112
46,1505 360 2253 4126 4116 1218 228 394 1799 301
47,96 188 344 514 38 214 203 93 1635 85
48,28 17 332 47 27 7 3282 296 37 3278
49,66 116 148 5 214 45 10 304 746 309
50,177 67 481 634 748 404 143 235 53 199
51,428 238 625 8 678 11 27 919 42 446
52,94 438 178 99 133 2177 1676 146 498 7926
53,6472 859 3970 720 6471 18028 7516 4819 6273 9043
54,19 238 174 278 2 8 157 112 135 48
55,13878 18909 3103 733 15274 1255 956 3917 1474 1571
56,99 384 106 1198 66 715 831 116 60 214
57,160 648 159 536 956 186 104 117 582 399
58,101 2367 2404 7867 3945 36 433 582 693 161
59,4462 353 1190 4352 93 612 1 415 5051 214
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,291 85 238 411 67 583 278 3059 106 154
63,1316 1668 809 34 80 94 837 4559 4833 4042
64,41 7128 76 534 36 379 71 5360 524 6260
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,739 1145 2 23 181 6203 13 243 871 117
68,716 138 96 281 324 344 598 1994 546 743
69,25 16 14 95 22 1372 1244 46 1095 90
70,213 72 67 631 614 301 2 1 407 413
72,9653 7454 7169 39 7170 10901 8620 41 10865 58
73,21 516 2660 9114 1300 125 114 146 13684 10057
74,11 50 27 47 42 391 815 388 1897 261
75,56 184 45 9 301 803 450 19 1028 537
76,31 40 77 66 343 55 526 76 805 2637
77,600 771 216 155 4110 8 177 578 2 1038
78,199 546 9404 281 939 155 88 535 1152 751
79,138 66 32 77 85 21 208 2085 2025 318
81,2599 705 164 664 66 77 175 3541 60 614
82,55 76 49 33 181 3 23 1341 4 876
83,342 5 117 1108 1083 1214 805 1288 2237 837
84,583 411 905 1497 540 897 2243 643 66 116
85,116 1674 66 39 31 41 60 1668 1618 76
86,28 17 11 27 47 786 290 3132 448 102
88,346 1222 34 99 139 133 318 1089 963 11531
89,138 324 10 344 15015 160 15014 12673 1522 18468
90,56 144 64 104 13 98 184 35 21 9
91,90 82 1 104 915 884 1406 184 1438 35
92,32 1346 471 1225 21223 14083 396 9404 998 3541
93,95 220 326 768 1024 17 28 1044 226 496
94,28 11 42 51 6 498 74 131 2259 1020
95,482 44 567 1842 669 173 18638 4480 16 12504
96,766 617 1346 256 70 946 21 87 7 264
97,654 7604 171 24 132 923 2593 5086 2364 6616
98,8688 7839 11765 21 13494 13600 15980 17162 29 8346
99,57 138 32 96 64 344 511 21 750 527
100,313 764 636 94 1050 11 99 63 851 50
101,1440 754 837 82 2314 624 1177 1051 1290 137
102,34 2843 2284 2283 2766 1195 67 2492 2958 6198
103,901 43 13 155 98 694 1422 97 17 11
104,119 299 252 23 1146 89 639 4 1273 2
105,6804 141 9257 12791 2890 4622 474 388 1478 885
107,39 55 58 467 313 376 51 430 764 573
108,32 585 182 94 689 208 2013 34 147 298
109,131 124 49 1975 395 745 2447 1147 806 13777
110,55 58 428 76 82 625 755 2416 983 496
111,59 95 648 584 536 414 35 220 802 956
112,2603 365 498 264 105 3692 690 101 403 544
113,104 168 9 56 224 184 149 1391 120 117
114,5 17 50 575 3 27 102 1564 186 433
115,1511 44 1829 4 316 16 263 81 12377 14418
116,15 101 354 161 403 106 257 699 68 128
117,88 72 1927 339 87 217 798 806 107 1010
118,7 85 21 298 4031 791 508 2373 13914 283
119,102 1433 179 596 7 813 300 416 125 267
121,3335 3134 4049 2886 1971 2729 3867 3659 5952 4698
122,3134 28 17 3659 27 154 226 1123 5298 936
123,8 103 16 424 256 2588 178 73 952 266
124,346 859 8112 2163 9878 1704 257 34 2590 2150
126,8755 766 6026 5585 7522 6027 617 625 428 79
127,618 40 39 41 828 76 55 624 11 54
128,42 28 11 50 814 9266 999 239 36 2512
129,1041 585 40 147 31 199 1542 58 533 76
130,736 593 831 116 77 148 207 175 766 2446
131,13 31 41 55 6967 117 159 8912 913 510
132,133 474 325 335 843 316 1754 589 554 3271
134,22 399 186 95 80 56 174 4 122 2
135,15 446 132 891 22 763 103 101 2 566
136,9766 8740 8683 410 265 11705 10912 18930 2088 4760
137,19 1 129 275 467 188 157 313 93 430
138,11 28 117 1670 50 120 413 130 500 47
139,31 56 58 76 228 144 22 1 722 103
140,16 25 28 44 37 215 11 50 351 4
141,978 624 5 1440 111 2149 657 39 31 385
142,34 94 264 202 154 883 1161 95 10036 96
143,1573 11 2724 33 28 70 2534 5371 871 407
144,35 133 9 144 254 318 168 269 165 3299
145,56 16 35 144 8 1 122 184 63 244
146,85 51 514 38 358 93 603 520 496 1450
147,2 44 80 71 157 91 174 16 13 48
148,1817 256 1442 669 632 930 4806 1666 4344 1898
149,122 16450 113 2 111 16527 727 11565 85 244
151,281 326 191 716 621 997 1067 1405 352 2610
152,45 159 220 389 886 85 320 326 154 906
153,17 27 42 37 145 136 363 730 277 338
154,58 55 76 546 1083 1288 80 1214 634 1058
156,28 11 42 451 569 578 19 12 97 749
157,7027 17896 6178 17904 17897 17895 6197 17889 859 17894
158,19 35 250 1 95 33 103 203 6640 144
160,1470 73 22 2503 327 815 762 156 181 1330
163,44 5 71 1098 89 343 16 352 3259 86
164,4 552 44 2599 61 16 79 4483 268 1095
165,3537 385 555 392 6309 5542 3870 3476 1210 99
167,33 22 48 103 319 558 35 56 149 807
168,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
