user_id,item_list
1,52 139 254 146 171 165 318 101 269 112
2,102 50 47 136 205 12 229 300 197 277
3,59 259 414 584 536 648 999 956 1001 1233
4,28 17 121 50 27 63 129 254 68 145
5,77 177 135 125 51 238 81 250 278 118
6,229 35 56 180 67 285 168 104 215 271
8,125 80 174 157 210 226 456 516 793 107
9,110 102 29 45 156 205 15 20 9 300
10,67 13 135 177 74 43 199 278 186 250
11,76 34 93 52 67 214 203 99 188 58
12,60 262 261 347 329 103 125 408 292 77
13,467 40 41 313 430 376 573 119 55 249
14,69 107 475 180 271 365 153 366 285 202
15,220 191 326 389 537 768 465 906 792 621
16,7 130 179 202 247 222 401 37 255 312
17,43 57 98 198 109 348 356 576 23 204
18,106 49 87 179 183 29 118 401 14 483
19,129 242 467 376 119 252 764 636 101 639
20,103 170 83 141 212 193 102 134 163 301
21,12 5 152 81 53 405 17 42 1 100
23,82 89 282 308 236 837 390 828 624 547
24,51 4 88 1 179 131 125 12 107 202
25,110 90 88 51 213 63 155 206 65 342
26,261 139 408 292 316 133 76 353 254 350
28,27 41 43 55 133 47 19 139 146 58
29,60 77 125 746 121 1070 37 948 63 136
30,43 23 64 57 98 198 109 71 91 348
32,51 21 186 15 88 125 126 293 90 399
33,156 205 300 267 416 197 74 79 398 725
34,81 179 202 401 596 255 51 365 393 813
35,254 139 146 165 318 314 747 474 1132 996
36,108 125 63 49 23 69 30 263 107 139
38,28 101 90 161 47 50 132 257 354 145
39,116 254 139 165 318 304 428 314 269 134
40,31 58 47 76 17 145 23 19 42 87
41,31 58 55 486 112 342 143 592 449 54
42,125 81 186 107 399 433 293 132 582 321
43,36 67 13 43 177 135 35 15 337 56
44,63 155 183 195 137 105 159 133 108 594
45,110 109 127 70 105 180 271 455 132 248
46,417 132 106 118 70 632 396 241 189 167
47,38 96 208 34 93 51 344 94 214 211
48,37 63 90 136 24 153 145 50 296 47
49,60 220 191 97 326 96 229 51 182 138
50,67 135 177 143 238 278 199 185 541 235
51,238 42 250 235 50 395 404 164 481 116
52,133 254 139 146 318 269 314 125 747 1132
53,419 241 563 929 5386 3328 2994 83 859 14690
54,19 135 177 238 278 199 250 112 541 235
55,67 59 135 177 238 160 278 199 250 106
56,34 116 99 148 38 106 60 262 66 93
57,160 35 104 536 648 168 999 144 956 149
58,101 126 399 433 582 321 38 161 293 111
59,38 101 261 93 13 347 388 214 329 188
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,102 67 156 135 36 177 205 72 238 416
63,80 174 89 82 308 236 74 343 213 147
64,186 399 433 582 111 88 120 128 550 379
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,49 179 13 102 207 365 64 180 401 43
68,96 138 88 67 324 344 135 177 131 238
69,25 14 16 38 183 84 106 52 241 209
70,72 110 67 74 38 151 106 183 172 223
72,31 41 55 58 5 186 129 126 399 242
73,125 121 109 105 247 180 21 222 455 166
74,37 27 47 42 145 136 122 277 111 363
75,56 104 191 144 184 389 28 537 72 310
76,82 89 77 175 308 343 837 66 390 428
77,67 69 18 107 114 177 238 278 106 250
78,88 43 131 64 57 63 98 198 217 109
79,138 208 85 66 344 77 63 147 133 116
81,67 243 181 135 410 238 79 250 74 278
82,41 55 76 23 49 71 342 486 74 157
83,5 39 82 89 282 76 308 343 837 78
84,93 41 116 99 94 31 203 175 188 132
85,60 39 116 148 97 309 304 428 736 378
86,154 28 17 298 37 27 47 42 145 162
88,99 60 262 101 77 103 346 170 392 715
89,138 154 324 344 59 35 97 112 104 152
90,13 109 35 64 56 98 57 198 104 356
91,82 282 308 343 236 837 132 234 828 624
92,46 32 81 10 84 14 48 103 78 170
93,95 174 220 191 326 110 28 537 17 768
94,42 51 50 38 136 179 202 131 217 401
95,62 112 106 179 183 266 105 137 255 172
96,179 401 255 596 202 813 393 72 365 1099
97,125 121 63 688 190 117 118 68 178 107
98,29 183 48 32 106 125 78 105 118 24
99,96 13 138 64 109 57 356 995 576 169
100,242 37 467 34 313 121 573 119 50 13
101,82 89 282 343 837 390 828 624 547 1051
102,67 94 99 101 135 278 199 30 266 250
103,97 28 13 37 74 155 519 50 152 137
104,23 68 54 71 112 91 137 519 114 122
105,75 21 3 45 178 1434 789 108 2121 114
107,55 51 58 266 238 135 177 229 97 199
108,85 34 94 96 182 208 320 324 585 689
109,132 155 763 566 127 491 83 345 718 446
110,41 58 82 89 19 282 308 116 236 133
111,59 95 220 414 584 536 648 999 326 465
112,36 81 125 26 15 108 87 365 202 130
113,56 104 168 224 149 184 240 288 310 319
114,102 186 300 5 126 197 416 433 293 582
115,263 108 1244 70 227 384 560 63 758 114
116,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
117,88 131 107 217 183 798 162 105 806 215
118,30 18 7 46 15 90 106 183 102 78
119,102 156 179 300 416 267 197 255 393 202
121,2476 2480 2575 3008 1667 3072 2272 1560 1848 2885
122,28 182 43 208 89 93 324 282 109 203
123,103 266 170 83 212 193 163 301 228 52
124,72 220 101 96 326 138 389 177 208 135
126,67 177 238 278 199 179 250 235 541 110
127,39 42 50 41 47 40 55 37 38 145
128,17 42 50 47 125 59 277 121 210 145
129,13 76 156 94 66 99 585 205 689 58
130,179 62 108 116 77 175 148 263 202 118
131,40 121 55 198 109 81 47 50 145 356
132,133 139 254 171 318 269 314 316 474 1132
134,80 77 56 186 43 104 174 126 168 64
135,101 115 161 21 257 611 506 83 194 544
136,143 185 83 119 307 1542 291 694 605 325
137,467 313 430 80 119 376 573 186 174 249
138,112 137 108 54 68 127 46 87 283 402
139,56 76 31 40 103 58 144 224 259 149
140,25 16 81 52 258 97 127 908 256 128
141,52 5 186 13 126 82 89 399 433 321
142,34 179 40 41 94 68 62 114 55 401
143,37 63 145 136 370 50 255 47 157 174
144,35 168 144 224 149 184 240 288 310 373
145,56 168 17 144 65 224 149 184 42 16
146,38 85 51 62 93 401 203 202 214 255
147,80 174 157 71 91 132 134 68 111 122
148,20 103 116 83 170 141 175 77 212 148
149,95 220 125 326 37 389 63 84 537 81
151,82 89 282 308 236 343 837 390 828 547
152,66 95 85 191 81 326 134 389 229 19
153,37 47 50 145 122 111 363 296 63 136
154,31 58 76 55 67 80 135 177 238 157
156,42 37 145 136 122 277 111 363 124 730
157,51 133 165 59 1277 146 171 563 269 859
158,19 65 35 151 164 132 417 172 410 704
160,170 141 83 212 163 330 301 228 424 272
163,18 266 30 72 74 189 82 89 5 282
164,72 243 181 410 164 176 542 882 225 297
165,128 307 131 107 135 164 110 257 495 216
167,132 80 143 185 370 35 155 157 83 491
168,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
171,13 133 81 51 43 139 146 165 171 125
172,40 102 55 76 35 300 97 267 416 197
173,99 262 320 738 585 346 708 627 715 392
174,154 298 162 863 206 271 1236 230 1148 232
175,151 80 213 371 82 362 282 308 704 172
177,27 42 145 80 220 122 191 136 174 157
178,101 56 97 81 161 104 168 144 18 224
181,125 121 67 512 1019 36 891 164 933 70
182,17 27 28 42 47 37 11 145 277 122
183,229 67 177 134 135 278 209 183 256 52
184,27 37 42 50 47 145 95 102 220 122
185,347 388 329 408 292 46 353 630 316 696
187,17 259 13 42 126 254 584 414 399 139
188,85 102 205 263 108 106 300 197 63 416
189,38 179 34 94 67 255 393 135 207 211
191,262 40 31 392 108 183 132 738 263 1342
192,154 298 83 141 170 193 212 228 163 301
193,516 107 286 130 723 222 196 264 74 359
194,81 51 125 88 121 131 78 69 75 217
196,121 130 107 516 186 18 482 286 264 222
197,97 81 152 100 10 75 49 147 1111 615
198,36 161 354 523 515 257 403 506 337 785
199,49 34 94 99 143 79 185 542 164 225
200,75 10 9 61 30 95 36 17 27 12
201,80 174 157 141 170 74 417 193 83 132
202,96 94 59 324 89 40 282 31 66 308
203,59 75 84 36 65 20 7 160 259 186
205,65 72 135 177 213 116 238 19 97 278
206,229 52 134 1211 834 597 189 108 127 183
207,67 34 94 135 238 199 278 250 235 262
208,17 31 41 73 80 43 82 157 89 64
210,126 399 433 582 293 321 275 340 287 111
211,203 154 214 211 135 177 358 603 230 278
212,93 81 298 203 188 211 214 162 271 206
215,88 131 217 107 59 798 162 206 806 192
216,160 414 584 536 648 999 956 1001 1233 1350
217,35 56 168 144 184 240 310 319 382 258
218,99 88 13 43 109 262 135 130 177 238
219,88 13 107 229 217 43 215 365 180 117
220,67 59 135 177 238 160 278 199 250 106
221,62 72 106 183 108 127 206 75 647 164
223,48 75 261 347 388 292 408 103 353 170
225,67 135 238 278 199 250 541 395 404 481
226,51 13 106 68 43 105 54 114 131 728
227,77 103 115 74 83 170 116 141 134 212
228,110 75 106 61 183 105 118 151 256 49
229,36 103 170 83 49 228 193 134 279 260
230,87 30 39 179 178 202 401 106 26 108
231,17 42 69 107 179 202 50 180 475 215
232,65 62 38 39 40 31 41 19 70 132
233,72 96 182 208 70 324 344 132 134 169
234,101 354 161 523 515 222 28 403 68 221
235,43 40 58 55 51 64 98 198 52 107
236,77 97 746 134 1070 7 279 152 150 948
237,266 125 52 179 72 834 255 396 401 121
238,80 174 157 456 793 213 226 111 74 210
239,80 13 5 95 174 157 43 220 64 82
240,126 13 399 433 293 242 275 467 313 430
241,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
