user_id,item_list
1,101 36 506 403 123 515 694 1546 254 52
2,1095 47 50 28 12 1522 11 656 359 102
3,59 857 239 648 1281 4252 2172 259 536 2748
4,28 249 50 314 254 139 171 146 639 7
5,1570 77 131 170 5138 471 1511 766 1220 270
6,886 9 35 88 874 168 395 104 14 141
8,210 443 722 600 451 480 3916 95 80 1130
9,9018 2821 17799 10108 6415 4802 2282 20151 4535 21322
10,1446 1816 561 1668 2617 2565 2423 3905 1767 3721
11,40 31 58 67 955 93 188 185 514 34
12,2582 4704 329 2242 408 261 2781 325 1328 1090
13,1316 2403 11016 10234 11747 11174 1875 11048 9817 9813
14,1050 297 1244 90 164 571 263 2909 345 2671
15,236 308 6957 1107 707 388 983 653 220 13250
16,7 617 29 9752 946 1463 1692 1346 3198 54
17,19 43 80 11 98 44 50 16 57 47
18,332 255 766 179 192 2 973 3226 596 1099
19,3571 252 154 764 636 9442 8473 8044 9482 2376
20,313 467 376 573 279 134 129 242 192 10
21,152 405 1111 786 873 2 458 189 615 172
23,1279 2295 754 1290 3351 82 236 983 6111 89
24,4937 18934 2247 13156 13803 8516 3852 22124 6326 15801
25,1309 107 485 18 51 227 551 137 183 290
26,269 254 139 41 1256 1005 34 252 612 314
28,47 11 325 133 19 41 39 146 843 136
29,1555 28 516 627 77 4688 681 60 43 4121
30,17058 23 17056 57 15355 160 259 71 1259 98
32,379 1393 2316 2734 1986 18 418 2418 30 1946
33,1510 4904 435 264 11199 1807 8 1631 496 6937
34,434 888 1159 812 8930 567 10001 121 3602 3190
35,314 254 146 139 165 1079 996 3847 474 1081
36,181 16 4 183 202 2205 283 103 379 1578
38,101 161 11 710 28 1906 403 4360 354 287
39,1057 36 8 101 165 304 281 1 378 314
40,31 58 17 174 19 76 47 3 9 42
41,31 58 55 77 592 618 66 148 60 175
42,1310 5744 249 1369 329 252 308 293 829 299
43,238 149 15 36 372 1369 21 135 104 683
44,215 499 133 267 7 197 457 146 350 439
45,202 15 101 413 21 1206 4030 3177 1230 3417
46,2253 4116 4126 1505 228 322 394 74 1218 22
47,96 38 214 211 344 442 1635 154 85 232
48,28 332 17 296 47 27 7 6 1337 37
49,116 148 182 32 344 138 96 5 45 590
50,67 177 481 199 748 634 278 235 238 1043
51,238 428 625 42 678 919 11 28 4 566
52,94 438 498 178 146 1395 3049 2986 1120 262
53,3687 3970 859 6472 7075 4819 6471 720 6273 9043
54,19 2 238 174 278 8 157 769 112 135
55,5255 6617 13878 12798 6095 6941 6093 10578 7290 786
56,384 99 1198 1342 831 106 2531 933 116 3076
57,160 648 536 956 159 186 117 144 104 582
58,2404 101 3945 36 433 693 582 1546 308 699
59,4462 612 93 353 261 5051 1190 415 5821 4900
60,2 4 1 7 6 3 8 14 20 9
62,85 278 291 106 238 583 411 950 3575 221
63,1316 1668 624 3011 4042 978 4833 1051 34 80
64,41 36 5 379 524 3438 7128 3124 303 98
65,2 4 1 7 6 3 8 14 20 9
67,181 739 6203 111 23 122 445 205 1619 3039
68,281 96 138 324 546 1151 1994 344 743 178
69,25 14 371 16 1471 1372 95 22 46 33
70,67 614 413 135 2 709 631 177 1103 74
72,7169 9653 7454 8620 41 10901 10910 39 58 76
73,125 516 21 998 2660 10057 1728 580 332 4252
74,11 27 47 42 388 145 197 1004 815 37
75,19 56 184 9 1028 702 124 80 258 319
76,31 77 66 40 1124 2401 55 11626 1532 556
77,1903 7 285 771 600 722 216 443 682 778
78,546 155 7212 63 751 14083 281 939 913 27
79,138 208 344 66 85 146 1070 254 746 21
81,7600 2599 22 9404 135 8 77 664 705 66
82,55 76 49 181 3 33 4 23 542 65
83,1083 1214 1288 117 486 5 2237 805 837 510
84,583 411 41 905 31 1537 39 1497 76 2243
85,41 31 60 116 39 405 458 909 17 304
86,154 28 17 786 11 398 47 27 298 1326
88,346 99 1222 1089 11531 133 2725 139 318 60
89,138 154 324 433 12673 186 344 59 15015 12677
90,21 64 98 144 104 56 192 35 13 184
91,90 104 1406 82 168 915 884 258 184 1438
92,2988 147 9622 21223 471 14083 140 14 1225 829
93,95 220 1024 768 17 28 1044 537 532 50
94,28 11 42 498 51 1020 6 21 107 365
95,482 44 2456 16 4 2178 112 1842 339 2933
96,72 766 1264 617 1346 483 601 49 256 394
97,654 125 423 2364 923 910 1673 7604 1777 2114
98,7839 11765 8688 21 29 13600 7590 13494 17162 13001
99,96 138 64 57 204 511 356 995 877 527
100,313 99 764 636 1050 63 11 851 50 17
101,2314 82 837 754 1177 624 282 1290 526 1207
