user_id,item_list
1,977 515 101 403 1422 506 1481 318 694 1546
2,47 1095 50 28 11 12 136 277 37 145
3,59 259 584 1281 536 414 648 2748 956 4117
4,28 50 11 249 145 252 136 277 5 639
5,77 116 148 175 170 8260 131 265 309 549
6,886 88 9 16 546 168 81 107 1058 26
8,451 4 2 480 771 682 6 760 22 20
9,10108 15914 20151 21322 13452 8133 9777 3646 20199 21157
10,1816 1674 1411 3905 1446 1668 3721 2386 561 1767
11,40 58 31 627 1635 955 486 520 67 4
12,4704 2582 329 984 408 2150 261 799 262 1239
13,1316 1446 2403 809 11174 2198 39 41 55 3205
14,51 571 1050 10 345 28 14 217 17 1496
15,707 220 236 1107 6957 1440 837 624 754 1290
16,617 946 9752 1346 394 7 1463 14375 16997 54
17,43 44 57 98 16 198 80 52 109 19
18,179 617 332 766 255 813 192 1099 401 297
19,467 376 252 764 636 639 5903 8044 7337 1273
20,467 573 313 376 242 129 279 764 636 134
21,786 152 12 405 150 458 615 1111 1028 873
23,1279 2295 1290 754 3351 6111 9318 5362 1477 2611
24,3021 6144 1139 1577 1076 5703 1808 1942 8432 7719
25,758 14902 14899 14900 14897 14901 14903 14896 14904 14898
26,252 1788 40 41 318 1089 966 55 292 2021
28,27 39 41 55 47 50 843 58 11 325
29,28 627 17 47 50 27 681 77 145 116
30,23 57 12 160 259 71 98 43 9 91
32,379 1393 418 12332 1161 655 4104 1088 1609 2666
33,1510 95 11199 621 220 496 264 1807 1067 860
34,10215 365 845 6219 8015 1586 475 22346 19045 12796
35,996 1081 1079 4593 1824 3847 1939 133 318 139
36,202 3 107 217 108 6 254 16 318 139
38,101 4 7 2 14 8 24 108 38 161
39,77 304 134 378 736 437 593 279 254 265
40,31 58 76 17 47 42 145 3 2546 201
41,31 55 58 486 618 592 4 78 1 30
42,1369 5744 249 252 299 1310 11671 132 293 44
43,683 21 238 43 149 64 372 2996 455 278
44,350 996 563 843 171 554 325 1006 606 910
45,783 202 1230 413 95 4030 3177 621 220 429
46,360 1799 2253 4126 3576 5625 322 4116 7581 12810
47,96 344 1635 514 262 645 15 188 4 25
48,28 17 47 27 37 42 145 136 54 46
49,116 148 66 309 593 134 304 736 948 265
50,177 67 238 634 481 404 199 748 781 4
51,238 919 428 625 678 1213 1857 1014 1891 250
52,94 133 99 254 146 314 269 2177 7926 1676
53,3970 6472 6471 9043 4819 5730 18028 13735 17934 3009
54,2 19 238 174 30 74 110 278 164 157
55,18909 15274 13878 3103 14902 14899 14900 14901 14897 14903
56,99 116 2531 66 384 60 4963 148 262 831
57,160 648 536 956 104 144 168 149 184 240
58,2404 2367 7867 3945 433 13965 582 101 308 869
59,4462 4352 4900 5051 5821 1845 2118 3842 214 1866
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,411 583 291 841 3059 4556 6984 238 2473 5503
63,1316 1668 809 80 4833 4559 174 65 3011 4042
64,41 76 550 7481 5564 7128 524 1758 6260 5360
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,739 13 23 243 871 181 6203 12 2 91
68,138 96 324 344 716 598 365 281 81 1994
69,22 95 16 26 4 103 6 2 220 1372
70,74 2 631 33 24 934 67 44 2332 5433
72,7454 7169 39 41 8620 10865 7170 9653 58 76
73,21 9114 112 69 2 3 125 516 13684 154
74,27 50 47 11 42 4 5 37 2 145
75,184 240 56 803 465 570 389 2574 537 319
76,40 31 55 76 77 66 2637 4539 1534 2401
77,6 600 2 46 18 682 722 131 7 51
78,9404 546 199 131 88 81 1152 4099 155 1625
79,138 208 314 2025 2085 146 324 254 32 318
81,705 664 2599 148 77 60 66 175 164 3541
82,55 76 486 3 181 342 143 49 78 33
83,342 1108 1083 1214 1288 805 1290 117 2237 5
84,583 905 411 1497 2243 4828 1537 1960 1722 1443
85,1674 39 41 31 1668 1618 76 116 1767 66
86,28 17 27 47 11 786 42 145 37 3132
88,346 1089 1338 2150 1222 963 318 34 99 11531
89,138 324 344 15015 15014 18467 18468 16484 12673 12672
90,144 104 56 64 184 373 35 382 13 224
91,915 1438 884 1392 1406 1 82 6 372 90
92,21223 14083 9404 18483 20873 9078 21573 13455 13714 7671
93,1024 326 768 95 220 860 28 17 50 27
94,28 42 11 37 145 136 277 365 51 131
95,44 75 32 4 1842 16 339 112 1 2
96,766 617 1346 946 393 256 394 1582 229 14902
97,654 7604 2593 453 11114 8192 1218 3504 5431 5186
98,8688 7839 11765 13494 13600 15980 17162 12123 79 112
99,138 344 96 64 57 32 511 204 995 576
100,313 764 636 2293 94 99 18 15 2 30
101,1440 2314 754 837 1177 624 1290 343 1370 1179
102,5725 6749 5724 7396 6198 2904 7056 3208 2958 2492
103,901 1422 1481 13 155 694 2326 43 98 97
104,299 252 119 23 1146 18 10 54 90 639
105,9257 14900 14902 14898 14899 14896 14894 14901 14903 14897
107,39 55 58 467 313 430 376 764 573 486
108,585 2013 689 182 208 344 32 1960 708 94
109,1 824 1147 4 745 2 1502 14 775 564
110,55 58 76 2416 755 770 625 2913 2219 919
111,95 59 584 536 414 220 648 956 999 35
112,2603 365 3692 498 215 1365 105 264 1120 88
113,168 224 184 104 372 310 240 56 570 149
114,17 50 27 37 42 145 582 1564 136 111
115,1511 44 4 16 263 1 6 108 75 7
116,15 101 161 354 63 162 9422 22253 14900 14899
117,88 1927 87 217 131 107 81 339 813 401
118,18 112 283 759 1119 13914 677 276 820 950
119,596 813 179 1433 102 197 300 416 1099 725
121,2886 3867 4049 3134 11601 3659 4698 3335 2476 2883
122,3134 5298 3659 28 17 27 4051 39 154 40
123,663 330 193 251 8 194 370 16 266 151
124,346 8112 9878 583 5985 11524 12468 2150 1786 10818
126,8755 6026 7522 766 617 625 428 6027 5585 717
127,618 40 39 41 55 828 76 624 2 27
128,42 28 50 11 145 37 277 814 9266 5
129,1041 40 31 585 58 76 1722 2013 1443 1960
130,831 2446 116 77 148 7732 1346 948 175 14981
131,41 55 31 6967 8912 198 13 4 486 143
132,314 171 133 335 474 254 563 269 843 1754
134,22 4 399 65 80 2 56 174 95 73
135,15 891 4 446 763 115 73 132 566 1390
136,9766 8740 4 2 39 31 40 41 1 8683
137,467 19 157 275 313 430 129 680 376 340
138,28 11 54 50 47 27 17 42 363 1670
139,31 58 76 56 3 228 33 144 288 310
140,16 4 44 6 24 14 7 25 52 28
141,978 624 7 8 39 31 1440 5 14 40
142,94 34 154 96 202 182 114 138 553 48
143,1573 2724 5371 33 11 3961 28 48 5569 65
144,35 168 144 9 224 149 184 240 310 319
145,56 144 408 16 35 292 184 224 122 240
146,1450 520 1978 603 358 496 1855 401 85 3025
147,6 2 14 1 22 48 33 74 44 84
148,1817 1442 2786 1898 19958 14900 14898 14901 14903 14902
149,46 19258 70 1 4 2 244 122 14 11565
151,716 2610 1893 997 1067 1405 281 1625 1448 621
152,326 389 906 220 2 159 880 886 1024 45
153,17 27 42 37 145 136 363 277 122 111
154,55 58 76 1083 486 1214 1288 546 3 1058
156,28 42 11 37 145 136 578 277 722 19
157,7027 6178 6197 6427 5724 6725 6721 7395 8114 7056
158,19 1 33 35 157 20 65 14 26 103
160,1470 802 427 73 33 529 1 2503 6 19
163,1098 44 343 4 89 16 2170 282 1 308
164,44 74 2599 519 61 266 4 16 79 4483
