user_id,item_list
1,21353 19065 13596 12943 101 11984 403 3729 20534 123
2,1095 7187 19483 20874 2 7049 18281 17089 20248 10732
3,8964 6834 20002 4252 8429 16451 12539 17001 9915 14825
4,17 28 20154 10970 50 21144 20534 136 15068 5
5,22057 1570 17313 5226 10608 19481 5138 1220 21092 14149
6,17599 7404 17153 17111 21595 8 7417 7468 7 35
8,11168 443 19098 722 1683 1155 16776 16413 6477 600
9,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
10,20367 1816 1668 1286 1446 3905 1767 11374 18151 4267
11,31 40 58 2 627 4 52 18640 7 9649
12,5337 4704 15109 2582 20466 11689 16291 10119 21358 13512
13,16486 6558 1618 11016 8209 12875 2403 12372 9813 11178
14,18048 16891 12021 19254 15956 17442 21697 17689 16817 13730
15,22223 14594 22156 14645 9429 3171 1107 28 7834 1274
16,18320 6192 19974 3678 1585 19603 13075 9752 2361 2001
17,43 2 5 98 198 44 8949 16 17 57
18,13196 12070 12943 15216 15708 7334 18704 17500 14486 15704
19,13411 764 5711 252 636 21085 1273 3571 5143 928
20,9299 19708 16813 467 15545 20445 573 376 9820 313
21,19188 20275 152 405 13498 15665 18056 15563 22006 14138
23,8444 14092 6066 6111 1279 2295 8017 1990 4945 9318
24,3279 21840 15801 21332 16882 18473 16978 14201 13156 17156
25,17989 10011 18088 11929 15097 20606 8482 13114 1309 10569
26,19495 17283 139 254 2486 19950 799 11646 20100 15160
28,19 47 1 11 33 5 3 843 14 136
29,11677 11499 4688 20952 15536 21267 13792 15708 10902 8155
30,15517 14106 17056 21010 23 20945 10971 17058 7539 12028
32,20821 5135 4065 20834 21588 20176 18989 11962 9013 17242
33,16817 12094 17594 18606 21989 10038 18792 11199 19152 16597
34,16735 19994 19528 19870 19592 17462 8917 15993 11451 17659
35,16584 3847 16289 16153 20420 1824 318 314 10292 15810
36,12905 2 21697 4 3 22101 16970 4771 17784 19152
