user_id,item_list
1,36 101 506 354 123 403 515 694 254 1422
2,1095 4 656 12 42 1522 28 47 11 3176
3,59 4252 259 584 414 956 319 648 536 78
4,28 47 50 7 252 249 2 612 639 379
5,1570 5138 7033 1511 274 766 8 1433 131 238
6,184 88 692 35 874 9 886 168 104 14
8,210 480 451 1444 600 3916 1130 1040 443 1749
9,2821 3071 16581 6450 7056 18119 17383 6197 18098 20150
10,1816 1382 2423 2617 561 2565 1411 1446 1668 1767
11,40 31 58 627 520 514 76 4 67 323
12,2582 4839 4704 5332 5527 2242 94 2781 329 77
13,1316 1618 11016 12372 11048 11747 5996 9817 2403 9813
14,1050 571 1496 27 930 1244 632 2909 90 567
15,236 308 707 837 1107 220 624 983 42 2120
16,7 29 766 11697 18320 10871 617 8175 6192 6792
17,4 16 19 11 80 43 17 44 47 50
18,2 1099 179 766 255 3226 2135 192 617 596
19,764 252 8473 3571 5903 636 154 10660 8044 2376
20,467 313 129 376 242 573 279 134 562 801
21,152 405 786 7987 2 442 10 12982 4786 125
23,1186 1279 2295 6111 82 1207 10348 14092 9318 308
24,3086 596 1193 6853 8516 7633 9911 5922 14900 14898
25,51 485 14901 14898 14899 14896 14900 14902 14894 14903
26,139 254 269 15 314 292 1005 612 1313 1328
28,146 28 47 133 11 325 41 39 139 171
29,28 17 47 1555 3719 50 627 27 5420 4508
30,17058 21010 17056 12028 4966 15355 160 23 3567 259
32,379 1393 550 418 1766 14904 14902 14903 14889 14905
33,1510 1807 264 4 571 496 8 435 326 95
34,812 10001 888 434 8934 17462 9032 1159 51 13180
35,146 254 139 314 269 316 3847 165 1939 474
36,16 1 4 181 4901 165 269 146 1578 3870
38,15 5843 4360 11 1906 34 28 94 7 753
39,879 60 77 116 36 8 175 101 146 281
40,40 31 9 58 17 47 76 27 149 144
41,31 55 58 77 618 592 60 148 66 175
42,5744 1310 249 4013 252 3325 11671 13522 1372 329
43,149 238 8 21 104 168 2996 4 144 64
44,215 499 197 133 139 102 146 10690 53 2712
45,213 202 15 10 101 21 36 21989 2997 662
46,407 4116 1505 1917 1218 2253 74 2397 394 21763
47,38 214 96 211 32 94 34 344 323 442
48,28 17 332 47 27 42 7 6 3554 106
49,60 116 4 148 32 214 4957 182 96 10
50,67 177 278 748 481 634 14902 14900 14901 14898
51,238 761 428 717 1529 688 28 11 919 4
52,94 133 262 178 146 139 498 5993 3049 1395
53,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
54,19 238 2 278 769 8 174 600 157 722
55,13878 5255 6095 6617 270 332 786 1670 12491 6286
56,262 384 1198 99 1342 106 167 339 2963 116
57,160 648 956 56 117 144 2315 536 3004 2678
58,8260 101 2404 2367 2540 7866 161 433 582 693
59,415 261 93 38 1190 4462 1551 353 1 612
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,278 85 67 583 411 178 6984 3575 6180 2669
63,1316 1668 809 94 34 1051 624 978 99 80
64,15 5363 41 39 379 36 43 3438 1123 58
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,6203 181 2763 4544 111 2084 122 4299 410 4799
