user_id,item_list
1,101 36 403 506 694 1546 52 592 123 618
2,1095 28 47 50 102 12 4 5 359 300
3,59 956 536 857 750 239 2172 435 1231 3849
4,28 249 50 314 171 136 145 254 146 639
5,77 170 1570 95 1511 471 131 8 116 278
6,886 104 88 9 168 35 570 663 56 481
8,210 451 480 95 443 600 722 760 1155 778
9,115 3504 996 835 8133 8114 2028 6429 15914 6178
10,1816 561 1446 1668 2565 2617 2423 50 1767 67
11,31 40 58 955 67 34 99 32 4 93
12,4704 2582 408 1090 329 353 108 325 261 843
13,1316 11174 41 2403 58 39 9813 430 467 11016
14,1050 90 202 871 164 28 345 37 1244 1365
15,236 308 388 220 82 1107 6957 28 1440 1290
16,7 617 29 3 1346 1463 54 56 1692 338
17,80 43 11 50 98 17 27 44 157 57
18,332 255 766 2 3226 596 192 206 617 1013
19,154 252 764 636 236 3571 8473 1446 1207 936
20,467 573 313 376 242 279 134 129 66 192
21,152 405 873 786 1111 484 1 580 5 13
23,1279 2295 754 1290 308 1662 8444 6111 236 1477
24,735 167 1193 2303 1577 179 2631 8516 271 3411
25,485 51 137 158 6105 460 1164 669 574 4089
26,41 139 34 15 292 252 269 1374 1071 99
28,47 11 19 41 139 325 39 136 133 843
29,627 28 516 202 77 88 125 681 60 2150
30,23 57 17058 71 160 98 17056 4 259 77
32,379 51 1408 2316 1986 478 21 50 255 3172
33,1510 264 205 4904 161 33 1629 95 6937 1653
34,567 118 812 888 849 90 81 695 99 434
35,314 254 146 139 996 1081 474 1079 1824 3847
36,4 181 202 318 103 16 194 163 314 283
38,101 11 7 287 28 354 237 1022 262 5
39,304 101 318 8 36 29 6 1057 161 314
40,31 17 58 19 76 174 47 9 20 260
41,31 55 58 77 592 618 66 148 60 1083
42,249 5744 252 1310 132 275 829 89 1369 763
43,149 541 36 238 21 15 177 144 683 135
44,267 499 563 133 15 289 215 439 447 457
45,202 15 783 1230 140 101 21 1206 2293 95
46,661 4116 456 189 2253 2332 596 322 290 33
47,96 38 214 344 211 154 442 1635 262 230
48,28 332 47 17 37 145 27 7 106 6
49,148 116 344 138 182 32 304 45 96 5
50,199 67 481 177 634 143 404 241 1753 235
51,428 42 238 28 678 4 919 625 11 50
52,94 262 318 178 139 146 101 254 498 438
53,7516 3970 7075 720 6471 5338 7163 6472 8168 10370
54,19 174 278 238 769 157 135 2 6 722
55,20 5255 6941 144 6617 2066 1039 518 4430 2737
56,99 1198 384 203 60 1342 1 116 66 214
57,160 956 186 536 117 399 648 168 104 582
58,101 2404 3945 433 36 582 308 161 893 699
59,1190 93 353 5821 5051 38 214 612 1551 4462
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,411 291 278 85 67 238 135 4556 221 2473
63,1316 1668 3011 65 978 624 34 540 80 1051
64,41 36 379 550 5 303 109 161 97 43
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,181 739 23 122 3039 111 13 17 205 244
68,96 138 281 324 1151 344 546 481 250 743
69,25 95 14 4 371 1471 22 1372 597 94
70,67 541 1331 413 631 279 33 65 1 1470
72,41 7454 39 7169 58 8620 9653 10910 76 10901
73,125 435 1482 21 112 580 423 998 1728 1112
74,27 11 47 42 388 815 2579 1897 1434 1004
75,319 56 19 258 184 80 803 1 450 9
76,77 31 40 55 547 66 1477 390 76 1604
77,722 682 771 155 600 8 778 1683 250 67
78,546 42 177 35 36 101 88 751 155 913
79,138 208 66 85 344 254 1070 77 15 146
81,705 664 8 77 135 825 48 66 148 103
82,55 76 49 33 181 20 65 23 71 542
83,1083 1214 117 2237 754 1288 5 486 308 1290
84,411 31 583 41 39 76 905 1497 1537 643
85,41 31 116 60 39 17 428 405 42 22
86,154 28 17 786 11 102 47 1326 298 580
88,346 99 318 1222 1089 60 563 56 262 2725
89,138 154 433 324 186 344 35 259 59 15014
90,144 21 109 200 184 56 13 64 98 192
91,82 1406 90 35 915 104 187 310 258 144
92,2988 189 516 49 998 629 3541 11339 1723 21223
93,95 768 174 1024 220 28 50 901 496 537
94,28 42 11 6 51 136 87 498 1020 517
95,44 482 494 4 173 3294 112 979 16 586
96,766 1264 483 72 617 1346 601 1332 256 1780
97,654 923 423 7604 7884 6 214 125 2114 1220
98,8688 29 32 11765 474 247 286 380 716 741
99,138 96 57 64 511 995 21 356 877 204
100,313 99 764 636 1050 11 6 50 17 262
101,82 282 754 837 2314 1477 1290 526 343 1207
102,2904 67 2284 2283 2843 2958 5724 1795 3208 15
103,1481 694 155 97 901 53 57 98 8 1209
104,119 252 299 23 71 101 86 9 672 75
105,141 106 271 8752 18668 329 19078 190 4529 6820
107,39 55 313 51 467 764 573 16 430 96
108,32 94 182 208 147 298 34 1 2075 689
109,745 131 124 87 1975 1 1147 15 1868 638
110,58 82 76 428 496 755 1155 678 390 2416
111,59 95 956 536 414 371 35 1350 648 56
112,3692 365 105 498 403 823 81 2218 69 1629
113,9 104 56 168 149 1391 510 913 372 240
114,17 5 50 27 37 433 102 293 582 2
115,1511 121 81 1220 44 2700 4 1040 179 29
116,15 101 506 1546 8910 15497 9754 13221 19516 21001
117,88 339 87 1010 217 1927 158 176 2643 4894
118,7 112 85 2 298 3 490 30 791 183
119,102 596 179 1433 300 7 197 20 813 1099
121,2886 2729 651 3586 151 6468 3659 2575 3134 6784
122,28 40 27 17 111 1207 55 182 347 3659
123,33 8 103 65 20 16 73 406 266 663
124,346 2590 94 45 715 34 257 2127 3520 96
126,172 131 766 428 8 617 79 6276 250 67
127,618 40 42 624 55 50 39 41 828 11
128,42 28 50 11 36 80 814 857 277 5
129,31 40 147 585 58 533 98 1960 300 2013
130,148 593 175 116 736 378 471 644 831 207
131,55 198 117 939 81 50 109 510 29 576
132,843 316 254 474 133 1821 335 1754 139 606
134,186 4 95 122 77 56 65 80 144 174
135,15 22 132 446 763 194 566 73 101 891
136,143 8683 8740 1143 2389 6552 3471 1877 2185 2754
137,157 313 143 627 275 38 430 467 1542 340
138,117 11 120 28 4922 413 54 500 363 1670
139,31 56 58 144 170 310 76 103 369 258
140,25 4 95 16 44 597 11 28 37 215
141,624 5 1440 253 31 43 39 126 53 742
142,94 40 41 58 154 55 39 264 202 96
143,28 33 1573 480 830 569 451 17 691 1749
144,35 133 144 9 318 168 184 254 171 139
145,144 16 56 28 8 47 149 42 408 122
146,85 93 120 496 603 38 51 1 230 2688
147,95 71 80 91 1 13 9 44 157 48
148,265 20 279 1442 1817 260 116 633 1666 16721
149,45 50 17 37 47 26 220 27 122 326
151,1207 182 621 95 1405 716 537 1067 936 997
152,85 45 80 389 886 320 159 326 66 906
153,17 27 37 42 145 136 2 91 111 363
154,58 55 80 1083 278 1214 76 546 135 1058
156,42 451 37 760 691 136 769 638 569 1147
157,17907 3071 17896 467 313 17895 99 7027 6197 573
158,19 33 1 35 103 250 65 20 157 95
160,134 427 2955 102 327 867 152 409 181 156
163,44 1098 2077 141 71 4 343 436 89 5
164,44 61 2599 339 4 72 1793 181 268 1
165,34 555 392 99 3537 3476 320 2832 2841 385
167,33 48 103 1 319 558 807 74 20 184
168,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
171,433 11 28 145 98 198 13 257 43 357
172,40 76 133 212 102 300 280 144 5 424
173,320 2013 262 2075 203 2106 585 1960 22 318
174,154 298 21 4031 106 27 36 287 603 60
175,390 163 8 2149 82 330 884 151 61 572
177,27 145 8 136 220 80 1 277 16 20
178,23 112 56 128 71 765 54 248 1232 1
181,1304 512 1899 144 2255 56 3602 3544 310 1321
182,27 28 11 42 5 145 12 277 363 91
183,229 9741 2015 177 435 133 270 125 2901 927
184,27 47 50 220 326 1 37 42 49 1209
185,901 2326 4 22 292 329 1737 890 80 171
187,17 399 28 139 11 136 45 165 201 244
188,85 2702 94 3407 808 3537 1032 2072 34 120
189,94 1198 4057 2582 5332 442 540 88 159 2543
191,2963 738 1172 39 2577 262 31 7413 55 76
192,154 1057 1352 134 105 472 298 22 17 718
193,33 2053 448 65 706 754 13 2023 83 123
194,21 131 812 87 51 109 15 2029 1301 1685
196,910 712 3750 509 1966 401 171 155 44 1054
197,467 242 152 430 873 471 270 573 615 938
