user_id,item_list
1,101 36 15 123 515 403 314 694 1422 1546
2,1095 47 50 12 11 196 28 1522 949 656
3,59 511 1281 239 857 4252 648 2172 259 536
4,11 28 50 249 252 136 146 128 277 1
5,77 170 471 72 131 270 215 1220 1570 95
6,886 9 88 35 168 874 104 450 141 184
8,210 451 480 3916 80 4 1094 771 2 591
9,10108 180 350 3646 8133 2350 20151 15914 21322 2821
10,1816 561 1411 1674 1668 3721 3905 1446 2386 1770
11,40 58 31 627 67 1635 52 93 514 520
12,4704 2582 329 261 1090 1328 325 408 587 984
13,1316 1446 809 2403 2198 1875 11174 3613 41 39
14,1050 571 202 297 271 180 2909 345 28 1496
15,236 1107 308 707 220 89 6957 983 7926 842
16,7 9752 617 946 1569 1346 3198 1463 1692 11202
17,43 19 80 98 57 44 16 157 4 198
18,332 255 766 179 284 617 192 580 1112 1099
19,467 376 252 5903 764 236 154 3571 7337 636
20,573 467 279 313 134 242 376 129 267 1004
21,12 786 528 189 152 150 164 24 92 405
23,1279 2295 754 282 82 1370 1290 236 9318 479
24,3021 596 179 1076 1942 8432 675 567 284 1139
25,14896 14893 14891 14908 14889 14888 14892 14890 14906 14897
26,318 252 254 1256 1089 1005 1788 966 353 269
28,27 325 47 11 50 146 39 41 843 139
29,28 627 43 494 670 17 77 60 1555 681
30,23 57 160 259 17056 15355 71 98 43 91
32,379 1393 418 1161 1609 655 30 121 12332 12
33,1510 435 264 496 1415 8 11199 61 1631 95
34,888 87 10215 475 2 6219 2359 178 121 1586
35,133 1939 4593 254 3847 139 318 1079 996 1081
36,16 379 202 569 183 283 490 243 254 1393
38,108 11 101 2 7 1022 4360 287 28 439
39,77 15 304 8 101 378 108 281 254 13
40,31 17 58 19 47 76 2546 174 201 1
41,31 55 58 605 618 592 486 1083 112 1288
42,1310 1369 5744 829 249 293 252 3325 11671 29
43,149 21 8 683 372 168 238 2996 184 366
44,499 457 171 267 197 350 15 325 2954 139
45,202 101 36 4030 3177 15 413 80 1230 922
46,360 1505 2253 4126 4116 1799 74 394 228 322
47,96 344 188 514 38 214 1635 93 203 442
48,28 17 332 47 7 27 296 3282 37 2
49,66 116 148 5 214 45 746 10 304 309
50,177 67 481 748 404 634 143 199 235 2
51,238 428 8 625 678 919 11 27 1213 613
52,178 94 2177 438 99 1676 146 10 131 498
53,6472 3970 859 18028 720 6471 13735 9043 4819 7516
54,19 238 174 2 8 278 157 112 48 135
55,15274 18909 13878 3103 733 1571 3917 956 1255 3007
