user_id,item_list
1,657 18960 4861 463 13760 423 8633 5691 2023 15690
2,2 29 3176 47 3 45 581 949 508 81
3,1097 357 259 1617 307 561 4605 2935 180 1989
4,28 11 5 1 249 129 47 145 64 50
5,3338 215 366 6 25 2 1559 351 923 460
6,2786 4025 137 278 1801 1245 16516 16405 18603 864
8,2635 1683 17 2 28 1872 564 124 6114 29
9,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
10,212 12 498 66 50 18 1668 326 1185 967
11,94 29 16 36 138 921 41 72 34 9
12,681 5337 133 2 36 53 4 34 171 799
13,11015 2906 11016 53 5242 32 4405 10234 11747 910
14,263 2096 106 199 1442 25 5278 217 930 84
15,191 821 410 1016 47 28 389 1683 682 769
16,6762 147 532 1291 381 156 4980 8669 21751 1170
17,7144 21661 748 456 395 483 7285 6734 106 15722
18,292 1982 12943 6353 3074 189 11890 712 1252 440
19,242 376 764 636 32 81 236 3571 107 252
20,9299 11890 3074 712 6353 888 113 1471 99 19203
21,20275 4688 85 562 712 1533 713 5904 1811 448
23,1030 282 236 92 2314 1682 547 1279 2611 1421
24,3279 7150 8432 1942 3710 8765 8480 21332 20803 256
25,4 2264 774 359 1115 4069 17989 2078 822 522
26,171 2 133 139 347 254 1551 314 269 1374
28,12 19 50 33 47 139 44 17 9 27
29,1764 10902 1555 6644 4190 3562 2376 3381 17549 4508
30,82 5842 2690 7502 47 2584 4567 5453 3213 3
32,7160 360 1283 20821 4826 1065 6945 812 12312 14905
33,288 1115 183 154 7207 21048 10396 21063 2720 21010
34,178 11471 159 21729 1470 6013 6033 8950 22179 11451
35,254 165 314 1132 996 1424 139 878 1081 350
36,4 2 3 15 107 6 44 26 110 88
38,57 79 216 908 4887 173 1316 7644 1476 3168
39,222 84 53 19 36 3 75 83 8 598
40,17 1 39 9 3 47 76 24 4 33
41,58 31 39 20 55 8 3 6 349 49
42,70 22 18 564 8264 797 30 362 106 36
43,722 578 23 13 8886 1767 50 5546 303 2578
44,21 6961 1488 271 94 29 30 14184 44 300
45,317 19 84 22 502 783 14 3108 166 15925
46,11317 614 4871 4731 2641 5030 8170 739 8332 12654
