user_id,item_list
1,36 3 101 25 10 5 29 139 54 112
2,28 11 3 5 47 6 50 37 4 15
3,9 35 56 2 59 104 144 168 10 224
4,17 28 27 6 50 14 145 7 136 122
5,51 4 77 88 20 116 87 175 81 148
6,8 6 38 44 9 12 35 24 15 7
8,15 4 8 38 80 20 17 26 157 6
9,7 30 108 15 106 29 6 88 21 87
10,28 17 47 37 27 8 42 50 6 25
11,44 4 31 40 6 52 41 67 36 15
12,33 6 22 139 53 261 9 48 262 65
13,32 40 41 96 39 138 34 7 76 58
14,10 21 51 29 14 88 20 85 107 131
15,5 17 27 28 42 35 50 47 45 56
16,7 29 51 2 10 81 32 13 88 87
17,29 5 43 21 109 98 12 25 57 16
18,4 88 179 81 62 6 72 51 107 202
19,32 129 36 4 101 242 16 119 138 96
20,66 60 77 134 116 148 175 83 279 115
21,1 5 9 12 13 35 23 60 29 4
23,82 89 282 10 236 308 5 837 124 547
24,1 4 6 88 51 202 72 179 20 81
25,51 87 88 85 29 81 21 7 107 131
26,139 133 254 261 316 269 318 292 15 165
28,11 28 27 3 39 41 47 5 37 55
29,17 28 27 42 47 32 34 96 77 50
30,9 10 3 1 12 16 21 29 23 43
32,51 21 29 87 10 15 85 107 81 88
33,25 8 7 16 29 44 13 9 5 21
34,51 88 81 107 87 179 72 131 202 26
35,139 254 146 165 318 314 316 350 563 325
36,3 10 16 6 15 30 44 29 36 4
38,1 7 14 18 30 90 38 101 24 34
39,116 1 139 12 254 53 428 165 134 318
40,11 31 17 3 58 26 19 47 42 76
41,31 55 58 3 4 342 486 68 112 143
42,14 3 30 7 10 4 1 18 15 25
43,36 15 16 25 29 44 21 9 8 13
44,7 6 30 14 85 54 108 51 1 107
45,2 21 85 14 51 18 38 1 154 7
46,20 14 164 4 74 19 16 132 189 46
47,96 34 208 85 154 15 344 94 29 4
48,17 28 50 47 27 37 42 6 14 145
49,60 8 116 148 175 9 10 4 5 44
50,16 6 4 25 2 8 5 10 9 7
51,19 8 11 28 42 44 14 4 60 38
52,133 139 254 146 29 269 318 21 51 314
53,15 36 1 3 133 419 101 165 859 269
54,6 2 30 8 4 45 46 25 18 19
55,139 254 2 171 133 269 165 318 146 261
56,6 14 34 99 66 60 46 346 106 392
