user_id,item_list
1,101 36 506 34 3 1 403 94 4 8
2,3 4 10 2 30 33 20 14 1 26
3,857 239 375 750 970 1185 4623 986 511 308
4,28 47 50 42 3 9 1 7 4 2
5,88 4 6 8 44 51 162 87 14 135
6,4 2 1 14 6 7 3 33 51 8
8,210 19 600 95 722 124 174 778 4 42
9,3071 996 12741 20151 10813 13302 7395 6524 8114 6721
10,39 28 76 41 17 40 50 7 55 2
11,31 4 40 41 2 7 22 32 19 76
12,94 261 171 139 408 4 292 146 329 1
13,1446 1411 41 1316 39 58 55 40 11048 76
14,14 132 37 7 2 6 1 28 30 50
15,35 220 4 22 388 80 2 1 56 19
16,29 7 946 3 10 14 617 1346 88 229
17,19 4 1 2 6 44 80 3 27 11
18,179 596 255 88 813 1099 617 202 766 107
19,242 467 119 764 252 154 636 101 99 337
20,4 192 279 20 134 228 88 8 44 72
21,152 405 1111 13 5 458 873 35 484 136
23,82 1279 282 236 2295 89 754 837 547 308
24,3021 1193 88 393 167 5100 6431 339 512 2443
25,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
26,171 139 261 408 350 1089 146 1132 314 441
28,11 9 28 2 22 50 3 20 6 19
29,28 47 17 27 50 1 42 145 43 2
30,4 9 22 33 23 19 1 12 31 3
32,121 379 418 1335 21 650 126 71 2734 186
33,10 40 159 1807 76 362 29 223 95 533
34,567 888 99 206 34 8 108 85 87 1
35,318 139 254 146 314 474 996 350 563 316
36,4 3 6 8 14 20 48 51 19 22
38,6 14 101 4 108 2 3 161 46 34
39,304 1 8 4 3 32 2 31 83 134
40,17 1 9 3 27 4 47 14 42 19
41,41 31 58 55 76 4 33 1 143 20
42,2 3 1 6 7 11 4 42 9 47
43,149 104 168 35 372 8 9 4 184 64
44,215 72 759 6 1613 4 84 30 14 300
45,15 95 107 1 80 202 11 19 14 78
46,360 228 46 74 106 801 174 20 190 301
47,32 8 94 99 4 96 93 3 38 2
48,28 37 47 17 27 7 145 6 2 42
49,60 77 32 4 182 116 1 96 2 8
50,250 199 748 135 481 179 4 278 70 177
51,4 1 2 67 6 22 80 19 238 25
52,94 34 262 381 346 127 179 88 715 29
53,3970 910 1195 2288 419 10370 7883 5338 1338 896
54,19 1 2 4 6 8 33 48 20 174
55,5255 12798 6941 13878 6617 6095 5661 21154 11251 14991
56,99 4 106 6 72 1 8 66 60 148
57,35 56 104 450 558 168 319 160 2 361
58,101 161 36 433 582 85 2367 2404 2540 7
59,261 1 329 612 38 353 415 347 994 93
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,106 950 67 278 1008 135 797 108 647 167
63,2 1 4 80 8 20 6 24 65 45
64,41 55 2 3 7 5 18 1 379 161
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,2 6 7 22 4 19 58 31 33 14
