user_id,item_list
1,34 3 36 99 32 94 2 10 29 101
2,2 10 51 15 4 3 6 69 81 1
3,2 4 1 6 59 9 7 15 3 14
4,5 2 9 7 3 1 4 47 45 10
5,106 88 6 87 4 51 15 14 215 90
6,7 2 4 6 11 1 14 26 30 51
8,11 37 17 2 28 47 59 50 14 9
9,15 2 4 1 6 3 7 59 36 9
10,7 2 10 3 15 4 1 5 6 18
11,7 4 2 31 16 10 32 15 41 40
12,133 171 254 314 318 139 269 146 720 165
13,15 129 101 39 34 36 41 76 313 3
14,6 106 4 14 87 90 88 26 1 107
15,5 2 31 3 39 41 1 4 23 33
16,7 15 2 4 6 51 1 88 3 87
17,2 4 1 7 19 45 6 3 33 14
18,6 4 15 2 1 14 7 106 88 87
19,34 94 99 101 182 32 39 76 208 41
20,4 6 2 1 8 3 15 14 20 7
21,2 4 7 1 3 6 15 9 10 8
23,15 82 89 282 10 5 59 39 293 41
24,4 6 2 15 1 7 3 8 14 38
25,2 4 1 15 6 7 3 14 9 59
26,171 139 261 419 720 408 350 254 269 441
28,5 9 31 45 33 2 22 3 19 35
29,15 7 2 3 4 10 36 6 29 51
30,9 4 3 1 7 17 45 33 11 19
32,7 15 2 18 59 10 6 4 3 117
33,2 4 1 7 6 3 15 14 9 11
34,15 4 6 2 7 1 26 36 14 3
35,254 139 314 318 146 165 316 350 720 261
36,11 4 6 17 3 25 8 14 19 45
38,7 2 4 6 51 3 10 21 88 29
39,4 3 8 34 31 2 32 134 53 40
40,14 4 1 19 17 46 38 45 7 26
41,31 41 5 4 55 58 76 33 10 13
42,7 2 3 15 10 4 31 39 1 5
43,2 4 1 6 7 14 11 3 9 19
44,6 4 2 7 15 14 18 1 87 59
45,2 7 6 4 15 59 1 18 11 14
46,4 6 14 1 2 38 46 106 70 26
47,99 94 4 8 15 72 32 3 179 51
48,2 14 6 37 1 4 59 7 17 28
49,4 3 8 34 2 7 32 16 99 15
50,4 2 6 1 8 7 3 14 15 25
51,4 1 2 6 238 24 19 67 73 84
52,15 36 7 34 101 2 21 4 6 85
53,4 15 2 1 6 127 34 3 36 101
54,4 2 1 6 11 19 45 17 8 28
55,2 4 1 6 15 59 14 7 38 3
56,99 72 4 241 88 483 401 207 339 6
57,37 11 124 17 28 2 104 56 50 47
58,101 59 36 10 340 18 82 282 7 89
59,9 56 35 261 104 415 353 186 292 2
60,2 4 1 15 6 7 3 14 9 59
62,6 4 106 15 14 1 2 26 90 87
63,4 3 2 31 1 33 39 8 40 41
64,89 10 7 166 158 82 36 18 282 59
65,2 4 1 15 6 7 3 14 9 59
67,4 2 6 7 14 8 26 25 15 16
68,4 15 6 72 99 7 87 34 8 81
69,4 2 14 6 19 38 20 8 46 35
70,177 6 67 14 1 70 135 446 132 24
72,15 59 2 9 82 5 10 7 186 89
73,15 7 2 4 36 3 6 1 59 21
74,2 4 9 45 19 6 5 35 11 14
75,14 296 288 59 11 210 28 46 56 184
76,5 31 39 9 23 76 82 282 40 2
77,4 6 1 11 7 37 26 19 17 38
78,6 7 2 11 14 4 107 1 30 37
79,4 34 3 8 15 99 2 66 94 1
81,4 8 1 6 2 20 67 24 14 44
82,3 2 4 33 39 45 9 40 13 7
83,5 31 39 3 9 41 40 76 7 55
84,4 2 8 3 20 33 6 66 60 115
85,31 39 41 5 2 76 58 4 9 7
86,2 6 11 59 4 1 14 7 18 37
88,133 34 254 318 314 139 146 269 66 77
89,2 10 11 17 59 3 89 37 47 15
90,4 2 7 3 15 6 1 8 16 25
91,2 4 9 5 7 17 11 6 45 19
92,2 4 6 1 15 7 14 3 59 26
93,2 14 1 37 6 17 4 28 50 47
94,51 6 4 7 87 107 15 2 106 81
95,4 2 6 1 3 16 25 75 88 44
96,4 6 1 2 8 15 88 14 72 106
97,4 6 2 1 15 14 7 8 3 38
98,15 4 2 3 7 1 6 36 8 34
99,7 10 3 15 39 31 2 41 76 32
100,15 10 3 29 51 36 32 2 21 85
101,5 89 82 282 343 39 41 31 10 23
102,34 15 99 101 36 133 171 859 262 419
103,2 4 1 6 11 7 14 17 19 37
104,10 3 2 31 39 41 4 76 23 40
105,2 4 1 15 6 7 3 14 9 59
107,7 3 4 2 16 15 25 96 6 34
108,88 15 34 4 51 7 72 179 202 8
109,2 11 7 59 6 18 37 1 4 14
110,5 9 2 23 3 76 13 33 12 17
111,2 1 4 17 19 35 5 56 27 11
112,15 51 7 87 88 18 81 85 21 36
113,11 59 37 2 17 28 47 18 7 50
114,5 2 17 9 37 27 1 28 4 89
115,4 6 2 7 1 14 26 15 25 3
116,15 7 10 3 2 34 29 21 32 51
117,4 34 99 15 6 8 72 88 2 1
118,7 2 15 10 3 4 6 51 1 21
119,4 6 2 1 8 15 7 3 88 14
121,15 59 2 9 1 36 3 4 101 7
122,124 5 59 89 82 17 253 343 9 117
123,4 2 1 6 8 3 14 20 19 33
124,94 34 262 346 715 36 101 1198 32 895
126,4 6 2 1 14 8 7 25 26 88
127,5 2 47 11 1 37 45 56 35 50
128,11 37 47 2 28 59 50 124 9 1
129,34 94 4 66 15 3 77 262 53 32
130,512 106 470 207 6 4 70 132 177 1321
131,7 2 51 4 15 1 18 81 30 14
132,139 254 133 171 165 9 31 269 2 4
134,4 2 14 80 73 9 17 6 65 56
