user_id,item_list
1,123 2481 9 527 4516 10169 3095 81 331 209
2,1095 2701 7284 5555 3565 10134 1618 4020 1316 7944
3,450 857 375 986 750 803 3004 4623 15487 12539
4,252 249 846 7927 5370 2336 6152 1819 1782 2464
5,1570 3198 2112 173 1512 1821 325 5666 331 5138
6,7404 787 886 874 175 258 2020 1394 1829 846
8,1742 196 4480 1094 438 3095 330 2122 1754 3497
9,1823 640 12940 982 1999 2282 16588 10958 811 6170
10,1382 1286 1816 2386 2617 561 1475 3721 11873 11842
11,603 214 466 98 331 596 1978 1635 211 413
12,5337 9221 2582 4704 3082 5332 13209 79 10955 5136
13,4573 11747 305 11174 1446 9712 1875 11016 1316 9817
14,11740 392 99 3675 3226 3240 1999 21697 748 24
15,6957 82 1315 697 556 9429 1107 308 1662 781
16,29 2361 10871 3678 6192 4990 1585 128 9542 3198
17,3024 14895 14903 14902 14901 14900 14899 14898 14897 14905
18,81 16283 332 8380 2733 14047 3967 16776 10383 10497
19,129 242 376 467 1645 329 3264 441 3571 3000
20,1248 10015 2869 15493 4336 7256 20675 16889 2982 9228
21,723 2694 522 20222 20221 4208 12608 13929 752 7960
23,1828 1682 1279 8444 936 2295 14092 8879 5211 10348
24,3279 6466 13803 3703 7652 11263 11974 3783 4488 2170
25,2264 3317 11675 4233 12614 10354 10569 20606 16265 4023
26,720 4458 6495 4185 9224 15112 8931 102 83 15
28,41 843 325 314 1965 2461 774 1867 3679 1824
29,4688 11499 517 1810 4765 1063 737 2370 9483 993
30,1195 896 18878 11960 6817 7539 10971 4918 3473 6186
32,471 379 808 4318 1393 4065 2734 6707 1609 7346
33,4904 1022 10564 1541 4580 8522 8347 2275 12309 900
34,658 19783 255 513 695 2449 280 19592 4949 2737
35,815 11711 1153 2113 1845 3804 3672 2486 6236 1834
36,21697 44 15059 24 156 748 8246 267 2218 1984
38,2758 691 14214 155 2467 578 690 15693 49 13718
39,198 1057 357 202 492 523 3224 377 2612 1005
40,21521 3911 3480 36 487 219 341 161 6916 2017
41,5460 6085 5984 4628 16862 5791 3554 10625 13138 8214
42,68 4013 54 5744 13268 2958 2585 1277 13522 2903
43,1036 10768 4541 1516 4107 10208 10927 11609 2705 4118
44,580 16540 176 262 1822 2705 2647 4516 4924 10882
45,815 65 205 1416 5770 438 11328 13789 13081 11920
46,4020 1063 1810 158 107 4937 8201 3422 7090 15386
47,2993 81 305 3248 498 3411 2345 3638 208 530
48,332 5887 1989 3198 12792 2827 12819 1348 2961 2594
49,960 2600 44 18 1829 8828 12145 59 6492 20684
50,12583 9050 3015 16942 14898 14899 14897 14900 14902 14894
51,3037 3973 6622 4214 7166 205 209 16731 19945 16024
52,1211 4094 153 8567 52 1367 271 1031 5921 83
53,955 1786 9043 3970 8745 4185 13682 4819 6267 18028
54,4131 14902 14899 14900 14897 14901 14903 14896 14904 14898
55,6286 786 1670 1731 3010 2712 17990 2045 2832 15203
56,1198 1342 3263 1128 5018 5283 2174 11381 18030 9691
57,1335 160 648 416 1557 17352 480 567 983 566
58,1667 4183 1560 10786 15886 172 10806 9124 4170 8079
59,2831 4352 686 653 1869 1190 1665 280 1052 436
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,695 108 1145 4054 12951 101 4516 2713 1221 8505
63,1051 624 978 1702 3944 2198 2325 2403 1668 4833
64,6260 6005 6522 5189 6006 7481 8238 7128 11069 6202
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,6274 901 727 18230 12207 27 12025 607 5509 28
