user_id,item_list
1,52 139 101 146 254 32 171 316 112 318
2,47 50 136 12 13 70 81 46 229 134
3,59 259 58 584 78 648 414 35 536 26
4,28 145 75 63 128 146 50 21 46 27
5,77 116 131 81 87 175 148 46 202 250
6,229 56 67 117 183 168 104 21 108 149
8,210 80 174 157 480 124 760 451 775 769
9,29 15 9 108 20 45 83 183 127 7
10,54 67 13 43 135 47 79 109 63 250
11,52 31 34 44 67 172 99 135 167 214
12,262 183 261 715 392 143 163 212 87 1342
13,467 313 430 376 573 41 119 76 249 252
14,107 365 202 115 156 41 125 106 90 180
15,45 191 220 37 82 326 63 389 282 308
16,54 29 7 107 199 70 80 76 87 42
17,43 57 98 198 109 23 75 356 65 348
18,101 21 106 164 49 168 102 192 24 297
19,129 242 467 119 376 252 764 636 83 37
20,134 279 103 83 44 30 61 143 79 72
21,12 17 13 152 75 136 35 23 18 405
23,82 89 282 308 236 14 837 390 547 63
24,51 4 108 83 1 183 36 60 170 177
25,87 88 206 18 81 24 127 258 271 227
26,139 261 133 78 318 254 353 165 35 316
28,27 47 28 146 39 261 325 139 58 133
29,60 116 37 77 175 59 148 50 309 183
30,23 43 57 64 71 198 98 91 109 149
32,87 21 54 59 78 68 28 15 85 19
33,61 70 68 205 74 156 133 64 8 107
34,81 75 202 51 68 29 39 72 365 87
35,139 254 165 146 318 314 316 474 350 996
36,49 108 70 107 75 127 222 254 71 359
38,101 106 47 155 87 27 257 192 74 132
39,116 165 134 304 139 254 736 269 378 314
40,47 58 101 71 31 180 19 145 17 164
41,31 55 58 486 342 68 35 112 143 37
42,107 65 63 158 89 56 36 130 82 159
43,36 135 177 67 13 64 104 337 161 106
44,108 35 133 68 50 70 155 59 146 105
45,80 128 70 127 174 151 180 60 21 42
46,46 37 13 70 216 417 141 90 167 31
47,96 208 93 344 38 94 214 101 211 154
48,90 54 37 46 151 50 63 296 115 56
49,60 116 148 175 23 220 45 309 97 28
50,135 67 143 177 278 185 132 238 108 79
51,238 42 250 48 56 50 53 118 164 80
52,139 133 146 254 318 269 65 45 120 314
53,419 53 132 119 241 859 106 1277 5386 36
54,135 238 278 174 177 19 110 112 250 115
55,199 89 177 118 270 76 106 541 238 84
56,99 66 93 148 90 188 241 203 34 114
57,160 35 159 168 117 78 104 144 121 999
58,101 161 36 107 399 337 38 44 49 433
59,101 38 93 211 214 85 165 347 353 133
60,21 63 39 27 81 84 56 44 65 18
62,291 411 67 36 841 30 19 583 135 102
63,80 174 89 139 236 49 308 43 82 119
64,68 122 128 399 78 550 186 27 64 433
65,28 49 74 114 29 30 12 53 67 55
67,49 73 117 156 131 13 107 151 50 365
68,96 138 324 183 106 131 177 344 117 67
69,25 14 38 16 12 46 70 209 52 280
70,81 135 223 70 72 138 250 67 164 96
72,39 58 55 41 76 5 23 51 119 31
73,105 21 127 109 81 108 158 67 180 59
74,47 27 42 145 83 131 122 18 11 136
75,104 56 310 115 134 21 319 258 191 184
76,82 77 308 66 89 343 837 175 547 95
77,38 137 67 70 110 180 62 112 27 124
78,131 155 87 68 43 199 57 83 64 217
79,85 138 208 66 32 344 265 133 131 175
81,135 243 181 250 225 61 410 207 172 74
82,55 41 76 49 23 13 100 139 71 157
83,5 35 80 40 55 111 122 54 65 170
84,216 90 39 94 191 411 46 61 583 42
85,60 116 148 41 31 428 304 39 73 309
86,154 28 17 47 145 298 78 102 18 106
88,99 262 346 70 183 87 175 715 261 738
89,138 154 324 344 159 78 35 112 79 121
90,109 64 98 81 61 356 56 373 21 455
91,59 82 56 308 132 37 69 58 36 92
92,78 10 22 68 49 48 61 105 84 14
93,174 45 95 220 44 210 532 326 136 120
94,42 50 51 28 135 105 83 62 81 136
95,179 172 134 189 40 339 18 266 112 169
96,72 49 135 177 118 179 178 255 401 35
97,68 62 160 162 59 105 49 151 13 20
98,54 29 127 183 112 18 75 48 66 33
99,96 138 13 64 109 57 356 105 21 159
100,242 34 467 313 573 50 43 99 93 109
101,82 282 89 837 343 828 624 547 706 390
102,101 67 155 99 135 180 94 199 896 278
103,155 97 37 36 187 69 186 48 145 92
104,23 75 43 79 78 90 117 34 167 147
105,21 35 44 108 53 25 3 172 220 102
107,81 39 58 238 55 76 51 278 125 130
108,85 94 34 182 32 96 320 93 79 203
109,132 155 127 578 763 90 80 115 775 239
110,39 41 58 76 174 282 82 236 308 89
111,95 59 220 326 389 792 768 465 906 1024
112,63 36 108 105 131 26 20 134 15 106
113,56 104 168 240 224 149 184 310 288 319
114,102 5 300 186 28 47 126 111 197 433
115,70 263 11 162 24 108 75 40 56 121
116,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
117,88 131 76 217 107 32 183 393 108 64
118,54 30 106 112 18 62 167 45 127 151
119,102 179 156 62 68 54 49 112 88 70
121,27 48 12 66 2575 59 17 2476 2480 37
122,28 84 32 42 75 132 182 206 89 115
123,266 228 84 301 67 115 52 39 103 65
124,346 220 681 94 63 31 715 44 202 183
126,177 110 67 39 238 49 164 80 118 250
127,42 54 41 112 55 342 127 40 78 143
128,17 42 47 37 213 277 145 59 66 210
129,40 94 55 13 147 156 262 99 53 77
130,118 77 61 74 189 116 237 172 396 285
131,198 40 55 74 105 81 145 49 151 109
132,133 254 139 269 316 318 171 314 474 335
134,65 56 77 95 116 46 191 80 104 175
