user_id,item_list
1,18960 18964 20627 5956 9985 13760 7185 21074 694 13530
2,21703 10939 18281 3176 20196 1227 12447 14446 18802 13557
3,4795 18016 5125 13823 2935 11876 19842 12805 4252 14418
4,47 28 12905 249 18006 11 10756 277 21037 50
5,14594 15859 22078 10634 7046 14149 7033 18826 12921 7873
6,20734 17599 7404 15486 14268 11279 11401 16292 21180 11974
8,19098 7345 12705 16776 10621 16413 10500 19667 16896 15840
9,13038 21157 7151 6265 16677 9551 20150 10108 2282 16581
10,21215 16937 18151 19098 2386 12521 13509 1668 1618 15821
11,13828 11788 18358 5618 40 41 55 20642 7616 13358
12,5337 20627 20659 11689 21653 12840 14950 5008 13588 681
13,11015 1668 5242 11016 6558 1316 17885 2906 11747 9817
14,19771 18048 12021 21749 15563 15635 12416 10479 22068 14234
15,19614 13359 8060 14542 9429 6957 5733 11684 7047 1107
16,11697 18320 15392 6192 14175 19603 10871 11793 13557 13075
17,2089 80 12815 1400 98 6433 57 1644 19 2644
18,16283 12943 11890 20276 17500 15216 7269 11325 18786 15032
19,242 376 18276 3571 21085 10660 636 22099 6149 21028
20,19708 15545 11890 17284 10314 9299 10525 11598 15930 13082
21,20275 7296 18605 22272 20222 13498 12107 4688 6323 12318
23,6599 8879 6111 15332 12519 12864 10458 12426 12869 3588
24,3279 21587 20803 11691 16882 13156 7622 21332 7674 16978
25,11598 17989 20606 19548 15623 7357 2264 17360 4069 13372
26,19495 133 13211 2486 20571 314 254 6796 19950 171
28,17 47 20367 27 11 19 2461 1824 5 133
29,10902 15291 16075 7616 21476 4688 15400 1633 10192 4641
30,17058 17056 18878 12028 20945 11960 3567 4364 11230 6817
32,20821 7160 12312 18607 10850 11153 9013 4826 6945 12528
33,21989 10756 21830 19259 15196 7400 6301 21163 22238 7191
34,19522 22179 11451 12436 8950 21656 20812 11471 17846 10808
35,314 254 15243 996 4059 1081 1079 165 1824 4283
36,21697 2715 8882 2 19088 9006 20945 4 18834 20202
38,16970 13401 3665 11259 5843 19566 18391 8575 15720 8088
39,20929 19031 18352 10755 66 1380 1057 4771 21989 7185
40,10756 18786 7916 16955 17 11388 18831 47 39 31
41,5181 39 31 55 58 3 486 9232 618 18640
42,13522 8907 14272 13268 12827 12447 14115 13664 2667 17313
43,19336 14471 4541 238 20895 14097 20665 5618 18627 7683
44,14175 13927 7560 5966 14530 16955 12406 5536 18737 2737
45,21989 13702 22010 21215 15925 4780 21463 19901 22192 16025
46,19608 14338 12941 20680 17558 15598 13853 17490 21204 13877
47,3411 8510 10051 18943 1635 22181 514 645 358 214
48,3554 18985 15012 11697 2715 20185 4636 17606 6951 12639
49,14325 16882 21989 148 19223 182 116 21739 12111 21035
50,14394 15195 21464 14606 22224 5995 12593 10655 18650 21697
51,13552 20359 238 15501 1213 22192 4801 16024 19483 17110
52,7573 12310 17453 9489 21509 8859 94 14102 8146 13148
53,18028 14964 11405 9043 11721 14938 14224 7037 20247 8687
54,20906 12235 21113 14097 2798 5295 21429 12791 17439 238
55,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
56,17290 21030 15810 21987 18758 17089 20993 8488 7873 19759
57,11577 160 16512 2678 8754 15405 648 536 956 4772
58,12458 12657 11050 7535 10431 10872 13965 17601 9815 15770
59,19064 4352 20100 1190 10510 13464 2118 15459 19628 9078
60,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
62,13633 17705 10939 15506 20040 14649 4149 19546 9434 2291
63,19715 4833 4 80 19506 1316 21603 174 13906 13834
64,18692 11694 9754 18125 18372 18906 4053 6202 5022 14547
65,14897 14895 14904 14903 14902 14901 14900 14899 14898 14906
67,18230 6203 5181 18729 13777 12898 10764 16927 13928 19356
68,7763 16882 716 20045 21749 12046 3221 3373 9979 14980
69,17445 20977 12929 1227 19129 22076 16544 10562 17248 7256
70,15314 14724 8286 3108 16935 9886 21364 11371 12218 13923
72,9653 7454 20031 9103 8620 13717 7169 7525 8761 6479
73,21449 16450 15781 11731 8649 15585 17571 9276 13359 6810
74,17333 21349 14209 11864 10939 7588 15012 16057 8773 7929
75,9719 15127 20974 9691 12778 12766 21111 11309 21815 18999
76,17729 15929 7041 14493 6682 6418 10154 15910 7321 7713
77,17586 17445 10634 3092 12167 19065 13529 21108 15195 14394
78,20821 10634 18729 17721 14312 6851 13785 7229 14784 16109
79,12805 15286 13292 18352 15589 15955 18987 15709 21749 9489
81,7802 7639 18802 20571 17783 16426 8705 13930 2547 21642
82,55 41 76 11794 18697 11117 6283 342 3 486
83,22306 15513 11342 5590 12013 1108 14645 6439 592 6072
84,8305 6866 22333 16721 39 31 2117 41 2243 7194
85,1618 14637 9311 60 15810 17322 116 17693 22276 14335
86,18979 154 11176 5099 17477 15794 21851 5591 9489 21941
88,20620 6814 20807 9144 16009 12112 3015 6827 20959 21918
